year,croyant_VERB en_ADP,croyant_VERB dans_ADP
1800,1.7921737693882278e-07,3.144164395507687e-08
1801,1.9287578822968499e-07,5.9529563944948904e-08
1802,1.8350289110458107e-07,1.1189200677108602e-08
1803,1.8918290933811477e-07,3.510610468993036e-08
1804,2.2246658337721215e-07,4.202146608456303e-08
1805,2.3880172150825274e-07,8.24434565060983e-08
1806,1.5272845743652397e-07,2.0171682990621775e-08
1807,4.241963154072437e-07,1.1957211620838848e-07
1808,1.835519896076221e-07,1.0650547466184435e-07
1809,2.981920204092603e-07,6.77709144358829e-08
1810,2.1529166360778618e-07,5.8503168975931885e-08
1811,1.504246114336638e-07,3.760615285841595e-08
1812,1.3336040716183106e-07,1.8670457180292033e-08
1813,1.754202447745712e-07,2.5881675469463516e-08
1814,2.391474538399052e-07,5.97868634599763e-08
1815,2.0768621644684515e-07,1.618334155573109e-08
1816,1.3905622608945123e-07,6.721051093450114e-08
1817,2.755665949871755e-07,6.383181272440197e-08
1818,1.9431519149293308e-07,6.675859021143538e-08
1819,3.467601850104529e-07,6.624672066468662e-08
1820,2.6462252211700843e-07,9.137190204455692e-08
1821,2.2188348303142647e-07,8.875339485570066e-08
1822,2.1154049534288788e-07,4.6117833107928163e-08
1823,1.8875932106254822e-07,6.324919699096654e-08
1824,1.9621192492991213e-07,4.6316120716483056e-08
1825,2.579994884399639e-07,1.1006804001567616e-07
1826,1.8761006614909093e-07,1.76159691278599e-08
1827,2.17527641677151e-07,4.608636450242898e-08
1828,2.5315550544746657e-07,5.044765671868845e-08
1829,2.0918549187287638e-07,3.5150023336427694e-08
1830,2.2021723267151572e-07,7.09704821577617e-08
1831,2.432228052295926e-07,1.5591206548037917e-08
1832,1.9753755653439953e-07,5.0060886103153734e-08
1833,1.3089499795171378e-07,3.4750887167867006e-08
1834,1.997589613722539e-07,4.853955992700776e-08
1835,2.42018820983958e-07,6.579886502322552e-08
1836,2.3724247899536977e-07,4.906147416106066e-08
1837,1.6003149072574274e-07,3.5485242744215384e-08
1838,1.8179026284315114e-07,5.9334323232462793e-08
1839,3.1042149917226425e-07,5.0338622270551525e-08
1840,2.1338457684150214e-07,4.649872709094893e-08
1841,2.11878096401108e-07,4.044945711711989e-08
1842,2.0728538929759566e-07,4.159124245006751e-08
1843,2.45727497016901e-07,5.552496351590719e-08
1844,1.9264849981937004e-07,5.43367555394525e-08
1845,2.1595481580760634e-07,5.4128212856330293e-08
1846,1.990530389406331e-07,3.33706573485415e-08
