year,partant_VERB en_ADP,partant_VERB dans_ADP
1800,2.829747991484055e-08,2.2009151834367913e-08
1801,4.7623650800687756e-08,2.3811825400343878e-08
1802,2.2378401354217203e-09,1.3427040812530322e-08
1803,5.655983770225248e-08,9.751696339321825e-09
1804,5.438072037122765e-08,4.943701892301533e-09
1805,5.117179902036639e-08,1.1371510844071508e-08
1806,6.051504897186533e-08,2.881669125542885e-09
1807,1.508886242618246e-07,1.1387820464392462e-08
1808,3.172503681980743e-08,1.8128591960930862e-08
1809,1.3554183553310395e-08,1.581321384946932e-08
1810,9.360507036149102e-09,1.8721014072298203e-08
1811,8.524060746140094e-08,5.515568801683912e-08
1812,3.467370524035118e-08,1.600324850414836e-08
1813,6.326631307729258e-08,3.4508900625951355e-08
1814,6.293354282149721e-09,3.1466771410748606e-09
1815,5.394447111228828e-09,4.8550024445148665e-08
1816,6.952811659743929e-09,2.0858434979231788e-08
1817,1.8682481339737933e-08,9.341240669868967e-09
1818,5.722165230537257e-08,0.0
1819,6.624672010957511e-08,7.24573512300708e-09
1820,4.865257352548724e-08,1.898636980968149e-08
1821,4.930744079700844e-08,4.930744257336528e-09
1822,6.917674966189225e-08,2.0051231786055723e-09
1823,6.522573026135348e-08,3.4589404229734555e-08
1824,6.905312144311893e-08,2.105278085196005e-08
1825,5.0191026446100295e-08,1.8491430608946757e-08
1826,4.492072136486058e-08,1.3211976401805714e-08
1827,2.8573547083965423e-08,1.3825909306319772e-08
1828,6.604057034564903e-08,2.4765213879618386e-08
1829,5.143905501547863e-08,2.5719527840806222e-08
1830,6.262101237552997e-08,3.1310506187764986e-08
1831,3.897801548191637e-08,2.182768810143898e-08
1832,7.306183391619925e-08,4.7354891563600177e-08
1833,3.1275796175123105e-08,2.0850531967653296e-08
1834,7.00089788363556e-08,2.333632664885954e-08
1835,8.168134968400409e-08,1.4369867074037757e-08
1836,6.04867480547e-08,4.301279898921706e-08
1837,8.349469027280065e-08,4.87052354003481e-08
1838,9.278877799445695e-08,3.092959488526503e-08
1839,3.6355670585130895e-08,3.2859933440931854e-08
1840,4.968357014689673e-08,3.1211473572323456e-08
1841,6.93419250907823e-08,3.852328944731198e-08
1842,7.110760691375617e-08,2.95163662400455e-08
1843,5.3752891471248176e-08,4.7255287682901326e-08
1844,6.147188735816655e-08,5.598332464273881e-08
1845,1.0379223747136734e-07,3.1807299905040054e-08
1846,4.27378594736183e-08,6.381406181255045e-08
1847,2.9123408573639153e-08,2.6426796750911308e-08
1848,5.229394162142853e-08,9.252004673498959e-08
1849,6.871119895279776e-08,2.681412802907346e-08
1850,6.653216377827675e-08,5.2275269446511174e-08
1851,5.482022902292272e-08,5.6110115886909284e-08
1852,8.984552835045179e-08,2.6042181744401205e-08
1853,6.688563303214323e-08,4.658106789179328e-08
1854,6.286754161699548e-08,2.3380490266067255e-08
1855,5.837630823180007e-08,3.980202833986368e-08
1856,4.607698372849356e-08,5.694908011832922e-08
1857,6.199516633387248e-08,4.539803388770025e-08
1858,6.753273140702731e-08,3.52344677878591e-08
1859,6.008764330545091e-08,6.31429479813761e-08
1860,5.721479920395289e-08,6.591144535716964e-08
1861,8.347255686658173e-08,2.9238975685075275e-08
1862,6.370360972063338e-08,3.388489866473776e-08
1863,6.992468853939116e-08,3.49623441309177e-08
1864,7.383881095446299e-08,4.123465868755005e-08
1865,6.307171585007154e-08,5.3658024690150796e-08
1866,4.6709883294582255e-08,5.498142741089396e-08
1867,1.033648846515689e-07,4.85281148598915e-08
1868,6.224241388963492e-08,5.1374691167893616e-08
1869,7.325278816860958e-08,5.6648821966653884e-08
1870,5.2753248880321735e-08,5.963410876219655e-08
1871,1.2532989668301298e-07,4.6733180880664804e-08
1872,9.615269225271561e-08,2.4189358072135292e-08
1873,7.183205563698891e-08,6.405024777222934e-08
1874,1.0276327655489581e-07,7.169531102135807e-08
1875,1.2759006118301386e-07,3.661777253638476e-08
1876,6.287855569553358e-08,6.046014533467314e-08
1877,1.0390490601253077e-07,6.741449387615006e-08
1878,9.602151029852735e-08,5.737134312067127e-08
1879,1.0263666316845388e-07,7.14791078548771e-08
1880,9.947661938625174e-08,6.096954052736692e-08
1881,1.1574362623889556e-07,4.0440545356901225e-08
1882,1.0648616366459862e-07,3.9932309015000556e-08
1883,1.308103163566443e-07,6.129758745032632e-08
1884,1.19490716876669e-07,3.234831424947515e-08
1885,1.1666600530091387e-07,3.93183763325311e-08
1886,1.5359243565882252e-07,3.613939725255477e-08
1887,1.3057849601594285e-07,3.7867764035581786e-08
1888,1.1793543075455659e-07,7.545331626168661e-08
1889,1.4535117287550747e-07,5.0121094830046786e-08
1890,1.2977685059922806e-07,6.357754611663324e-08
1891,1.2493471146513002e-07,5.736798058819659e-08
1892,1.3289245970327102e-07,6.83267842305213e-08
1893,1.35485166419258e-07,4.557228194812524e-08
1894,1.3296248368988017e-07,5.41932370090592e-08
1895,1.6129886271087912e-07,4.513960760732516e-08
1896,1.2442731467388057e-07,4.422771837653272e-08
1897,1.1536892996488746e-07,5.826713556089658e-08
1898,1.1146959333352413e-07,4.356933303029109e-08
1899,1.6195804519725243e-07,6.080336056868418e-08
1900,1.5832712696450812e-07,5.346784814896921e-08
1901,1.3636523066296036e-07,6.706486394003619e-08
1902,1.5418290866264783e-07,5.4504151636436404e-08
1903,1.1610473693579593e-07,5.4542223182352245e-08
1904,1.6983816220061954e-07,4.407192477628996e-08
1905,1.6204784003548411e-07,7.018632591782037e-08
1906,2.0216645602033623e-07,6.224463078297049e-08
1907,1.3217107541763085e-07,5.348557152728972e-08
1908,1.6305811900707567e-07,6.237464322822461e-08
1909,1.7493128012802117e-07,5.941062397596397e-08
1910,1.7849462707886232e-07,3.366815093386322e-08
1911,1.5163066180434726e-07,5.799207947188023e-08
1912,1.7138996444288068e-07,4.688478938419394e-08
1913,1.871955368493161e-07,4.7726906871048413e-08
1914,1.573734760285106e-07,3.750176347239176e-08
1915,1.5432798483594468e-07,4.476689596799588e-08
1916,1.6261443747112025e-07,6.812226249763853e-08
1917,2.1603856037444302e-07,3.3995914527906734e-08
1918,1.7229564708287626e-07,4.3648228142956214e-08
1919,1.5561264365970828e-07,5.616787390749778e-08
1920,1.9157746899978179e-07,5.3005623001922686e-08
1921,1.9461960931721478e-07,4.695103328344885e-08
1922,1.6747914122205998e-07,3.9103056792555435e-08
1923,1.8790228395459962e-07,6.051090517544822e-08
1924,1.6630195842637363e-07,4.8988173073638563e-08
1925,1.9466774858756253e-07,6.268961239008775e-08
1926,1.649628540434378e-07,9.474217610438984e-08
1927,1.6166375438331215e-07,5.4631200896437804e-08
1928,1.58821973350598e-07,4.456156144083678e-08
1929,1.9718518617928282e-07,5.570203143179242e-08
1930,1.4810081094829286e-07,4.411513643276521e-08
1931,2.087180277499101e-07,4.904303363417739e-08
1932,1.5781732987107944e-07,4.8221959980665474e-08
1933,1.6288340498604725e-07,4.7029715233293246e-08
1934,1.5695869848286748e-07,6.11060571031885e-08
