year,tout_DET hommage_NOUN,tout_DET dommage_NOUN
1800,4.7162465932615305e-08,8.489244152087849e-08
1801,4.0480104601670064e-08,5.000483582762172e-08
1802,2.9091921760482364e-08,1.1636768704192946e-07
1803,2.3404069793286908e-08,9.166594594489652e-08
1804,2.4718509905596875e-08,1.6561401205983373e-07
1805,2.558589873302708e-08,5.685755510853596e-08
1806,2.305335300434308e-08,1.2967511509032192e-07
1807,3.701041606518629e-08,1.9928686612047386e-07
1808,7.478044494746428e-08,2.809931771707852e-07
1809,4.743964154840796e-08,1.3102376961171558e-07
1810,2.574139479349924e-08,2.410330566249286e-07
1811,6.267691787797958e-08,1.6045291317823285e-07
1812,8.00162425207418e-09,8.535066342574282e-08
1813,3.163315653864629e-08,5.463909147351842e-08
1814,1.1328037885505182e-07,1.290137632281585e-07
1815,1.3486118000116676e-08,9.440282777717357e-08
1816,6.25753067140522e-08,1.228330095415231e-07
1817,1.0742426415077944e-07,1.0119677407161021e-07
1818,8.70245977502293e-08,1.0490636270787945e-07
1819,5.79658792076998e-08,1.2835302065639098e-07
1820,6.645229433388522e-08,1.0679833195581523e-07
1821,7.198886198267473e-08,1.232686067664801e-07
1822,7.719724237631453e-08,1.3334069137727056e-07
1823,4.941343623166006e-08,1.1068609362396842e-07
1824,3.621078548121659e-08,1.541063570087431e-07
1825,8.629334313781101e-08,1.4881199472682738e-07
1826,4.403991993306988e-08,1.3035816948114842e-07
1827,5.161672822495689e-08,1.613022746482784e-07
1828,8.163347803291643e-08,2.357281374543163e-07
1829,7.115736233576087e-08,1.7146352693231393e-07
1830,6.053364676184003e-08,1.2941676175159955e-07
1831,9.198811312671751e-08,3.6171598338796684e-07
1832,1.325936995755228e-07,1.772426001522831e-07
1833,4.170106393530659e-08,2.4788965014010955e-07
1834,5.0406466556296436e-08,3.01505343358599e-07
1835,7.109302657681837e-08,2.563886951634231e-07
1836,6.048675016412375e-08,2.768948910158997e-07
1837,6.888311654407175e-08,3.151924463651312e-07
1838,5.491580767902349e-08,2.8594094203526765e-07
1839,3.775396706373613e-08,2.0065534478419522e-07
1840,4.9683573144498894e-08,3.36956537339006e-07
1841,7.062603657459476e-08,2.8057796441771643e-07
1842,7.244926125693496e-08,2.7503886812496603e-07
1843,3.5441465817687146e-08,2.474995683954262e-07
1844,7.519328637517475e-08,3.4138852278431386e-07
1845,3.738752596404993e-08,4.96640293334849e-07
1846,6.84976650955349e-08,3.108740092017115e-07
1847,3.28986633491013e-08,2.5402083281278465e-07
1848,5.470750608083108e-08,2.083712384859382e-07
1849,9.636327136242073e-08,1.6591242157915076e-07
1850,5.7706465383944305e-08,2.3150477090894128e-07
1851,5.3530343269159175e-08,3.7793709850575397e-07
1852,4.882909210301989e-08,3.821690306438086e-07
