year,voulaient_VERB étendre_VERB,voulaient_VERB détendre_VERB
1800,3.144164484325529e-09,0.0
1801,2.1430643926123594e-08,0.0
1802,0.0,0.0
1803,5.851017448321727e-09,0.0
1804,4.943701892301533e-09,0.0
1805,2.55858996212055e-08,0.0
1806,3.1698359492793315e-08,0.0
1807,5.124519120158766e-08,0.0
1808,2.039466551195801e-08,0.0
1809,3.388545621874073e-08,0.0
1810,7.020380277111826e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,2.400487453257938e-08,0.0
1813,5.751483289628823e-09,0.0
1814,6.293354282149721e-09,0.0
1815,2.1577788444915313e-08,0.0
1816,1.622322720606917e-08,0.0
1817,2.3353100786493997e-08,0.0
1818,2.1458118837358597e-08,0.0
1819,5.175524897538253e-09,0.0
1820,2.7292905713238724e-08,0.0
1821,1.1833785507064931e-08,0.0
1822,5.012807946513931e-09,0.0
1823,1.087095569118901e-08,0.0
1824,2.0210670470532932e-08,0.0
1825,3.3460683113162304e-08,0.0
1826,2.9947145208097936e-08,0.0
1827,3.6869092667757286e-08,1.8434546111834038e-09
1828,2.109629271274116e-08,0.0
1829,2.4004892296147773e-08,0.0
1830,2.0873670791843324e-08,0.0
1831,2.9623292263636358e-08,0.0
1832,9.470978667991403e-09,0.0
1833,1.0425265983826648e-08,0.0
1834,2.14694217959277e-08,0.0
1835,9.075705520444899e-09,0.0
1836,1.68018754465038e-08,0.0
1837,1.8090515752078318e-08,0.0
1838,2.840472923537618e-08,0.0
1839,3.4957377437194737e-08,0.0
1840,2.6752692505738196e-08,0.0
1841,2.5682194149112547e-08,0.0
1842,2.3478927246856074e-08,0.0
1843,3.1306630177141415e-08,0.0
1844,2.8540519281250454e-08,0.0
1845,2.287893430263921e-08,0.0
1846,1.1123552745573306e-08,0.0
1847,1.9954928376364478e-08,0.0
1848,3.298540818263973e-08,0.0
1849,1.4245005175439474e-08,0.0
1850,1.6972489191857676e-08,1.3577992064028876e-09
1851,1.805842941848823e-08,0.0
1852,2.3437962681782665e-08,6.510545436100301e-10
1853,2.030456869306363e-08,0.0
1854,3.4810952342922974e-08,5.195664454227256e-10
1855,1.4859423913549108e-08,0.0
1856,9.836659486950339e-09,0.0
1857,2.4407546206361985e-08,0.0
1858,6.8511463169329545e-09,4.893676019968041e-10
1859,1.629495471888731e-08,0.0
1860,1.6477862629926676e-08,0.0
1861,2.169343282787395e-08,0.0
1862,1.8975542914745347e-08,0.0
1863,1.9479021062807078e-08,0.0
1864,1.8699438442126848e-08,0.0
1865,1.97687466396701e-08,0.0
1866,1.5083399418358567e-08,0.0
1867,1.9896527092555516e-08,0.0
1868,1.679557115608077e-08,0.0
1869,1.2697149998075474e-08,0.0
1870,1.6628741050794815e-08,0.0
1871,5.3105884134652115e-09,1.0621177271019633e-09
1872,1.1489944995446422e-08,0.0
1873,1.2570609442263958e-08,0.0
1874,1.7326366119618797e-08,0.0
1875,1.602027666081085e-08,0.0
1876,3.627608879952504e-09,0.0
1877,8.658742167710898e-09,0.0
1878,1.7513357875031943e-08,0.0
1879,1.710611030603104e-08,0.0
1880,1.2835692508872398e-08,0.0
1881,1.2550513517339823e-08,0.0
1882,1.1314154946262533e-08,0.0
1883,6.319338829996468e-09,0.0
1884,1.4523733327109767e-08,0.0
