year,grand_ADJ oeil_NOUN,grand_ADJ deuil_NOUN
1800,4.087413785214267e-08,2.703981465401739e-07
1801,1.4287095950749062e-08,3.47652644450136e-07
1802,6.713520406265161e-09,4.1623826518844e-07
1803,2.5354410126965377e-08,2.554944273924775e-07
1804,7.4155526164076946e-09,6.67399774556543e-07
1805,3.695740957709859e-08,4.264316544322355e-07
1806,2.881669125542885e-09,7.751689850010735e-07
1807,0.0,2.733077053562738e-07
1808,9.064295980465431e-09,4.260218986473774e-07
1809,9.036122072814123e-09,3.0271007744886447e-07
1810,2.3401267590372754e-09,4.399438182645099e-07
1811,0.0,4.562879780678486e-07
1812,1.8670457180292033e-08,3.947468201204174e-07
1813,0.0,3.6521919355436694e-07
1814,0.0,4.059213551954599e-07
1815,2.697223555614414e-09,2.9669459422621003e-07
1816,0.0,3.5227577654950437e-07
1817,3.113746815941454e-09,2.9113533628333244e-07
1818,2.384235475716423e-09,3.421377812173887e-07
1819,8.280840013696888e-09,4.492355571983353e-07
1820,8.306536791735653e-09,4.983921826351434e-07
1821,3.94459531705138e-09,3.3529059351167234e-07
1822,1.303330066093622e-08,5.26344820173108e-07
1823,3.9530747564242574e-09,4.7634551947339787e-07
1824,3.3684450784221553e-09,6.164254386931134e-07
1825,7.924898959288385e-09,7.563875783489493e-07
1826,8.80798456392995e-09,8.261889092864294e-07
1827,9.217273055917019e-10,3.751430028842151e-07
1828,0.0,3.2469947086610773e-07
1829,6.858540846366168e-09,4.629515046872257e-07
1830,0.0,3.558961054750398e-07
1831,6.236482441579483e-09,3.2429707630399207e-07
1832,1.2176972319366541e-08,3.5177919244233635e-07
1833,8.108539617524002e-09,2.5483981858087645e-07
1834,9.334530925997342e-10,4.7232725819412735e-07
1835,4.5378527602224494e-09,5.135336778039346e-07
1836,6.72075017860152e-09,6.754353876203822e-07
1837,1.3915781860163179e-09,5.740259894082556e-07
1838,6.312161904276081e-09,5.9776175476145e-07
1839,4.894032734625853e-09,4.970938789483625e-07
1840,1.9109065441114126e-09,4.828224291486549e-07
1841,1.2841097074556274e-09,5.714288136005052e-07
1842,2.683306021822318e-09,5.621525929200288e-07
1843,2.3627644285539873e-09,4.276603533526213e-07
1844,4.9397050894128824e-09,4.7311397111116094e-07
1845,5.580227835366713e-09,3.169569424699148e-07
1846,7.025401593807601e-09,3.9225159298439394e-07
1847,8.089835468183537e-09,2.7990830631097197e-07
1848,4.82713291560799e-09,3.5962142419521115e-07
1849,3.3517659758786067e-09,3.879669066009228e-07
1850,2.7155984128057753e-09,3.957984802127612e-07
1851,1.9348316282474798e-09,4.450112669474038e-07
1852,1.3021090872200602e-09,3.4115257108169317e-07
1853,1.1943863675867306e-09,3.9116153516260965e-07
1854,5.715230788627679e-09,4.447488777259423e-07
1855,2.1227748447927297e-09,4.6011143695068313e-07
1856,2.5885946719483854e-09,4.245295031068963e-07
1857,9.763018171682347e-10,6.712074878123531e-07
1858,2.936205500958522e-09,5.387937562773004e-07
1859,4.073738679721828e-09,5.280583650346671e-07
1860,3.661747127736703e-09,5.794714752482832e-07
1861,1.8863854922557266e-09,5.711032144972705e-07
1862,4.517986262886353e-10,5.828202347402112e-07
1863,1.4983863039219614e-09,4.600045713232248e-07
1864,1.9178911792039344e-09,4.79952291243535e-07
1865,9.41368871743009e-10,5.615265195046959e-07
1866,3.405928983291062e-09,4.646660443086148e-07
1867,2.91168689159349e-09,5.308975801199267e-07
1868,2.9639244392143382e-09,4.4014277023052273e-07
1869,6.348574888015435e-09,4.6881783077878936e-07
1870,5.734048791339319e-09,3.922089319985389e-07
1871,0.0,3.6112001566834806e-07
1872,3.0236697590169115e-09,4.523409700141201e-07
1873,2.3944017324417644e-09,4.477531376778643e-07
1874,6.572069999322139e-09,5.472741690937255e-07
1875,5.721527140956084e-10,5.303855914462474e-07
1876,6.650616279912924e-09,5.048422622166981e-07
1877,5.566334504436554e-09,5.207614890423429e-07
1878,1.8117265465633636e-09,5.447258217827766e-07
1879,2.443730107160036e-09,4.490354115205264e-07
1880,2.5671385017744797e-09,4.113839509045647e-07
1881,1.3945015142624584e-09,4.4902949980496487e-07
1882,4.6587693702804245e-09,5.623800234388909e-07
1883,1.0742875922176154e-08,4.3350664213903656e-07
1884,5.941527270181268e-09,5.261552473712072e-07
1885,3.222817901438191e-09,5.594811796072463e-07
1886,3.872078213618124e-09,5.00143471526826e-07
1887,3.264462256069578e-09,4.7334702912849025e-07
1888,2.53624587998047e-09,4.93299808113079e-07
1889,1.2530273485467092e-09,4.310413999064622e-07
1890,1.3108772956016423e-09,4.5749618493573507e-07
1891,5.736798147637501e-09,4.850781465393084e-07
1892,1.8805537127519756e-09,3.96169980376726e-07
1893,1.2316833108982905e-09,4.144614251799794e-07
1894,2.520615716150587e-09,4.524505072822649e-07
1895,3.611168697403855e-09,4.249141909440368e-07
1896,4.1279202278587945e-09,4.3461102450237377e-07
1897,2.9133566670225264e-09,3.8281507386273006e-07
1898,5.092519295146758e-09,4.3060080656687205e-07
1899,3.3165470370022376e-09,4.0959355374070583e-07
1900,1.5573159428683425e-09,4.1684157281451917e-07
1901,1.676621730339889e-09,3.599147930799518e-07
1902,1.9641135384773634e-09,3.1867742222857487e-07
1903,3.2401321625741275e-09,3.245532411710883e-07
1904,3.7622376325430196e-09,2.977542408189038e-07
1905,5.160758931310738e-09,2.951954058971751e-07
1906,6.6874399351490865e-09,3.3797292076087615e-07
1907,4.114274698707732e-09,3.4611335308909474e-07
1908,3.437972351250096e-09,3.6393393543221464e-07
1909,3.300590023513905e-09,4.4227908801985905e-07
1910,4.809735720812114e-09,4.622690426003828e-07
1911,3.1922244847493175e-09,4.235017740938929e-07
1912,4.688478938419394e-09,3.917484718840569e-07
1913,5.302989658506618e-09,4.3060276766482275e-07
1914,8.036092513652449e-09,3.857324486489233e-07
1915,0.0,3.098340357610141e-07
1916,0.0,4.351034874616744e-07
1917,4.386569774084137e-09,4.6168648282218783e-07
1918,3.44591288836682e-09,3.5722629831980157e-07
1919,2.762354567309444e-09,3.489774655918154e-07
1920,6.057785384427916e-09,3.8845547578603146e-07
1921,4.543648568500203e-09,3.703073616634356e-07
1922,7.377935595798135e-09,4.2201790506624093e-07
1923,3.1847844361720945e-09,5.998010692565003e-07
1924,9.024136882196387e-09,4.602309786605474e-07
1925,3.299453377181294e-09,4.7072202846720756e-07
1926,4.458455382660986e-09,4.436163010268501e-07
1927,7.804457524684949e-09,4.615779118921637e-07
1928,4.570416489713125e-09,4.090522622846038e-07
1929,2.2280812750352652e-09,4.0662482092557184e-07
1930,2.100720708497761e-09,3.382160400633438e-07
1931,1.0264820993199919e-08,3.341769456710608e-07
1932,3.2878609834696704e-09,3.4522540204307006e-07
