year,sont_VERB en_PRON,sont_VERB dans_ADP
1800,2.402141614510356e-06,3.0158826120896265e-05
1801,2.2144996947304207e-06,2.973382652271539e-05
1802,2.2490294213639572e-06,2.7456060706754215e-05
1803,2.999621717236778e-06,3.2785203075036407e-05
1804,2.3210681390217758e-06,2.94372730422765e-05
1805,2.5870187680965273e-06,2.6907837309408933e-05
1806,2.207358518191427e-06,2.6531528419582173e-05
1807,2.109593670418519e-06,2.958271034003701e-05
1808,2.6309119398604253e-06,2.7326586859999225e-05
1809,2.1438200406009855e-06,2.8059417672920972e-05
1810,2.0382503702620625e-06,2.5022975023603067e-05
1811,1.8577439369060755e-06,2.348128145968076e-05
1812,2.4991741183200133e-06,2.3674139811191708e-05
1813,2.593918944526763e-06,2.3422915546689183e-05
1814,2.6683822316186934e-06,2.314695666427724e-05
1815,2.0094315917873473e-06,2.2025527869118378e-05
1816,2.178547546805021e-06,2.6754420105135068e-05
1817,2.2216583639433907e-06,2.48881788138533e-05
1818,1.959841478882396e-06,2.3056749341776595e-05
1819,2.046402687305715e-06,2.6017363779828884e-05
1820,2.4231355082449113e-06,2.1128269509063102e-05
1821,2.7128954371846703e-06,2.2843150873086415e-05
1822,2.319927531857502e-06,2.228393714176491e-05
1823,2.0397864788357367e-06,2.0609355487977155e-05
1824,2.138120432704227e-06,2.0504567146417685e-05
1825,2.4179745929941987e-06,2.108727494487539e-05
1826,2.270698437278895e-06,1.9434817659202963e-05
1827,2.565167005030844e-06,2.116562427545432e-05
1828,2.566409879278808e-06,2.1728264982812107e-05
1829,2.299325863264201e-06,2.0403302187332883e-05
1830,2.5465878614738813e-06,2.0942554328939877e-05
1831,2.3870135912318347e-06,2.0571036657202058e-05
1832,2.217562011352925e-06,1.936679836944677e-05
1833,2.5565068142441305e-06,1.933423482114449e-05
1834,2.6454060666480927e-06,2.0370747733977623e-05
1835,2.5268276289125424e-06,2.058445716102142e-05
1836,2.8697603378091685e-06,1.9647441149572842e-05
1837,2.341330208821546e-06,1.9389553926885128e-05
1838,2.5526383087282056e-06,1.8390483091934584e-05
1839,2.332356075385178e-06,1.875253474281635e-05
1840,2.3128339119438124e-06,1.9165756384609267e-05
1841,2.419904699735298e-06,2.085394226014614e-05
1842,2.4008881673864835e-06,1.875362613645848e-05
1843,2.428921803243611e-06,1.907223486341536e-05
1844,2.1795077671526997e-06,1.8403694411972538e-05
1845,2.1249508854737087e-06,1.8223909137304872e-05
1846,2.3049170962963217e-06,1.933800376718864e-05
1847,2.1513568171371844e-06,1.9652907212730497e-05
1848,2.472296523947648e-06,1.8033364540315233e-05
1849,2.130047221271525e-06,1.7280030078836717e-05
1850,2.0597814085476784e-06,1.9483060896163806e-05
1851,1.928382211247026e-06,2.0865223632426932e-05
1852,2.224002399131564e-06,2.1254327293718234e-05
1853,2.1839354378272446e-06,2.3095848519005813e-05
1854,2.067354883728001e-06,2.0099427274544723e-05
1855,2.095178874839121e-06,1.849202271841932e-05
1856,2.2334393920964146e-06,2.0835081159020774e-05
1857,2.1107644663231895e-06,1.7576361642568372e-05
1858,2.029896915445306e-06,1.735248588374816e-05
1859,2.3103191253426303e-06,1.5603945939801633e-05
1860,2.3595382891983263e-06,1.5372930647572502e-05
1861,2.263191047902069e-06,1.721656917652581e-05
1862,2.3949846061910307e-06,1.6890491679077968e-05
1863,2.244582708144094e-06,1.7060126992873847e-05
1864,2.2012594946829722e-06,1.6058023902587593e-05
1865,2.2079806250019374e-06,1.611341031093616e-05
1866,2.2230986296278843e-06,1.60137060447596e-05
1867,2.2623806330557272e-06,1.61069674504688e-05
1868,2.5983736975376814e-06,1.5530469681834802e-05
1869,2.1560737888393078e-06,1.5197511856968049e-05
1870,2.2334119407219077e-06,1.5088576219568495e-05
1871,2.0318311975131564e-06,1.4594559615943581e-05
1872,2.2520292013439303e-06,1.4293491403805092e-05
1873,2.3381332425742585e-06,1.4442432984651532e-05
1874,2.4328608816404085e-06,1.445496945962077e-05
1875,2.391026136194796e-06,1.3921047866460867e-05
1876,2.324692765398595e-06,1.504490319348406e-05
1877,2.2753938253572414e-06,1.4805212231294718e-05
1878,2.3643031532571968e-06,1.446301303076325e-05
1879,2.3276529539373314e-06,1.4479712262982503e-05
