year,avaient_VERB écrit_VERB,avaient_VERB ecrit_VERB,avaient_VERB décrit_VERB
1800,2.7983062977909867e-07,3.144164484325529e-09,6.288328968651058e-09
1801,1.9049460320275102e-07,0.0,4.7623651688866175e-09
1802,1.1189200677108602e-07,0.0,4.475680270843441e-09
1803,2.574447819370107e-07,0.0,0.0
1804,3.707776556893805e-07,2.4718509461507665e-09,2.7190360185613827e-08
1805,1.7910129201936797e-07,0.0,0.0
1806,1.7866348400730203e-07,0.0,2.881669125542885e-09
1807,3.5871633485839993e-07,0.0,2.8469551160981155e-09
1808,3.013878426827432e-07,0.0,2.2660739062985158e-08
1809,3.004510631399171e-07,1.3554183553310395e-08,4.518061036407062e-09
1810,2.574139443822787e-07,0.0,9.360507036149102e-09
1811,7.546300935246109e-07,0.0,2.0056614147279106e-08
1812,4.827646762350923e-07,0.0,1.3336041604361526e-08
1813,8.282136150228325e-07,0.0,1.4378708002027452e-08
1814,1.6677388714469998e-07,3.1466771410748606e-09,0.0
1815,4.962891466675501e-07,0.0,0.0
1816,5.121904678162537e-07,0.0,2.3176038865813098e-08
1817,4.997563678443839e-07,1.556873407970727e-09,1.2454987263765815e-08
1818,5.376451213123801e-07,3.5763532135746345e-09,2.741870730460505e-08
1819,6.231331894923642e-07,4.140420006848444e-09,4.140419918030602e-08
1820,5.624712002827437e-07,1.1866481131050932e-09,1.6613073583471305e-08
1821,6.33107561043289e-07,0.0,9.861488514673056e-09
1822,5.754703806815087e-07,1.0025615893027862e-09,2.7069162911175226e-08
1823,4.2594379578986263e-07,1.9765373782121287e-09,1.8777104315859106e-08
1824,6.964260137465317e-07,2.5263338088166165e-09,3.3684450784221553e-08
1825,4.561219384413562e-07,0.0,4.754939197937347e-08
1826,4.32472035072351e-07,6.1655889282974385e-09,3.2589543508265706e-08
1827,6.147920998955669e-07,2.7651818612639545e-09,2.3043183361437514e-08
1828,4.7329075414381805e-07,9.172301251858528e-10,2.0179061976932644e-08
1829,5.829759857078898e-07,1.714635211591542e-09,1.971830521085849e-08
1830,4.320850166550372e-07,2.0873671680021744e-09,2.817945699007396e-08
1831,5.145097929926123e-07,0.0,4.2096257146795324e-08
1832,6.440265565288428e-07,2.705993873419743e-09,2.976593194148336e-08
1833,4.2396081312290335e-07,0.0,2.89590715851773e-08
1834,5.432697207652382e-07,9.334530925997342e-10,1.3068342852307069e-08
1835,5.528617066374863e-07,0.0,7.260564416355919e-08
1836,5.584943210124038e-07,1.3441500135158435e-09,3.8308275662757296e-08
1837,5.023597395847901e-07,6.957890930081589e-10,4.800944708449606e-08
1838,6.040738753654296e-07,0.0,4.418513199766494e-08
1839,4.803143269782595e-07,0.0,4.4046291947097416e-08
1840,6.61810645397054e-07,6.369688665408546e-10,4.33138822586443e-08
1841,6.272875907598063e-07,1.2841097074556274e-09,4.3017674755674307e-08
1842,5.896565085095062e-07,0.0,2.5491406319133603e-08
1843,7.194617523964553e-07,5.906911071384968e-10,2.658109998776581e-08
1844,6.61371643673192e-07,0.0,3.2382512671347286e-08
1845,5.663931119670451e-07,0.0,2.287893430263921e-08
1846,5.315887392498553e-07,5.854501328173001e-10,5.21050615986951e-08
1847,5.93793913594709e-07,1.0786447290911383e-09,3.289866512545814e-08
1848,3.773209016344481e-07,8.045221711050488e-10,4.424871846708811e-08
1849,5.371205133997137e-07,1.6758829879393033e-09,4.4410899846525353e-08
1850,3.849360723506834e-07,0.0,3.8018377779280854e-08
1851,6.139865718068904e-07,1.9348316282474798e-09,9.674158363282004e-09
1852,4.86337739857845e-07,0.0,1.3021090872200602e-08
1853,5.094057655696815e-07,2.388772735173461e-09,3.4637203327747557e-08
1854,4.993033257960633e-07,1.0391328908454511e-09,3.3252252507054436e-08
1855,5.747413069912e-07,5.306937111981824e-10,2.3350523292720027e-08
1856,4.6025212441236363e-07,0.0,2.3815070804289462e-08
1857,4.725300755126227e-07,9.763018171682347e-10,6.8341128311999455e-09
1858,4.2917540099551843e-07,2.4468380654951716e-09,2.0064071293290908e-08
1859,3.834406641090027e-07,0.0,3.1571474323754956e-08
1860,5.126445898895327e-07,0.0,4.165237399433863e-08
1861,4.0085691921376565e-07,0.0,2.87673795895671e-08
1862,4.834245146412286e-07,0.0,2.755971628687348e-08
1863,4.005685809715942e-07,4.994620828036034e-10,2.2975255475898848e-08
1864,3.926882072846638e-07,0.0,2.3973639073915365e-08
1865,4.142023044551024e-07,0.0,2.2122168985561075e-08
1866,3.83410309723331e-07,4.865612912574591e-10,2.5301186923343266e-08
1867,3.4649073654691165e-07,0.0,5.483676801532056e-08
1868,3.744424645901745e-07,0.0,2.420538258718352e-08
1869,4.4147012090434146e-07,0.0,4.932354258357918e-08
1870,5.114771397529694e-07,0.0,5.3326655091723296e-08
1871,2.623430646053748e-07,1.0621177271019633e-09,1.911811864374613e-08
1872,4.16056934682274e-07,0.0,3.5679303067581714e-08
1873,3.3701203960845305e-07,5.986004469882289e-10,3.4718826924518e-08
1874,2.837939234723308e-07,0.0,3.4652732239237594e-08
1875,2.986637070989673e-07,0.0,3.4901315615343265e-08
1876,3.597378679387475e-07,0.0,3.808989390563511e-08
1877,3.308876443952613e-07,0.0,3.401648740464225e-08
1878,3.846899403470161e-07,0.0,3.2611080058586595e-08
1879,3.341801004808076e-07,0.0,4.154341226580982e-08
1880,3.9726467093714746e-07,0.0,3.529815373326528e-08
1881,3.562951462754427e-07,0.0,3.974329487732575e-08
1882,3.727015780441434e-07,6.655385131892899e-10,5.390861801402025e-08
1883,3.3934850307559827e-07,0.0,3.5388296737437486e-08
1884,3.3140517530227953e-07,6.601696966868076e-10,3.9610181801208455e-08
1885,3.7320231172088825e-07,0.0,4.383032248256313e-08
1886,3.0266744488471886e-07,1.936039106809062e-09,3.87207848007165e-08
1887,2.5919831614373834e-07,0.0,6.724792456225259e-08
1888,2.8469361268435023e-07,0.0,3.4239320712003973e-08
1889,2.694008855996799e-07,0.0,5.07476087818759e-08
1890,2.1498387070550962e-07,0.0,4.5880703680722945e-08
1891,2.5496879629827163e-07,0.0,4.079500826037474e-08
1892,3.234552252706635e-07,0.0,3.949162774574688e-08
1893,2.697386491945508e-07,0.0,4.618812354806323e-08
1894,3.30200663256619e-07,0.0,4.0329851458409394e-08
1895,2.5518926349832327e-07,6.018614495673091e-10,5.476939080040211e-08
1896,2.7185302542420686e-07,0.0,4.3048309805726603e-08
1897,2.70359521437058e-07,0.0,5.651912005077975e-08
1898,3.361062681506155e-07,0.0,2.6594268121016285e-08
