year,serrant_VERB en_ADP,serrant_VERB dans_ADP
1800,3.772997558826319e-08,3.961647223604814e-07
1801,7.143547708921005e-08,3.5717738455787185e-07
1802,1.7902721083373763e-08,3.1329761895904085e-07
1803,7.801356893821776e-09,3.101039283137652e-07
1804,2.7190360185613827e-08,6.179627121127851e-07
1805,0.0,2.04687196969644e-07
1806,0.0,1.6425514104412287e-07
1807,0.0,1.992868590150465e-07
1808,0.0,1.2236799307174806e-07
1809,0.0,2.1008983708270534e-07
1810,9.360507036149102e-09,2.106114038724627e-07
1811,5.0141535368197765e-09,1.353821517113829e-07
1812,1.600324850414836e-08,1.6536691305191198e-07
1813,5.751483289628823e-09,2.243078540686838e-07
1814,0.0,2.171207285073251e-07
1815,2.4275012222574333e-08,2.53539027106342e-07
1816,1.1588019432906549e-08,3.0128850880828395e-07
1817,6.227493631882908e-09,2.00836666408577e-07
1818,7.152706427149269e-09,4.1843333065116894e-07
1819,1.552657524772627e-08,2.7844325245496293e-07
1820,3.9159386844289656e-08,2.658091773355409e-07
1821,7.889190412058156e-09,1.9821591479285416e-07
1822,7.017931125119503e-09,2.3359685030754918e-07
1823,2.075364236020505e-08,2.648559984663734e-07
1824,4.210556348027694e-09,2.68633499445059e-07
1825,7.044354433105582e-09,2.685660263068712e-07
1826,2.1139162309502524e-08,2.1755721490990254e-07
1827,2.4886637417509405e-08,1.4286773364347027e-07
1828,1.1923991238838028e-08,1.6877033692797028e-07
1829,3.343538745870234e-08,1.6803424784939125e-07
1830,1.878630406793036e-08,1.8681935931574856e-07
1831,9.354723218280014e-09,2.650505166457151e-07
1832,1.2176972319366541e-08,2.584224034762883e-07
1833,2.3167257001688313e-09,2.386227606621105e-07
1834,1.9602515166639023e-08,2.137607566510269e-07
1835,1.2100940693926532e-08,2.38993578705049e-07
1836,1.2097349955109138e-08,2.4799567199806916e-07
1837,1.87863058442872e-08,1.6142307401878497e-07
1838,1.704283758563463e-08,1.8431512516237092e-07
1839,2.51693106356754e-08,1.8387580003054182e-07
1840,2.229390982932955e-08,1.5350950377523986e-07
1841,3.852329122366882e-09,1.2841097118965195e-07
1842,1.2745704047745221e-08,1.7106075400619147e-07
1843,4.1348376944583265e-09,1.961094452385126e-07
1844,3.2931368743049916e-09,2.0088134466966778e-07
1845,1.674068439427856e-09,1.584784673491768e-07
1846,1.3465353276842507e-08,1.844167911713157e-07
1847,4.314578916364553e-09,1.278194012854783e-07
1848,1.2067832289019975e-08,1.6814513514873397e-07
1849,2.513824481908955e-09,8.630797054820505e-08
1850,6.1100964288129944e-09,9.165144376765966e-08
1851,1.9993259936512686e-08,1.5801124364500652e-07
1852,5.859490670445666e-09,1.6015941994851346e-07
1853,7.763511389313749e-09,1.618393488111991e-07
1854,6.754363734984281e-09,1.272937737439861e-07
1855,3.714855978387277e-09,1.7300615695603483e-07
1856,2.847454094734303e-08,1.3408920551682968e-07
1857,1.4644527812635033e-08,1.1569176194825559e-07
1858,1.1744822836501356e-08,1.98193876366215e-07
1859,1.7822606501738392e-08,1.797537254599746e-07
1860,6.865776031039772e-09,1.638631782208133e-07
1861,4.715963619617014e-09,1.848657822378641e-07
1862,1.0391368654438793e-08,1.617439124856901e-07
1863,6.493007298491449e-09,1.9578913451612223e-07
1864,9.10998321224099e-09,1.5534919262094604e-07
1865,9.88437331983505e-09,1.6615160647326377e-07
1866,1.2650594016783145e-08,1.4742806797585217e-07
1867,2.135237053835226e-08,1.635397488541912e-07
1868,8.397785578040384e-09,1.4622027322275244e-07
1869,1.1720445947105418e-08,1.9778252224877946e-07
1870,8.027668307875047e-09,1.4335122022757218e-07
1871,2.1242354542039266e-09,1.7631154491937195e-07
1872,5.442605477412599e-09,1.656970932684132e-07
1873,1.3169209722718733e-08,1.5922772211851566e-07
1874,4.779687479139483e-09,1.5892460075717096e-07
1875,1.4875970455463516e-08,1.607749169352246e-07
1876,4.836811839936672e-09,1.5538257969183178e-07
1877,2.4120783148617875e-08,1.768857345041397e-07
1878,3.6234532041490297e-09,1.050801401447643e-07
1879,2.5659166347224982e-08,1.5395500141401897e-07
