year,ait_VERB écrit_VERB,ait_VERB ecrit_VERB,ait_VERB décrit_VERB
1800,4.96778000069753e-07,0.0,3.9930890238792927e-07
1801,5.76246179662121e-07,2.3811825844433088e-09,3.2145965178642655e-07
1802,5.393194442149252e-07,0.0,1.9469209178168967e-07
1803,5.968038294668077e-07,7.801356893821776e-09,3.5106106111015833e-07
1804,8.898663281797781e-07,0.0,3.757213562494144e-07
1805,6.311188371910248e-07,0.0,1.705726617728942e-07
1806,8.097489967440197e-07,2.881669125542885e-09,9.797675204481493e-08
1807,7.088918323461257e-07,0.0,2.3345032218458073e-07
1808,7.092811529219034e-07,2.2660739951163578e-09,2.334056148356467e-07
1809,6.844862241450755e-07,4.518061036407062e-09,1.4457795316502597e-07
1810,8.658469141664682e-07,2.3401267590372754e-09,1.8018975822542416e-07
1811,9.125759561356972e-07,5.0141535368197765e-09,1.7048121492280188e-07
1812,7.121445833035978e-07,0.0,2.2671270016871858e-07
1813,9.547462695991271e-07,0.0,1.9555042740648787e-07
1814,5.695485469914274e-07,3.1466771410748606e-09,1.5104049566616595e-07
1815,6.9048923023729e-07,2.697223555614414e-09,4.5852800667489646e-08
1816,4.264391009201063e-07,2.3176038865813098e-09,2.5261883251914696e-07
1817,8.204722803384357e-07,0.0,2.926921922608017e-07
1818,7.140785101000802e-07,1.1921177378582115e-09,2.455762455610966e-07
1819,9.202083219861379e-07,2.070210003424222e-09,1.2628281353954662e-07
1820,7.013090339569317e-07,3.5599443393152796e-09,6.051905643289501e-08
1821,9.743150712893112e-07,2.9584463767662328e-09,1.1932401378089708e-07
1822,8.84259293343348e-07,6.015369535816717e-09,1.3434325296657335e-07
1823,4.79310301670921e-07,0.0,1.660291388816404e-07
1824,6.91373372774251e-07,8.421112696055388e-10,1.1621135342920752e-07
1825,7.431793846990331e-07,8.805443041381977e-10,1.1006803646296248e-07
1826,5.302406407281524e-07,1.7615968683770689e-09,1.0481501533377013e-07
1827,6.85765087382606e-07,1.8434546111834038e-09,1.7604990887321037e-07
1828,7.613010097884398e-07,0.0,1.8528048428834154e-07
1829,7.621553663739178e-07,0.0,1.2945496052907401e-07
1830,8.151168913173024e-07,2.0873671680021744e-09,1.054120417620652e-07
1831,8.621937013231218e-07,3.1182412207897414e-09,1.02901957177437e-07
1832,8.10445158094808e-07,2.705993873419743e-09,9.335678896604804e-08
1833,5.328469114829204e-07,2.3167257001688313e-09,1.0077756940063409e-07
1834,7.122247325241915e-07,1.8669061851994684e-09,9.894602470694736e-08
1835,6.231984457372164e-07,0.0,1.1117739262545001e-07
1836,7.218085329441237e-07,1.3441500135158435e-09,8.400937900887584e-08
1837,6.728280368406558e-07,0.0,1.0228099966980153e-07
1838,6.406844477169216e-07,2.5248647617104325e-09,7.069621688060579e-08
1839,6.634909937019984e-07,2.0974426639952526e-09,1.125627520082162e-07
1840,7.165899660321884e-07,1.2739377330817092e-09,8.344292012907317e-08
1841,6.574641702172812e-07,0.0,1.2134836424593232e-07
1842,5.319654405866459e-07,6.708265054555795e-10,8.049917710195587e-08
1843,6.970154800001183e-07,1.1813822142769936e-09,6.497602100807853e-08
1844,5.505027047547628e-07,5.488561272137815e-10,8.507269910751347e-08
1845,5.641610414386378e-07,0.0,7.14269177137794e-08
