year,petit_ADJ are_NOUN,petit_ADJ dard_NOUN
1800,0.0,5.65949598296811e-08
1801,0.0,4.7623650800687756e-08
1802,0.0,1.1189200677108602e-08
1803,0.0,5.070882025393075e-08
1804,0.0,4.2021465418429216e-08
1805,5.685755422035754e-09,2.55858996212055e-08
1806,0.0,0.0
1807,0.0,1.9928686256776018e-08
1808,0.0,3.3991110370834576e-08
1809,0.0,6.7770917766551975e-09
1810,4.680253518074551e-09,1.1700633351097167e-08
1811,5.0141535368197765e-09,3.008491944456182e-08
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,0.0,8.627225156487839e-09
1814,0.0,9.440030979135372e-09
1815,0.0,1.0788894222457657e-08
1816,0.0,4.4034472068688046e-08
1817,0.0,2.490997452753163e-08
1818,1.1921177378582115e-09,9.536941902865692e-09
1819,2.070210003424222e-09,2.070210003424222e-09
1820,0.0,3.5599443393152796e-09
1821,0.0,0.0
1822,0.0,0.0
1823,1.9765373782121287e-09,2.3718449426723964e-08
1824,3.3684450784221553e-09,7.57900142644985e-09
1825,0.0,1.7610886082763955e-09
1826,8.807984341885344e-10,1.2331177856594877e-08
1827,0.0,9.217273055917019e-10
1828,2.7516904310687096e-09,1.4675682002973645e-08
1829,8.57317605795771e-10,1.800366966620004e-08
1830,2.0873671680021744e-09,1.2524203008013046e-08
1831,0.0,6.236482441579483e-09
1832,0.0,2.705993873419743e-09
1833,0.0,1.7375443306377747e-08
1834,9.334530925997342e-10,7.467624740797874e-09
1835,0.0,1.0588323107185715e-08
1836,0.0,1.008112482381307e-08
1837,2.0873671680021744e-09,1.8090515752078318e-08
1838,1.2624323808552163e-09,3.1560809521380406e-09
1839,3.4957374772659477e-09,2.7965900706306e-09
1840,0.0,1.3376346252869098e-08
1841,1.2841097074556274e-09,3.2102742686390684e-09
1842,0.0,6.037438549100216e-09
1843,5.906911071384968e-10,0.0
1844,5.488561272137815e-10,2.195424508855126e-09
1845,5.580227946389016e-10,1.785672942844485e-08
