year,reconnaissant_VERB en_ADP,reconnaissant_VERB dans_ADP
1800,6.288328968651058e-09,7.86041156608519e-08
1801,5.000483582762172e-08,4.0480102825313224e-08
1802,4.475680270843441e-09,5.594600338554301e-08
1803,2.5354410126965377e-08,4.4857802805609026e-08
1804,2.2246657849223084e-08,8.898663139689234e-08
1805,2.2743021688143017e-08,5.401467717547348e-08
1806,0.0,6.916005812485082e-08
1807,4.555128274574827e-08,1.2526602688467392e-07
1808,2.4926814390369145e-08,6.798222074166915e-08
1809,6.09938268780752e-08,7.00299480627109e-08
1810,3.978215445954447e-08,9.594519667643908e-08
1811,4.512738271955641e-08,1.5543875875323465e-07
1812,1.8670457180292033e-08,1.0135391192989118e-07
1813,2.5881675469463516e-08,1.4666282766029326e-07
1814,3.1466771410748606e-09,8.810695817373926e-08
1815,4.315557644574142e-08,1.3216394734172354e-07
1816,9.965696534663948e-08,9.270415368689555e-08
1817,5.7604317760251433e-08,6.227493543065066e-08
1818,3.337929754820834e-08,9.179306914575136e-08
1819,2.070209959015301e-08,9.522965882524659e-08
1820,6.40789963313182e-08,1.9579693333326986e-07
1821,4.832129363308013e-08,1.3707468671242395e-07
1822,5.81485721795616e-08,1.4035862250239006e-07
1823,4.743689885344793e-08,9.882686602402657e-08
1824,1.280009129800419e-07,8.926379724272238e-08
1825,1.1270966804310945e-07,8.893497494000258e-08
1826,1.1186140369545683e-07,9.688782576233734e-08
1827,4.5164638917682964e-08,9.95465511688387e-08
1828,6.970949090190359e-08,1.770254174360275e-07
1829,7.030004667285539e-08,9.430493719264632e-08
1830,9.184415716845251e-08,1.6907674194044375e-07
1831,1.02901957177437e-07,9.666548095310645e-08
1832,1.0147477091937418e-07,1.3394669040600604e-07
1833,6.486831805041504e-08,1.332117278707301e-07
1834,5.227337385171893e-08,1.6988846263110702e-07
1835,1.013453783116347e-07,1.285724948729694e-07
1836,6.451920153693891e-08,1.8818099611905836e-07
1837,9.393152999859211e-08,1.454199151096347e-07
1838,9.720729599038691e-08,1.3318661262751164e-07
1839,1.6709626127209276e-07,1.8177835947597032e-07
1840,1.191131772659837e-07,1.6688584825175212e-07
1841,9.309795734324666e-08,1.329053582743711e-07
1842,1.2812786565064016e-07,2.1198117128307103e-07
1843,1.4531001935047527e-07,1.7779802541362244e-07
1844,1.3666517650889887e-07,1.9758820180015846e-07
1845,1.7131300467099209e-07,1.8191543649237474e-07
1846,1.077228235502048e-07,1.3816623423146268e-07
1847,1.661112927209274e-07,1.7474045233001334e-07
1848,1.0217431789527609e-07,1.649270426895555e-07
1849,1.2066357246709458e-07,1.7261595219864034e-07
1850,1.3238542617699522e-07,1.9484418878334964e-07
1851,1.0190113375330156e-07,1.6510563871641182e-07
1852,1.2825774509117593e-07,1.4713832929835746e-07
1853,1.2660495585237186e-07,2.436548260931204e-07
1854,1.5483079884859308e-07,1.9120044481013565e-07
1855,1.6610712805231742e-07,1.772517066456203e-07
