year,baisant_VERB en_ADP,baisant_VERB dans_ADP
1800,0.0,6.288328968651058e-09
1801,1.4287095950749062e-08,2.3811825844433088e-09
1802,1.1189200677108602e-08,0.0
1803,3.1205427575287104e-08,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,1.152667650217154e-08,0.0
1807,0.0,0.0
1808,0.0,1.5862518409903714e-08
1809,6.7770917766551975e-09,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,1.7254450312975678e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,9.270415546325239e-09,0.0
1817,1.0898113522728181e-08,9.341240669868967e-09
1818,1.4305412854298538e-08,1.1921177378582115e-09
1819,6.210630232317271e-09,8.280840013696888e-09
1820,2.8479554714522237e-08,0.0
1821,9.86148829262845e-10,9.86148829262845e-10
1822,3.0076847679083585e-08,3.0076847679083585e-09
1823,1.4824030003524058e-08,1.9765373782121287e-09
1824,8.421112696055388e-10,0.0
1825,6.163809906922779e-09,3.522177216552791e-09
1826,2.6423952803611428e-08,8.807984341885344e-10
1827,0.0,1.8434546111834038e-09
1828,9.172301140836225e-09,0.0
1829,6.858540846366168e-09,2.571952872898464e-09
1830,2.0873671680021744e-09,0.0
1831,0.0,2.182768810143898e-08
1832,6.764984572527055e-09,2.976593194148336e-08
1833,0.0,1.1583628500844156e-09
1834,3.733812370398937e-09,1.8669061851994684e-09
1835,7.563087933704082e-10,7.563087933704082e-10
1836,7.392825018825988e-09,0.0
1837,1.6698937344017395e-08,5.5663127440652715e-09
1838,1.5149188570262595e-08,1.8936485712828244e-09
1839,2.0974426639952526e-09,2.7965900706306e-09
1840,1.2739377330817092e-09,6.369688665408546e-10
1841,1.2841097074556274e-09,5.778493683550323e-09
1842,1.0733224087289273e-08,8.049918065466954e-09
1843,9.451057714215949e-09,8.269675610961258e-09
1844,4.9397050894128824e-09,0.0
1845,5.580227946389016e-10,3.348136878855712e-09
1846,6.439951683034906e-09,2.3418005312692003e-09
1847,1.9954928376364478e-08,0.0
1848,7.24069959545659e-09,0.0
1849,0.0,1.256912263158938e-08
1850,6.788996032014438e-09,1.3577992064028876e-09
1851,5.159551008659946e-09,0.0
1852,4.557382027314816e-09,1.3021090872200602e-09
1853,8.360704129017904e-09,3.5831591027601917e-09
1854,1.2469595134234623e-08,1.0391328908454511e-09
1855,1.0083180512765466e-08,1.0083180512765466e-08
1856,3.6240324075009767e-09,5.177189343896771e-09
1857,6.345961978126979e-09,1.9526036343364694e-09
1858,6.8511463169329545e-09,3.9149408159744326e-09
1859,5.092173349652285e-09,2.5460866748261424e-09
1860,8.696649622663699e-09,1.373155145145688e-09
1861,5.187560159214399e-09,0.0
1862,4.9697850279528666e-09,1.8071945051545413e-09
1863,3.496234635136375e-09,4.994620828036034e-10
1864,8.151037178549814e-09,1.4384183844029508e-09
1865,5.6482134525026595e-09,1.4120533631256649e-09
1866,1.216403244796993e-08,1.4596839292835284e-09
1867,5.338092634588065e-09,3.88224918879132e-09
1868,1.975949626142892e-09,1.4819622196071691e-09
1869,1.4650557433881772e-09,7.325278605918584e-09
1870,5.734048791339319e-09,7.454262984651905e-09
1871,9.559059321873065e-09,0.0
1872,3.628403577593531e-09,0.0
1873,1.2570609442263958e-08,1.1972008939764578e-09
1874,9.559374625212058e-09,4.182226565063729e-09
1875,8.010138330405425e-09,6.293679799540541e-09
1876,6.04601479992084e-10,1.813804439976252e-09
1877,2.4739263970730008e-09,1.1751150275074451e-08
1878,1.8117265465633636e-09,1.2078177347163432e-09
1879,8.55305515301552e-09,7.331190321480108e-09
