year,roulant_VERB en_ADP,roulant_VERB dans_ADP
1800,8.803660733747165e-08,2.0437069148115938e-07
1801,2.1668761007731518e-07,1.9525697769751105e-07
1802,1.8126505096915935e-07,2.3273537408385891e-07
1803,1.579774737692219e-07,2.379413917008577e-07
1804,1.3100810036803523e-07,2.0269178246934416e-07
1805,1.393010045092069e-07,2.9281639135625426e-07
1806,1.2103009794373065e-07,1.988351669979238e-07
1807,7.402083435081863e-08,1.679703558465917e-07
1808,1.0877155354194201e-07,1.6089125498552903e-07
1809,5.4216732658929345e-08,2.620475356707175e-07
1810,1.0062544708588916e-07,2.667744638529257e-07
1811,4.512738049911036e-08,1.830166027616542e-07
1812,3.200649878465356e-08,3.4673706750254496e-07
1813,1.2365689361359955e-07,1.8117172828624462e-07
1814,3.776012569289833e-08,1.2272040716965193e-07
1815,7.012781111370714e-08,1.8071398244501324e-07
1816,1.0660977523002657e-07,1.228330006597389e-07
1817,1.930522968152104e-07,1.7748357095115352e-07
1818,4.530047270634441e-08,1.6689647930334672e-07
1819,5.900098543065724e-08,2.225475714823233e-07
1820,4.15326857350351e-08,1.5307760747873544e-07
1821,2.859831527146639e-08,1.4299158201946938e-07
1822,8.020492714422289e-08,2.2758148077173246e-07
1823,5.138997138942614e-08,1.2353359135630626e-07
1824,7.831635073785037e-08,1.978961421400527e-07
1825,8.893497760453783e-08,2.3686641270614928e-07
1826,9.688782975914023e-08,1.382853491715963e-07
1827,6.912954475524202e-08,1.8250200051195264e-07
1828,5.503380506866051e-08,2.650794925784794e-07
1829,1.0802201960702362e-07,2.323330699494086e-07
1830,5.9489963177838945e-08,2.911877274858199e-07
1831,4.98918610869481e-08,2.432228143334214e-07
1832,3.247192659205922e-08,2.678933808120121e-07
1833,7.529358581059853e-08,3.162330646233613e-07
1834,6.254135831440522e-08,2.426978040759309e-07
1835,6.42862474364847e-08,2.828594887205327e-07
1836,6.250297301946262e-08,2.2581720737768762e-07
1837,5.357575982856133e-08,2.3726407816226924e-07
1838,3.282324279041404e-08,2.240817487120239e-07
1839,8.180026123127959e-08,2.076468139655674e-07
1840,4.0766007902703905e-08,1.9937125439462022e-07
1841,7.961480097407048e-08,2.1380427206452168e-07
1842,4.695785715824741e-08,1.9923547700528843e-07
1843,4.312045037702106e-08,2.6344821979495947e-07
1844,6.037417510373899e-08,2.146027491267688e-07
1845,4.854798324460674e-08,2.0814250167866533e-07
1846,4.9763260845381296e-08,1.6685329384813485e-07
1847,4.6381722462740527e-08,1.601787493754614e-07
1848,4.746680914990975e-08,1.7860392809154746e-07
1849,6.53594354194098e-08,1.7512976713263129e-07
1850,3.190828223864628e-08,2.2878916094981605e-07
1851,2.8377530103540494e-08,2.3088990985797864e-07
1852,2.7995344931142085e-08,2.0117586063683746e-07
1853,4.538668063602813e-08,2.4484919936007543e-07
1854,2.909572138776184e-08,2.0211134632575067e-07
1855,4.351688431825096e-08,2.1280817463775747e-07
1856,4.141751341890654e-08,1.8430793929935518e-07
1857,4.6862487224075267e-08,2.430991510316005e-07
1858,3.1319527193929275e-08,2.109174359610222e-07
1859,6.925355844344949e-08,1.9808554352351848e-07
1860,4.119465399354816e-08,2.39844430982572e-07
1861,5.8477948927659895e-08,2.390993660839058e-07
1862,5.4215835432191994e-08,2.0285758539628773e-07
1863,4.345320192555846e-08,1.7930688400724648e-07
1864,4.8426753718189275e-08,2.234343199347677e-07
1865,2.7299696503391147e-08,2.2028031820831018e-07
1866,4.233083156224282e-08,2.0970792302676955e-07
1867,3.396968040192405e-08,1.8877436858133478e-07
1868,4.544684228946494e-08,2.1784844461691932e-07
1869,4.39516714134669e-08,2.471060618347565e-07
1870,2.9243648391741317e-08,2.5115133617248375e-07
1871,4.5671061599250606e-08,1.933054250002897e-07
1872,3.507456636242523e-08,2.2496101870217444e-07
1873,1.9155214636690232e-08,1.5144591181126543e-07
1874,4.899179373296647e-08,2.1269608785345895e-07
1875,3.20405533216217e-08,1.8766608422815523e-07
1876,2.9020871705753848e-08,1.517549677032548e-07
1877,5.3807897693047835e-08,1.9976955734080093e-07
1878,2.657199060784876e-08,1.860039242629341e-07
1879,5.376206224649849e-08,1.875562927189378e-07
1880,4.2357786611546544e-08,1.874011101854478e-07
1881,5.0899306103247e-08,2.1963398300073322e-07
1882,4.459108193799466e-08,2.0631693864459066e-07
1883,3.349249522166531e-08,1.7125408025009392e-07
1884,4.7532218161450146e-08,2.3634075585476921e-07
1885,4.705314010644557e-08,1.7854411327178354e-07
1886,2.9040588100937015e-08,1.5940055164698208e-07
1887,4.1785117199655275e-08,1.8738013540797738e-07
1888,3.043495011567643e-08,1.9085250979600232e-07
1889,3.508476531521865e-08,1.8732759343720318e-07
