year,puissent_VERB écrire_VERB,puissent_VERB décrire_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,2.3811825844433088e-09
1802,0.0,2.2378401354217203e-09
1803,2.5354410126965377e-08,1.1702034896643454e-08
1804,1.730295728918918e-08,4.943701892301533e-09
1805,2.842877711017877e-09,8.528632911009026e-09
1806,1.152667650217154e-08,0.0
1807,1.1387820464392462e-08,5.693910232196231e-09
1808,2.2660739951163578e-09,0.0
1809,1.129515236897305e-08,0.0
1810,2.3401267590372754e-09,4.680253518074551e-09
1811,2.5070767684098882e-09,1.7549536934780008e-08
1812,0.0,2.6672082320544632e-09
1813,2.8757416448144113e-09,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,0.0
1816,4.6352077731626196e-09,6.952811659743929e-09
1817,3.113746815941454e-09,6.227493631882908e-09
1818,5.960588467246453e-09,1.1921177378582115e-09
1819,1.035105001712111e-09,5.175524897538253e-09
1820,8.306536791735653e-09,7.119888678630559e-09
1821,9.86148829262845e-10,9.86148829262845e-10
1822,1.0025615893027862e-09,8.02049271442229e-09
1823,2.9648061783404955e-09,1.9765373782121287e-09
1824,1.431589158329416e-08,1.7684335773537896e-08
1825,8.805443041381977e-10,9.68598712347557e-09
1826,3.5231937367541377e-09,1.5854372037438225e-08
1827,2.2121454890111636e-08,6.452091305675367e-09
1828,6.420610709767516e-09,6.420610709767516e-09
1829,4.286587973467704e-09,4.286587973467704e-09
1830,3.1310507520032616e-09,0.0
1831,3.1182412207897414e-09,3.1182412207897414e-09
1832,2.705993873419743e-09,1.352996914505411e-08
1833,6.950177322551099e-09,1.1583628500844156e-09
1834,4.667265685043276e-09,5.600718555598405e-09
1835,3.025235173481633e-09,4.5378527602224494e-09
1836,4.032449929525228e-09,2.016224964762614e-09
1837,4.174734336004349e-09,0.0
1838,2.5248647617104325e-09,3.1560809521380406e-09
1839,1.11863602825224e-08,1.3982950353153e-09
1840,3.1848443882154243e-09,3.1848443882154243e-09
1841,2.5682194149112547e-09,1.2841097074556274e-09
1842,8.049918065466954e-09,9.391571076378114e-09
1843,1.0041748765843295e-08,1.9492807368237663e-08
1844,9.330554107123135e-09,5.488561161115513e-09
1845,1.2834524554250493e-08,1.1160455670733427e-08
1846,2.4003455223464698e-08,1.7563503984519002e-09
1847,7.011190739092399e-09,0.0
1848,6.43617736884039e-09,2.413566457803995e-09
1849,7.54147322368226e-09,0.0
1850,2.0366988096043315e-08,2.7155984128057753e-09
1851,7.739326512989919e-09,6.449438760824933e-09
1852,5.859490670445666e-09,6.510545436100301e-10
1853,1.5527023222716707e-08,1.1943863675867306e-09
1854,5.7152309551611324e-09,2.5978321716024766e-09
1855,1.4328730202350926e-08,3.1841622671890946e-09
1856,1.0872097000458325e-08,4.141751386299575e-09
1857,6.8341128311999455e-09,4.881508974818871e-09
1858,9.787352039936081e-10,1.9574704079872163e-09
1859,9.675129142294736e-09,4.073738679721828e-09
1860,1.327383358784573e-08,1.373155145145688e-09
1861,4.2443675241088386e-09,0.0
1862,3.162590411776023e-09,9.035972525772706e-10
1863,1.2986014041871385e-08,9.989241656072068e-10
1864,2.3973640850272204e-09,9.589455896019672e-10
1865,1.6473954644879996e-08,4.706844358715045e-10
1866,1.751620715140234e-08,1.9462451650298362e-09
1867,1.8925964795357686e-08,4.85281148598915e-10
1868,7.903798504571569e-09,1.4819622196071691e-09
1869,3.4184632902167778e-09,0.0
1870,6.307453670473251e-09,2.2936195165357276e-09
1871,3.18635318130589e-09,0.0
1872,5.442605477412599e-09,1.2094678591978436e-09
1873,1.0176207432266438e-08,0.0
1874,2.3898436563030145e-09,6.572069999322139e-09
1875,2.8607636259891933e-09,1.716458086775674e-09
1876,1.813804439976252e-09,7.859819461941697e-09
1877,1.2988113695655557e-08,0.0
1878,2.4156354694326865e-09,5.435179861734696e-09
1879,1.221865053580018e-09,0.0
1880,5.134277003548959e-09,1.9253538763308597e-09
1881,8.367009307619355e-09,1.045876096839038e-08
1882,5.324308105514319e-09,7.986462158271479e-09
1883,1.2638677659992936e-08,3.791603475633565e-09
1884,9.242375753615306e-09,6.601696966868076e-10
1885,8.379326565943757e-09,5.80107206715752e-09
1886,5.808117542471791e-09,6.453463874400711e-10
1887,3.264462256069578e-09,6.528924623161458e-10
1888,4.4384300679212174e-09,3.804368819970705e-09
1889,6.265136853755848e-09,0.0
1890,5.243509182406569e-09,5.898947996740844e-09
1891,5.736798147637501e-09,6.374220040683554e-10
1892,1.4417578242387208e-08,5.014809900671935e-09
1893,6.774258043407144e-09,2.463366621796581e-09
1894,1.071261657159539e-08,1.8904617871129403e-09
1895,2.768562623600701e-08,0.0
1896,1.179405795248556e-09,4.1279202278587945e-09
1897,7.574727511894253e-09,4.078699600285063e-09
1898,1.584339415217073e-08,0.0
1899,7.738609753005221e-09,1.6582735185011188e-09
1900,8.30568502863116e-09,1.038210628578895e-09
1901,1.1736351446245408e-08,5.588738916095792e-10
1902,1.3748794991386148e-08,3.928227076954727e-09
1903,2.1600881083827517e-09,3.7801539676252105e-09
1904,5.374625189347171e-10,3.7622376325430196e-09
1905,5.676835002077496e-09,0.0
1906,8.745113966313056e-09,1.0288369045596824e-09
1907,8.742834012309686e-09,2.057137349353866e-09
1908,5.893666887857307e-09,9.822778146428846e-10
1909,4.950885035270858e-09,1.6502950117569526e-09
1910,1.4429207162436342e-08,5.344150677544235e-10
1911,2.553779587799454e-08,3.1922244847493175e-09
1912,2.0837685354990754e-08,4.688478938419394e-09
1913,1.4318072061314524e-08,5.833288518886093e-09
1914,6.696743604095445e-09,0.0
1915,2.238344798399794e-08,3.534228465440492e-09
1916,4.394984820521586e-09,2.197492410260793e-09
1917,1.315970976634162e-08,2.1932848870420685e-09
1918,3.44591288836682e-09,2.2972752589112133e-09
1919,9.207848705727883e-09,1.8415696745321952e-09
1920,8.329454459499175e-09,0.0
1921,9.087297137000405e-09,1.5145494858259667e-09
1922,8.853522359686394e-09,4.426761179843197e-09
1923,9.554353752605493e-09,1.0615948120573648e-08
1924,7.734974438733389e-09,0.0
1925,4.399271169575059e-09,0.0
1926,1.2260752413340015e-08,4.458455382660986e-09
1927,8.919379901328739e-09,1.1149224876660924e-09
1928,3.4278122562625413e-09,9.14083297942625e-09
1929,4.4561625500705304e-09,1.1140406375176326e-09
1930,9.453243521306831e-09,0.0
1931,3.4216069977333063e-09,0.0
1932,6.575722188983946e-09,0.0
1933,6.882397318719313e-09,0.0
1934,4.7926320689839486e-09,2.3963160344919743e-09
1935,4.787313656606784e-09,0.0
1936,6.0623572828433225e-09,4.849885826274658e-09
1937,1.2591118148108649e-09,0.0
1938,3.8895642262559704e-09,2.5930428915188486e-09
1939,4.588215141154706e-09,0.0
1940,0.0,5.0715658339584024e-09
1941,1.1806010391524069e-08,2.9515025978810172e-09
1942,1.517105907566929e-08,0.0
1943,5.806470415592457e-09,0.0
1944,0.0,3.2131861615880553e-09
1945,1.5249527862692958e-08,6.535512131478072e-09
1946,1.2528993842408909e-08,2.7842208538686464e-09
1947,5.960435700558264e-09,0.0
1948,5.435944139264848e-09,1.0871887834440486e-09
1949,5.890204768377316e-09,7.853606653895895e-09
1950,1.0635361480382244e-09,7.444753258312176e-09
1951,8.529121409139861e-09,0.0
1952,8.435843135146115e-09,4.2179215675730575e-09
1953,5.386913581872932e-09,0.0
1954,8.795282724349818e-09,1.9545072227344917e-09
1955,8.447047505910632e-09,0.0
1956,2.616342476002842e-09,4.360570571293465e-09
1957,8.835037590415595e-09,8.835037701437898e-10
1958,7.445019267748876e-09,8.272243445794913e-10
1959,7.750747599288843e-09,6.200598257066758e-09
