year,avait_VERB étendu_VERB,avait_VERB etendu_VERB,avait_VERB détendu_VERB
1800,2.1694735607979965e-07,3.144164484325529e-09,3.144164484325529e-09
1801,2.0001934331048687e-07,0.0,2.3811825844433088e-09
1802,1.3874608839614666e-07,0.0,4.475680270843441e-09
1803,1.677291692203653e-07,1.950339223455444e-09,1.950339223455444e-09
1804,2.2741028260497842e-07,0.0,2.4718509461507665e-09
1805,2.6723051860244595e-07,0.0,2.842877711017877e-09
1806,2.0171684411707247e-07,0.0,0.0
1807,4.89676267534378e-07,8.540865792383556e-09,0.0
1808,1.7901984961099515e-07,0.0,0.0
1809,2.0331275152329908e-07,2.259030518203531e-09,0.0
1810,2.1295153374012443e-07,0.0,0.0
1811,1.1532553401139012e-07,0.0,0.0
1812,3.3073382610382396e-07,0.0,2.6672082320544632e-09
1813,3.5084048022326897e-07,2.8757416448144113e-09,5.751483289628823e-09
1814,1.4789382873914292e-07,0.0,6.293354282149721e-09
1815,1.9959453823048534e-07,0.0,5.394447111228828e-09
1816,2.016315363562171e-07,0.0,0.0
1817,2.459860013459547e-07,1.556873407970727e-09,3.113746815941454e-09
1818,2.563053271842364e-07,0.0,0.0
1819,3.063910867240338e-07,0.0,2.070210003424222e-09
1820,2.669958121259697e-07,0.0,3.5599443393152796e-09
1821,2.968307910578005e-07,0.0,0.0
1822,3.198171611984435e-07,0.0,3.0076847679083585e-09
1823,3.1328116278928064e-07,1.9765373782121287e-09,4.941343334508019e-09
1824,3.5031828815590416e-07,0.0,9.263223965660927e-09
1825,3.874394849390228e-07,1.7610886082763955e-09,3.522177216552791e-09
1826,4.095712711205124e-07,2.642395191543301e-09,5.284790383086602e-09
1827,3.5763019923251704e-07,5.530363722527909e-09,6.452091305675367e-09
1828,3.5955420685240824e-07,0.0,2.7516904310687096e-09
1829,4.1837100184238807e-07,0.0,8.57317605795771e-10
1830,4.0599292105980567e-07,4.174734336004349e-09,0.0
1831,2.806417001011141e-07,0.0,1.5591206103948707e-09
1832,3.842511375751201e-07,0.0,5.411987746839486e-09
1833,4.4133625465292425e-07,0.0,5.791814139399776e-09
1834,3.276420272868563e-07,0.0,1.5868701908061666e-08
1835,3.736165581358364e-07,7.563087933704082e-10,1.2100940693926532e-08
1836,3.528393790475093e-07,0.0,1.0753200108126748e-08
1837,3.541566400144802e-07,6.957890930081589e-10,2.2265250976261086e-08
1838,3.743112131360249e-07,6.312161904276081e-10,8.837027110075724e-09
1839,3.8243368294388347e-07,6.9914751765765e-10,5.5931801412612e-09
1840,4.719939283859276e-07,6.369688665408546e-10,1.6561189752906103e-08
1841,3.948637470330141e-07,6.420548537278137e-10,6.420548537278137e-09
1842,3.5285475519231113e-07,0.0,8.720745015011744e-09
1843,3.9162819120974746e-07,0.0,5.31621990873532e-09
1844,4.945193836647377e-07,5.488561272137815e-10,6.037417232818143e-09
1845,4.475342905152502e-07,2.2320911785556063e-09,3.348136878855712e-09
1846,4.1976775833063584e-07,1.1709002656346001e-09,7.025401593807601e-09
1847,4.940192752656003e-07,1.0786447290911383e-09,8.629157832729106e-09
1848,4.5777312607242493e-07,8.045221711050488e-10,8.84974404868899e-09
1849,4.3489163203958014e-07,8.379414939696517e-10,1.0893239199560867e-08
1850,3.7475257386176963e-07,0.0,6.788996032014438e-09
1851,3.766472218558192e-07,0.0,1.0319102017319892e-08
1852,3.339909824262577e-07,6.510545436100301e-10,3.2552727180501506e-09
1853,3.475664414054336e-07,0.0,1.3735443005202796e-08
1854,4.1721185084497847e-07,1.558699391779328e-09,1.506742641765868e-08
1855,4.1818663021331304e-07,1.0613874223963649e-09,1.6982198758341838e-08
1856,3.644741184416489e-07,0.0,1.4496129630003907e-08
1857,3.0899951752871857e-07,0.0,2.9289055625270066e-09
1858,4.179199208920181e-07,0.0,5.3830437884982985e-09
1859,4.0482777308170625e-07,0.0,8.147477359443656e-09
1860,3.734982101377682e-07,4.577183909670879e-10,8.696649622663699e-09
1861,3.3954938771785237e-07,0.0,1.4147891747029462e-09
1862,3.7815544828845304e-07,0.0,4.517986429419807e-09
1863,2.9917779897914443e-07,4.994620828036034e-10,1.748117206545885e-08
1864,3.236441443732474e-07,9.589455896019672e-10,8.63051052846231e-09
1865,3.435996518419415e-07,0.0,6.118897832863013e-09
1866,4.1455021460024e-07,0.0,4.379051787850585e-09
1867,2.994184740146011e-07,4.85281148598915e-10,4.367530337390235e-09
1868,3.5468295322971244e-07,4.93987406535723e-10,1.3831646938911035e-08
1869,3.096151033332717e-07,1.4650557433881772e-09,3.4184632902167778e-09
1870,3.537908241924015e-07,1.1468097582678638e-09,1.3188312664169644e-08
1871,2.2941742372495355e-07,0.0,2.6552942955504477e-08
1872,3.319989332339901e-07,0.0,5.442605477412599e-09
1873,2.520107784675929e-07,0.0,4.788803575905831e-09
1874,2.4316659619216807e-07,0.0,2.1508592240593316e-08
1875,3.295599526609294e-07,5.721527140956084e-10,4.005069165202713e-09
1876,3.1016057278066e-07,0.0,6.650616057868319e-09
1877,3.3583549452487205e-07,0.0,9.27722432209066e-09
1878,2.6994726454177e-07,0.0,6.6429977074733415e-09
1879,2.9202576001807756e-07,0.0,7.331190321480108e-09
1880,3.144744766814256e-07,6.417846254436199e-10,8.343199908722454e-09
1881,2.4264326725642604e-07,6.972507571312292e-10,4.183504653809678e-09
1882,3.0481663770842715e-07,0.0,1.1314154946262533e-08
1883,2.2180879000188725e-07,0.0,1.3902545781263598e-08
1884,2.68028884420346e-07,1.3203393933736152e-09,1.650424152899177e-08
1885,2.6298192778995144e-07,6.445635691854079e-10,1.6114089618213256e-08
1886,3.007314148817386e-07,0.0,1.613365974151293e-08
1887,2.918429231613118e-07,0.0,4.570247291724172e-09
1888,2.4157742473107646e-07,0.0,1.3315291091942072e-08
1889,3.019795826730842e-07,0.0,6.891650361495749e-09
1890,2.084294834503453e-07,0.0,5.898947996740844e-09
1891,2.658049709225452e-07,0.0,1.0836173736095134e-08
1892,1.98084990188363e-07,0.0,3.1342561879199593e-09
1893,2.297089309877265e-07,0.0,6.774258043407144e-09
1894,1.9534772377483023e-07,0.0,8.822155450616265e-09
1895,2.5217994448212266e-07,0.0,1.1435367319734269e-08
1896,3.001587742801348e-07,0.0,7.66613794667137e-09
1897,2.435566273106815e-07,0.0,5.826713334045053e-09
1898,2.512309436042415e-07,0.0,1.2448380992680086e-08
1899,2.0949522649971186e-07,0.0,1.1055156790007459e-08
1900,2.3048275465953338e-07,0.0,1.4015843596837385e-08
1901,2.1851968767805374e-07,0.0,1.117747761014698e-08
1902,1.9592032174386986e-07,0.0,9.329538919189417e-09
1903,1.8846768057301233e-07,0.0,1.1880484152015924e-08
1904,2.2304693914065865e-07,0.0,1.3974025492302644e-08
1905,2.0797858724108664e-07,0.0,1.3417973399043603e-08
1906,2.1554133411427756e-07,0.0,8.230695236477459e-09
1907,2.4634221063024597e-07,5.142843373384665e-10,4.6285588695127444e-09
1908,2.1364542135415832e-07,0.0,1.4243028090277221e-08
1909,2.051866800911739e-07,5.500983557560346e-10,1.4302557360679202e-08
1910,2.3514263602919527e-07,0.0,1.068830179917768e-08
1911,2.2345571437654144e-07,5.320374141248863e-10,1.0640748726586935e-08
1912,2.0264648981083155e-07,0.0,7.293189607793238e-09
1913,1.7977134803004446e-07,0.0,3.181793939432964e-09
1914,2.444311348881456e-07,0.0,1.5402511266415786e-08
1915,2.120537203609274e-07,0.0,2.3561523843085297e-09
1916,1.9557683117454872e-07,0.0,9.888715624128963e-09
1917,2.4674454834894277e-07,0.0,4.386569774084137e-09
1918,2.549975590682152e-07,0.0,1.4932290071101306e-08
1919,2.642652532358625e-07,0.0,1.1970202606903513e-08
1920,2.2489528817004611e-07,0.0,6.815008557481406e-09
