year,eut_VERB écrit_VERB,eut_VERB ecrit_VERB,eut_VERB décrit_VERB
1800,6.288328791015374e-08,0.0,3.458580977167003e-08
1801,9.762848662830947e-08,0.0,9.524730337773235e-09
1802,1.7231369042747247e-07,0.0,8.951360541686881e-09
1803,3.1205427575287104e-08,0.0,3.900678446910888e-09
1804,1.087614407424553e-07,2.4718509461507665e-09,2.4718509461507665e-09
1805,1.0802935435094696e-07,0.0,0.0
1806,6.627838899930794e-08,0.0,0.0
1807,8.256169792275614e-08,0.0,5.693910232196231e-09
1808,2.945896149242344e-08,0.0,0.0
1809,4.0662548883574345e-08,0.0,4.518061036407062e-09
1810,7.020380365929668e-08,4.680253518074551e-09,0.0
1811,7.771937760026049e-08,0.0,5.0141535368197765e-09
1812,4.000812481308458e-08,0.0,0.0
1813,4.026038169513413e-08,0.0,5.751483289628823e-09
1814,6.608021863030444e-08,0.0,6.293354282149721e-09
1815,7.821948599939788e-08,0.0,0.0
1816,4.6352077731626196e-08,0.0,0.0
1817,8.095742032310227e-08,0.0,1.556873407970727e-09
1818,5.96058882251782e-08,0.0,1.1921177378582115e-09
1819,6.417651121637391e-08,0.0,6.210630232317271e-09
1820,6.170570543417853e-08,0.0,4.746592452420373e-09
1821,8.678109963966563e-08,4.930744257336528e-09,0.0
1822,7.418955760840618e-08,0.0,0.0
1823,5.830785099192326e-08,0.0,6.917880934764753e-09
1824,6.736890156844311e-08,0.0,5.894778887238772e-09
1825,8.012953145453139e-08,0.0,2.641632912414593e-09
1826,8.103345550125596e-08,0.0,0.0
1827,9.954654700550236e-08,0.0,3.6869092223668076e-09
1828,5.595103758082587e-08,0.0,3.668920500743411e-09
1829,9.687688873327716e-08,0.0,1.714635211591542e-09
1830,5.218418053232199e-08,0.0,1.0436835840010872e-09
1831,5.456922025359745e-08,1.5591206103948707e-09,2.6505050598757407e-08
1832,6.22378593106987e-08,0.0,0.0
1833,8.108539617524002e-08,0.0,0.0
1834,7.374279675786966e-08,0.0,7.467624740797874e-09
1835,7.411826175030001e-08,0.0,1.3613558280667348e-08
1836,5.511014933290426e-08,0.0,5.376600054063374e-09
1837,9.253994903701823e-08,0.0,9.045257876039159e-09
1838,8.142689011947368e-08,0.0,0.0
1839,6.012668762878093e-08,0.0,4.894032734625853e-09
1840,8.471685930544481e-08,0.0,3.1848443882154243e-09
1841,7.833069304297169e-08,0.0,4.494383976094696e-09
1842,7.110760691375617e-08,0.0,6.708265054555795e-10
1843,6.556670939517062e-08,0.0,1.1813822142769936e-09
1844,9.989181393166291e-08,0.0,3.2931368743049916e-09
1845,4.408380149811819e-08,0.0,1.1160455892778032e-09
1846,4.976326195560432e-08,5.854501328173001e-10,5.854501328173001e-09
1847,7.442648808364538e-08,5.393223645455691e-10,1.6179670936367074e-09
1848,7.723412664972784e-08,0.0,1.448139919091318e-08
1849,2.5976186535103807e-08,0.0,1.6758829879393033e-09
1850,3.6660580349234806e-08,0.0,2.0366988096043315e-09
1851,5.6755062871616246e-08,0.0,1.0319102017319892e-08
1852,3.906327350478023e-08,0.0,1.2370036550635177e-08
1853,6.210809289086683e-08,0.0,3.5831591027601917e-09
1854,5.7152309551611324e-08,0.0,1.1950028522278444e-08
1855,4.5108965451845506e-08,0.0,2.653468555990912e-09
1856,6.989205303398194e-08,0.0,2.019103817474388e-08
1857,6.931743001814539e-08,0.0,2.4407544874094356e-09
1858,6.263905305559092e-08,9.787352039936081e-10,6.8511463169329545e-09
1859,5.8050776630125256e-08,0.0,1.5276520048956854e-09
1860,6.774232019779447e-08,0.0,8.238931314963338e-09
1861,8.300096254743039e-08,0.0,7.545541969022906e-09
1862,8.087195624284504e-08,4.517986262886353e-10,1.400575744270327e-08
1863,5.194405616748554e-08,9.989241656072068e-10,8.990317823531768e-09
1864,4.890622662401256e-08,0.0,3.0206784629172034e-08
1865,6.024760779155258e-08,0.0,4.706844358715045e-10
1866,5.692767146570077e-08,0.0,1.3137154475373336e-08
1867,4.804283548764943e-08,0.0,5.338092634588065e-09
1868,6.224241388963492e-08,0.0,7.903798504571569e-09
1869,4.150991372853241e-08,0.0,5.860222973552709e-09
1870,6.135432073506308e-08,0.0,4.013834153937523e-09
1871,3.823623728749226e-08,0.0,1.1683295220166201e-08
1872,3.688877114882416e-08,0.0,2.4189357183956872e-09
