year,frappant_VERB en_ADP,frappant_VERB dans_ADP
1800,1.2576657582030748e-07,6.131120926511358e-07
1801,1.2858386355674156e-07,4.02419857437053e-07
1802,7.832440473976021e-08,4.968005100636219e-07
1803,4.8758479920252285e-08,4.6418074362009065e-07
1804,1.7797326279378467e-07,5.19088700912107e-07
1805,1.02343598484822e-07,4.832892273043399e-07
1806,8.35684019762084e-08,3.429186392622796e-07
1807,6.263301344233696e-08,5.580031938734464e-07
1808,4.5321478125970316e-08,4.1469152733952797e-07
1809,5.873479480555943e-08,5.896069410482596e-07
1810,7.956430891908894e-08,4.001616673576791e-07
1811,6.016983888912364e-08,3.9611813917872496e-07
1812,7.734903562095496e-08,4.0808285461935156e-07
1813,6.614205716459765e-08,4.658701584503433e-07
1814,5.034683425719777e-08,3.6501455724646803e-07
1815,5.933891955578474e-08,2.1577788800186681e-07
1816,1.0660977523002657e-07,3.4068776244566834e-07
1817,7.628679554727569e-08,3.8454771811302635e-07
1818,9.536941547594324e-08,3.683643683416449e-07
1819,1.0351050150347874e-07,2.98110251151229e-07
1820,7.594547923872597e-08,2.5275605253227695e-07
1821,8.57949515875589e-08,3.333182974074589e-07
1822,6.616906489398389e-08,2.997659294123878e-07
1823,8.696764552951208e-08,2.954923274955945e-07
1824,1.0779024250950897e-07,2.458965013829584e-07
1825,8.453225319726698e-08,3.32845758066469e-07
1826,7.751026487312629e-08,2.836170835962548e-07
1827,1.0968555130830282e-07,2.755964771949948e-07
1828,6.604057034564903e-08,2.1096292357469792e-07
1829,1.0459275046059702e-07,2.143294040024557e-07
1830,9.810625556383457e-08,3.3919715747288137e-07
1831,9.666548095310645e-08,3.11824123855331e-07
1832,8.929779937716376e-08,3.8154513504196075e-07
1833,5.79181431703546e-08,3.9616008962184424e-07
1834,1.1388127774125678e-07,3.2484166467838804e-07
1835,7.714349692378164e-08,3.078176860071835e-07
1836,6.653542783396915e-08,4.0257293676404515e-07
1837,9.53231023004264e-08,3.2771666269582056e-07
1838,6.754013526233393e-08,3.94510124124281e-07
1839,6.362242288560083e-08,2.9853597993678704e-07
1840,1.0382592563473736e-07,3.719898131748778e-07
1841,9.823439484080154e-08,3.287320851086406e-07
1842,9.39157089874243e-08,3.1059266802913044e-07
1843,9.391988697871057e-08,4.1702793396325433e-07
1844,8.836583731408609e-08,2.6509749773140356e-07
1845,7.031087534414837e-08,3.325815782773134e-07
1846,8.489026726010707e-08,3.489282676127914e-07
1847,7.981971350545791e-08,2.788296740163787e-07
1848,3.781254065415851e-08,2.6629683702594775e-07
1849,9.971503800443315e-08,2.0278184820199385e-07
1850,4.955967014552698e-08,2.4644054974487517e-07
1851,6.707416133622246e-08,3.089281221946294e-07
1852,1.40627776090696e-07,2.8581294486684783e-07
1853,8.480143520728234e-08,2.974022095258988e-07
1854,8.313062949127925e-08,3.330420952352142e-07
1855,5.519214596461097e-08,3.348677353187668e-07
1856,7.506924504241397e-08,2.992415488733968e-07
1857,1.1081025519388277e-07,2.865445765110053e-07
1858,4.991549573674092e-08,3.552808891527093e-07
