year,restant_VERB en_ADP,restant_VERB dans_ADP
1800,2.2637983665418915e-07,5.753821028520179e-07
1801,2.2383116271562642e-07,6.09582741617487e-07
1802,4.856113093865133e-07,8.3247653037688e-07
1803,2.632958018278231e-07,3.3155765777337365e-07
1804,2.916784183071286e-07,5.141449719303637e-07
1805,4.861320803684066e-07,5.913185532335774e-07
1806,4.812387714991928e-07,7.377072961389786e-07
1807,5.124519475430134e-07,4.384311012017861e-07
1808,2.787271049520257e-07,2.8325925427452603e-07
1809,4.4051094905128707e-07,6.347875682877202e-07
1810,3.416585028226393e-07,3.9782153749001736e-07
1811,4.613021289401331e-07,6.367974947352195e-07
1812,3.7874358138623165e-07,4.320877451391425e-07
1813,4.1410679330056155e-07,6.757992754291564e-07
1814,6.513621428894112e-07,6.041619826646638e-07
1815,8.010753798082249e-07,5.852975311082531e-07
1816,4.890144076341585e-07,5.28413693245966e-07
1817,3.8299086857485065e-07,5.044269641985011e-07
1818,3.4690626193878416e-07,5.722164928556595e-07
1819,3.5193568681535226e-07,4.2853348303228955e-07
1820,3.15648406967739e-07,4.1770014735931227e-07
1821,2.2089733420216362e-07,4.950467094033684e-07
1822,2.967582304336247e-07,4.1004769002483954e-07
1823,2.391610238738906e-07,4.7634551947339787e-07
1824,5.608460895700773e-07,3.5200250181333104e-07
1825,3.9008113361660435e-07,4.7373282541229855e-07
1826,4.500880010915864e-07,3.4174979646195425e-07
1827,4.313683792389611e-07,3.8251682710210844e-07
1828,4.191741660997117e-07,6.117924726822821e-07
1829,3.8493560206021016e-07,4.972442297912494e-07
1830,4.164297466857647e-07,4.821818082589857e-07
1831,3.1338323891461073e-07,6.174117856971861e-07
1832,5.506697503543379e-07,6.142606165937536e-07
1833,4.668202340241123e-07,5.745479901841932e-07
1834,4.433902258682565e-07,5.554045969802246e-07
1835,4.40928026534948e-07,4.764745540342119e-07
1836,4.570109932156008e-07,5.195140033720236e-07
1837,3.200629866695337e-07,4.5365449929946067e-07
1838,3.5789956776000054e-07,5.64307269579345e-07
1839,5.362461625857406e-07,6.879611680332687e-07
1840,3.9428374121186494e-07,6.356949255881261e-07
1841,4.327449576457809e-07,6.189408736645419e-07
1842,3.6425878580104154e-07,7.164427047179345e-07
1843,4.908643119749811e-07,6.787040913724951e-07
1844,4.1932608496608736e-07,7.190015272051653e-07
1845,5.708572997642491e-07,7.25987645555648e-07
1846,3.8873889707247145e-07,7.780632516052322e-07
1847,4.562667115237673e-07,5.738389914355935e-07
1848,4.843223582184919e-07,7.136111754846297e-07
1849,5.446619937288233e-07,7.750958719299206e-07
1850,4.3110123471024053e-07,6.999454731371202e-07
1851,4.32112410742036e-07,7.204023373397206e-07
1852,5.423284239469695e-07,7.246237301306024e-07
1853,5.249327919010227e-07,7.518662150651778e-07
1854,5.626904327482585e-07,7.024538550837178e-07
1855,4.1712524634363035e-07,7.721593249243597e-07
1856,4.90279834231e-07,6.79247206702982e-07
1857,5.169517969250137e-07,8.679322904825426e-07
1858,4.918144589360907e-07,8.720530662031933e-07
1859,5.468994057622467e-07,8.381717433447733e-07
1860,4.778580056097326e-07,7.8361388222703e-07
1861,5.470517925876273e-07,7.965262676101759e-07
1862,5.069180577521593e-07,8.642907762812513e-07
1863,5.344244176086477e-07,7.232210794683169e-07
1864,6.007793942330864e-07,9.268208893686847e-07
1865,5.177528716870938e-07,7.460348420140761e-07
1866,4.364454735394929e-07,7.634146439450262e-07
1867,6.250421300535436e-07,8.094489718502018e-07
1868,5.102890066055465e-07,8.951051650996078e-07
1869,5.06420956725151e-07,9.405657639405263e-07
1870,4.74205848366438e-07,8.635477435348093e-07
1871,7.742838437074795e-07,1.0642420136264263e-06
1872,5.99291311575989e-07,1.006277214443685e-06
1873,6.063822457491597e-07,1.0463535247140499e-06
1874,7.354743633558591e-07,1.1094848693105064e-06
1875,5.452615248202619e-07,8.788265501991077e-07
1876,5.344676985430397e-07,9.316908982093253e-07
1877,6.085859147741957e-07,9.308148172237907e-07
1878,6.443707877279437e-07,8.110496136914946e-07
1879,5.583923425866999e-07,8.363666017530136e-07
1880,5.853075741857339e-07,8.234096906534205e-07
1881,5.675621325140767e-07,9.238572316050409e-07
1882,5.191200584953037e-07,8.838351241990949e-07
1883,6.098161892120757e-07,8.701729470317332e-07
1884,6.66771373225572e-07,9.156553764100295e-07
1885,7.038634273204281e-07,1.0010072366561928e-06
1886,7.027822033212061e-07,8.725083162630654e-07
1887,6.992478378542444e-07,8.87933735427282e-07
1888,6.702029453631297e-07,8.889541565082482e-07
1889,6.16489465421477e-07,9.259872308930994e-07
1890,7.839046339275235e-07,9.110597480876947e-07
1891,8.484086588822493e-07,1.2111018090621428e-06
1892,8.174140369021643e-07,1.077557325146472e-06
1893,7.599485921661042e-07,9.834991492319034e-07
1894,7.750893269431458e-07,1.0498363964828172e-06
1895,7.529286865093354e-07,9.918677239539875e-07
1896,7.778181059236999e-07,1.079156320749064e-06
1897,9.2528209449938e-07,1.0552178366651788e-06
1898,8.385681777856036e-07,1.0699949006820475e-06
1899,8.623022367260091e-07,1.0132051642131046e-06
1900,7.433587905225636e-07,1.184079195581944e-06
1901,8.595480212036932e-07,1.016591591351812e-06
1902,1.1033407929517125e-06,1.5653984513086527e-06
1903,1.019561585380302e-06,1.0892244421967234e-06
1904,7.949070690571602e-07,1.1125474586037853e-06
1905,7.070239962381208e-07,1.0337000881932568e-06
1906,7.783151207974015e-07,1.0036304498584059e-06
1907,1.2419966521903802e-06,1.1489112345941521e-06
1908,7.239387542767872e-07,1.0309005276099015e-06
1909,7.67387182687429e-07,1.1073479555534504e-06
1910,8.491855226777645e-07,1.164490433414045e-06
1911,8.358307770350848e-07,9.69904154324297e-07
1912,9.418633557523037e-07,1.1518030618162811e-06
1913,8.384026748409212e-07,1.1194611646558883e-06
1914,8.786127687621104e-07,1.100944704290896e-06
