year,indiquant_VERB en_ADP,indiquant_VERB dans_ADP
1800,6.288328968651058e-09,2.829747991484055e-08
1801,2.3811825400343878e-08,4.286128785224719e-08
1802,1.7902721083373763e-08,7.608656460433849e-08
1803,4.8758479920252285e-08,2.9255089017965474e-08
1804,2.4718509905596875e-08,5.19088700912107e-08
1805,3.1271653710973624e-08,1.7057265822018053e-08
1806,4.3225035994964855e-08,8.35684019762084e-08
1807,4.839823830593559e-08,3.701041606518629e-08
1808,5.891792298484688e-08,6.798221985349073e-09
1809,4.51806094758922e-08,5.873479480555943e-08
1810,3.978215445954447e-08,7.956430891908894e-08
1811,5.0141537144554604e-08,7.019814773912003e-08
1812,3.7340914360584065e-08,2.1337665856435706e-08
1813,7.476928232108548e-08,1.4378708002027452e-08
1814,1.0384034254684593e-07,1.321604372606089e-07
1815,5.664169577812572e-08,9.170560133497929e-08
1816,5.0987285504788815e-08,3.7081662185300956e-08
1817,1.0275364559220179e-07,5.60474440192138e-08
1818,3.099506074022429e-08,2.5034472272977837e-08
1819,2.898294049202832e-08,1.449147024601416e-08
1820,1.4239777357261119e-08,1.3053129244156025e-08
1821,3.35290586406245e-08,2.2681422962023134e-08
1822,3.0076847679083585e-08,3.909990198280866e-08
1823,7.708495530778237e-08,4.4472091786929013e-08
1824,1.6000115010683658e-08,7.494790565942822e-08
1825,7.924898426381333e-08,4.842993561737785e-08
1826,2.6423952803611428e-08,1.3211976401805714e-08
1827,7.558163872545265e-08,5.622536392024813e-08
1828,3.485474309172787e-08,4.1275356466030644e-08
1829,3.8579290873030914e-08,4.372319750700626e-08
1830,3.339787468803479e-08,4.0703660886265425e-08
1831,4.5214498811674275e-08,6.704218691311326e-08
1832,6.3590853471851e-08,3.5177919244233635e-08
1833,4.6334513115198206e-08,4.054269808762001e-08
1834,6.534171603789218e-08,2.7070139907436896e-08
1835,4.764745398233572e-08,2.647080776796429e-08
1836,5.107770206791429e-08,3.8980349614803345e-08
1837,5.0096815584765864e-08,3.339787468803479e-08
1838,6.122797202579022e-08,5.1759727170974656e-08
1839,4.6842885126352485e-08,5.733009800223954e-08
1840,3.821813265858509e-08,4.2039946634986336e-08
1841,6.548959419205858e-08,4.6227949468402585e-08
1842,7.848669980603518e-08,5.769107858100142e-08
1843,7.265500556741245e-08,5.965980420796768e-08
1844,6.970472554712615e-08,2.9638231424655714e-08
1845,6.305657507255091e-08,5.8034370198356555e-08
1846,4.156695965207291e-08,5.913046408068112e-08
1847,5.3392913201832926e-08,5.2853593501822616e-08
1848,3.298540818263973e-08,5.873011943435813e-08
1849,4.9438547478075634e-08,8.882179969305071e-08
1850,5.5669765686161554e-08,5.5669765686161554e-08
1851,5.611011744122152e-08,8.126292527776968e-08
1852,7.747549091163819e-08,9.505396292297519e-08
1853,8.420423824873069e-08,4.001194398028929e-08
1854,8.624802916301633e-08,4.7800114089113777e-08
1855,4.404757802944914e-08,6.315255518529739e-08
1856,6.782117623060913e-08,4.7630141608578924e-08
1857,5.613735609699688e-08,4.490988203542656e-08
1858,5.4809170535463636e-08,3.8170671956549995e-08
1859,6.925355933162791e-08,6.874434177461808e-08
1860,5.309533435138292e-08,5.950339243554481e-08
1861,5.8949545689301885e-08,4.527325359049428e-08
1862,4.246907181482129e-08,4.337266901188741e-08
1863,6.293222298836554e-08,3.2465035104678464e-08
1864,5.3221480555976086e-08,3.3563097190381086e-08
1865,5.17752880568878e-08,7.060266682401561e-08
1866,6.909170480184912e-08,5.303517980337347e-08
1867,7.570385918143074e-08,2.91168689159349e-08
1868,4.4952855660085334e-08,5.335063946176888e-08
1869,6.446245492952585e-08,4.248661511496721e-08
1870,4.7019199200803996e-08,5.045962936378601e-08
1871,4.460894587055009e-08,6.160282595146782e-08
1872,7.680120717168393e-08,4.898344840853497e-08
1873,6.584605216630735e-08,8.14096594581315e-08
