year,voudront_VERB écrire_VERB,voudront_VERB décrire_VERB
1800,5.973912209356058e-08,0.0
1801,2.8574191901498125e-08,0.0
1802,4.0281122437590966e-08,0.0
1803,2.5354410126965377e-08,0.0
1804,3.213406074564773e-08,0.0
1805,1.1371510844071508e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,0.0,0.0
1808,5.6651849433819734e-08,0.0
1809,4.292158095609011e-08,0.0
1810,5.616304221689461e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,6.901780125190271e-08,0.0
1814,5.349351184236184e-08,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-08,0.0
1817,4.3592454090912724e-08,0.0
1818,1.4305412854298538e-08,0.0
1819,3.2088255608186955e-08,0.0
1820,2.0173018810965004e-08,0.0
1821,3.747365440176509e-08,0.0
1822,3.60922172149003e-08,0.0
1823,4.15072847204101e-08,0.0
1824,3.3684450784221553e-08,0.0
1825,2.553578504205234e-08,0.0
1826,4.932471142637951e-08,0.0
1827,4.055600300034712e-08,0.0
1828,1.0089530988466322e-08,0.0
1829,8.573175946935407e-09,1.714635211591542e-09
1830,2.0873670791843324e-08,8.349468672008697e-09
1831,7.795603096383275e-08,0.0
1832,9.470978667991403e-09,0.0
1833,3.359252431778259e-08,0.0
1834,1.0267983796552471e-08,0.0
1835,2.949604294144592e-08,0.0
1836,2.083432448785061e-08,0.0
1837,2.2265250976261086e-08,0.0
1838,1.3886756633496589e-08,0.0
1839,1.5381244722334486e-08,0.0
1840,1.2102408852854296e-08,0.0
1841,2.632424944692957e-08,0.0
1842,2.817471411731276e-08,0.0
1843,2.7171790151214736e-08,5.906911071384968e-10
1844,6.586273748609983e-09,0.0
1845,2.1204865419122143e-08,5.580227946389016e-10
1846,1.4636253098387897e-08,0.0
1847,3.020205241455187e-08,0.0
1848,1.045878850192139e-08,1.6090443422100975e-09
1849,1.3407063903514427e-08,0.0
1850,2.5798184921654865e-08,0.0
1851,1.805842941848823e-08,4.514607354622058e-09
1852,4.166749079104193e-08,1.3021090872200602e-09
1853,1.6124216628554677e-08,2.9859659189668264e-09
1854,2.1302223984775992e-08,1.0391328908454511e-09
1855,2.1227748447927297e-08,0.0
1856,2.0708757375587084e-08,5.177189232874468e-10
1857,2.6848299583548396e-08,4.881509085841174e-10
1858,3.572383633354548e-08,4.893676019968041e-10
1859,8.147477359443656e-09,2.5460866748261424e-09
1860,2.4259074749011234e-08,2.288591982591015e-09
1861,1.650587222457034e-08,0.0
1862,1.355395884417021e-08,0.0
1863,1.048870412745373e-08,0.0
1864,7.1920918109924514e-09,2.8768367688059016e-09
1865,1.3649848362717876e-08,0.0
1866,1.6056523222118813e-08,0.0
1867,2.4749338578544666e-08,1.455843445796745e-09
1868,2.420538258718352e-08,9.87974813071446e-10
1869,2.0510780629479086e-08,1.4650557433881772e-09
