year,auraient_VERB étendu_VERB,auraient_VERB détendu_VERB
1800,0.0,0.0
1801,9.524730337773235e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,1.129515236897305e-08,0.0
1810,2.574139479349924e-08,2.3401267590372754e-09
1811,0.0,0.0
1812,1.8670457180292033e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,2.6226590676969863e-08,0.0
1819,1.5526575580793178e-08,0.0
1820,1.542642635854463e-08,0.0
1821,2.9584463767662328e-09,0.0
1822,9.023054303725075e-09,1.0025615893027862e-09
1823,1.581229902569703e-08,0.0
1824,1.51580028528997e-08,0.0
1825,1.0566531649658373e-08,0.0
1826,1.145037931138404e-08,0.0
1827,5.530363722527909e-09,0.0
1828,4.586150570418113e-09,0.0
1829,1.1145129263923081e-08,0.0
1830,6.262101504006523e-09,0.0
1831,1.091384405071949e-08,0.0
1832,4.058990921151917e-09,0.0
1833,2.89590715851773e-08,0.0
1834,5.600718555598405e-09,0.0
1835,9.075705520444899e-09,0.0
1836,6.72075017860152e-09,0.0
1837,2.5744196108234974e-08,0.0
1838,1.8936486156917454e-08,0.0
1839,1.677954131196202e-08,0.0
1840,1.2102408852854296e-08,0.0
1841,6.420548537278137e-09,0.0
1842,6.037438549100216e-09,0.0
1843,2.1855571574747046e-08,0.0
1844,1.1525978393933656e-08,0.0
1845,5.580227946389016e-10,0.0
1846,1.5807152919933287e-08,0.0
1847,2.6966118227278457e-09,0.0
1848,3.218088684420195e-09,0.0
1849,1.1731181359664333e-08,0.0
1850,6.788996032014438e-10,0.0
1851,5.8044946626978344e-09,0.0
1852,1.6276363368206148e-08,0.0
1853,1.4332636411040767e-08,0.0
1854,5.7152309551611324e-09,0.0
1855,0.0,0.0
