year,couchant_VERB en_ADP,couchant_VERB dans_ADP
1800,0.0,3.144164395507687e-08
1801,0.0,1.4287095950749062e-08
1802,1.3427040812530322e-08,4.475680270843441e-09
1803,1.950339223455444e-09,2.7304748684287006e-08
1804,0.0,3.213406074564773e-08
1805,0.0,8.528632911009026e-09
1806,0.0,2.881669125542885e-09
1807,8.540865792383556e-09,1.9928686256776018e-08
1808,9.064295980465431e-09,2.2660739951163578e-09
1809,0.0,1.581321384946932e-08
1810,0.0,1.1700633351097167e-08
1811,2.0056614147279106e-08,2.5070767684098882e-09
1812,0.0,1.8670457180292033e-08
1813,0.0,0.0
1814,0.0,1.8880061958270744e-08
1815,0.0,8.091670444798638e-09
1816,2.3176038865813098e-09,3.244645441213834e-08
1817,0.0,1.556873407970727e-09
1818,0.0,5.960588467246453e-09
1819,0.0,1.0351049795076506e-08
1820,1.1866481131050932e-09,1.6613073583471305e-08
1821,1.97229765852569e-09,1.97229765852569e-09
1822,1.0025615893027862e-09,1.1028177482330648e-08
1823,0.0,7.906149512848515e-09
1824,8.421112696055388e-10,5.052667617633233e-09
1825,0.0,1.2327619813845558e-08
1826,0.0,6.1655889282974385e-09
1827,8.295545583791863e-09,1.8434546111834038e-09
1828,0.0,9.172301140836225e-09
1829,0.0,1.628903412154159e-08
1830,2.0873671680021744e-09,1.2524203008013046e-08
1831,0.0,7.795603274018958e-09
1832,0.0,6.629684889958298e-08
1833,5.791814139399776e-09,3.1275796175123105e-08
1834,9.334530925997342e-10,2.9870498963191494e-08
1835,1.4369867074037757e-08,2.4958190181223472e-08
1836,1.3441500135158435e-09,1.1425274948351216e-08
1837,1.1828414692161004e-08,2.1569462660409044e-08
1838,6.312161904276081e-10,1.8936486156917454e-08
1839,0.0,2.1673573158409454e-08
1840,4.458782232319436e-09,2.0383003729307347e-08
1841,6.420548537278137e-10,1.926164472365599e-08
1842,2.683306021822318e-09,1.0062397137744483e-08
1843,0.0,1.6539351221922516e-08
1844,0.0,2.5796238034558883e-08
1845,4.464182357111213e-09,3.2923345827384765e-08
1846,5.854501328173001e-09,2.1661655580373917e-08
1847,3.775256551818984e-09,1.4561703842730367e-08
1848,4.02261068899179e-09,1.287235473768078e-08
1849,6.703531951757213e-09,1.6758828991214614e-08
1850,6.788996032014438e-10,1.6972489191857676e-08
1851,6.449438760824933e-10,1.6123596680017727e-08
1852,1.3021090872200602e-09,2.018269107395554e-08
1853,1.1943863675867306e-09,1.4929829816878737e-08
1854,2.5978321716024766e-09,1.7665259477439577e-08
1855,1.0613874223963649e-08,1.963566731433275e-08
1856,2.0708756931497874e-09,2.4332790005132665e-08
1857,1.0739319655783675e-08,2.3431244500216053e-08
1858,3.4255731584664773e-09,3.52344677878591e-08
1859,5.092173349652285e-10,2.5460867192350634e-08
1860,3.661747127736703e-09,3.158256944857385e-08
1861,1.8863854922557266e-09,2.971057178058345e-08
1862,3.6143890103090826e-09,1.8071945717679228e-08
1863,3.496234635136375e-09,1.6981710260211003e-08
1864,4.315255264231155e-09,2.205574922697906e-08
1865,0.0,1.5061901947888146e-08
1866,1.9462451650298362e-09,1.5083399418358567e-08
1867,4.85281148598915e-10,3.008743121313273e-08
1868,6.421836395986702e-09,1.5807597009143137e-08
1869,6.8369265804335555e-09,2.0999133099053324e-08
