year,auraient_VERB eu_VERB,auraient_VERB dû_VERB
1800,7.48311151710368e-07,1.9022195374418516e-06
1801,5.357661052585172e-07,1.5072886299094534e-06
1802,7.541520972154103e-07,1.4680231288366485e-06
1803,8.327948535225005e-07,1.7084971659642179e-06
1804,1.1815448033303255e-06,2.0639954527723603e-06
1805,8.69920597779128e-07,1.9701142264239024e-06
1806,8.78909077073331e-07,1.9883516415575286e-06
1807,1.412089773111802e-06,2.582188244559802e-06
1808,1.0355958011132316e-06,1.8309877987121581e-06
1809,1.04819014268287e-06,2.3652048639632994e-06
1810,1.4742798839506577e-06,2.4477726583427284e-06
1811,1.3262435913929949e-06,3.3469475511083147e-06
1812,1.0028702490672003e-06,2.9045897917967523e-06
1813,1.1761783298425144e-06,3.1230554213834694e-06
1814,1.0037899755843682e-06,2.7218757168157026e-06
1815,1.2245394600540749e-06,3.436262886680197e-06
1816,1.0753682317954372e-06,2.3709087599854684e-06
1817,1.2813068224204471e-06,3.185363084412529e-06
1818,1.3494773156708106e-06,3.2723633012210485e-06
1819,1.538166088721482e-06,3.4127410799555946e-06
1820,1.7253863688893034e-06,3.510105216264492e-06
1821,1.5640320043530664e-06,3.395310386622441e-06
1822,1.4025836208020337e-06,3.5410475902608596e-06
1823,1.6434908047813224e-06,3.2543687211727956e-06
1824,1.5065370462252758e-06,3.3364449336659163e-06
1825,1.463464627704525e-06,3.4781498925440246e-06
1826,1.4039926554687554e-06,3.7248964872560464e-06
1827,1.944844598256168e-06,4.286031980882399e-06
1828,2.1995178940414917e-06,4.460489890334429e-06
1829,1.9949779925809707e-06,4.606367383530596e-06
1830,1.8441888869347167e-06,4.158035608270438e-06
1831,1.8023433767666575e-06,4.072423053003149e-06
1832,1.692599198577227e-06,4.1956436689361e-06
1833,1.813996277633123e-06,3.705602694026311e-06
1834,1.6923504517762922e-06,3.5676578136190074e-06
1835,1.8121158973372076e-06,3.5531386401999043e-06
1836,1.6143242191901663e-06,3.2420898605778348e-06
1837,1.6128391280290089e-06,3.197846581315389e-06
1838,1.8463073274688213e-06,3.7929780773993116e-06
1839,1.6800514686110546e-06,3.83132828574162e-06
1840,1.8351073549638386e-06,3.897612714354182e-06
1841,1.968540118468809e-06,3.949279289372498e-06
1842,1.7421364191250177e-06,3.929701506422134e-06
1843,1.9073415842285613e-06,3.607350663514808e-06
1844,1.7267013845412293e-06,3.4868830880441237e-06
1845,1.829198708946933e-06,3.7510292258957634e-06
1846,1.8236771666124696e-06,3.9213450691022445e-06
1847,1.9458750557532767e-06,4.103164428670425e-06
1848,1.955793322849786e-06,4.329938292357838e-06
1849,2.066363776975777e-06,4.302829438529443e-06
1850,2.0027537175337784e-06,3.887379079969833e-06
1851,1.917418103403179e-06,3.837415988527937e-06
1852,1.759149427016382e-06,3.836013547697803e-06
1853,1.6834875395943527e-06,3.5855478017765563e-06
1854,1.7436649386581848e-06,3.538767032296164e-06
1855,1.777823968041048e-06,3.546625976014184e-06
1856,1.7705987147564883e-06,3.370867943885969e-06
1857,1.7182911733470974e-06,3.4673360005399445e-06
1858,1.7034885786415543e-06,3.5214893614465836e-06
1859,1.709951789052866e-06,3.760570052691037e-06
1860,1.7178170992337982e-06,3.6590008676284924e-06
1861,1.7519805624033324e-06,3.4162442261731485e-06
1862,1.661715373302286e-06,3.259727009208291e-06
1863,1.6871829302544938e-06,3.613608214436681e-06
1864,1.559724978505983e-06,3.354391765242326e-06
1865,1.7796578504203353e-06,3.342330273881089e-06
1866,1.8786131477099843e-06,3.396197826077696e-06
1867,1.621809587959433e-06,3.3615424399613403e-06
1868,1.5975552969393902e-06,3.2212919904850423e-06
1869,1.7595319832253153e-06,3.647500534498249e-06
1870,1.6949848031799775e-06,3.577473080440541e-06
1871,2.039266064457479e-06,4.1889925341820344e-06
1872,1.8535095023253234e-06,3.5824436963594053e-06
1873,1.7119972426371532e-06,3.1091308301256504e-06
1874,1.5808815305717872e-06,3.0422709187405417e-06
1875,1.695288460723532e-06,3.1702982141723623e-06
1876,1.7557626961206552e-06,3.1312310966313817e-06
1877,1.4967254173825495e-06,3.244554363845964e-06
1878,1.7012113175951527e-06,3.285264256192022e-06
1879,1.6800644289105549e-06,3.1102574666874716e-06
1880,1.5434919760082266e-06,3.0901928766979836e-06
1881,1.551382979414484e-06,2.8768565698555904e-06
1882,1.6139308627316495e-06,2.8731296879414003e-06
1883,1.6815761227917392e-06,3.0174842322594486e-06
1884,1.543476741971972e-06,3.1107197173696477e-06
1885,1.6081861531347386e-06,2.966926103908918e-06
1886,1.5669010053898091e-06,3.035709369214601e-06
1887,1.5924047147564124e-06,3.0692474410898285e-06
1888,1.575008695908764e-06,2.982625119329896e-06
1889,1.632068119761243e-06,2.7817206955660367e-06
1890,1.5750190414109966e-06,3.1310303256759653e-06
1891,1.5553097227893886e-06,2.8773229132639244e-06
1892,1.5896947616056423e-06,2.8195768209116068e-06
1893,1.6492239183207857e-06,3.1672736895416165e-06
1894,1.5564802424705704e-06,2.992600911966292e-06
1895,1.6316463415932958e-06,3.219356813133345e-06
1896,1.722522142699745e-06,3.247493850722094e-06
