year,buvant_VERB en_ADP,buvant_VERB dans_ADP
1800,6.288328968651058e-09,5.0306631749208464e-08
1801,0.0,5.714838380299625e-08
1802,8.951360541686881e-09,1.0741632650024258e-07
1803,1.3652374342143503e-08,7.80135707145746e-08
1804,4.943701892301533e-09,3.460591457837836e-08
1805,1.1371510844071508e-08,3.4114531644036106e-08
1806,0.0,2.305335300434308e-08
1807,5.693910232196231e-09,4.839823830593559e-08
1808,0.0,6.345007363961486e-08
1809,3.162642769893864e-08,3.840352036377226e-08
1810,2.8081521108447305e-08,2.8081521108447305e-08
1811,2.5070768572277302e-08,6.016983888912364e-08
1812,2.6672082320544632e-09,5.867858021701977e-08
1813,2.8757416448144113e-09,1.121539270343419e-07
1814,3.1466771410748606e-09,6.608021863030444e-08
1815,8.091670444798638e-09,5.933891955578474e-08
1816,6.952811659743929e-09,2.0858434979231788e-08
1817,0.0,9.185553295765203e-08
1818,7.152706427149269e-09,7.510341504257667e-08
1819,2.070210003424222e-09,3.3123360054787554e-08
1820,2.0173018810965004e-08,9.01852530432734e-08
1821,2.9584463767662328e-09,6.508582117703554e-08
1822,2.0051231786055723e-09,6.616906489398389e-08
1823,6.917880934764753e-09,5.237824041159911e-08
1824,1.6842225392110777e-09,6.315834610859383e-08
1825,1.7610886082763955e-09,5.371320099811783e-08
1826,1.4973572604048968e-08,5.989429041619587e-08
1827,9.217273055917019e-10,5.530363722527909e-08
1828,3.668920500743411e-09,8.713686128203335e-08
1829,5.143905745796928e-09,6.001223340490469e-08
1830,1.0436835840010872e-09,6.575206867864836e-08
1831,3.1182412207897414e-09,9.042899762334855e-08
1832,6.764984572527055e-09,3.5177919244233635e-08
1833,1.2741991461950875e-08,4.2859426230279496e-08
1834,5.600718555598405e-09,5.0406466556296436e-08
1835,5.294161553592858e-09,6.050470346963266e-08
1836,1.2769425516978572e-08,6.922372364215335e-08
1837,7.653680356156656e-09,6.401259611266141e-08
1838,6.312161904276081e-09,5.5547026533986354e-08
1839,4.194885327990505e-09,6.012668762878093e-08
1840,7.0066574764382494e-09,5.7327198987877637e-08
1841,1.0272877659645019e-08,7.704657889462396e-08
1842,1.9453969102301016e-08,8.653661609514529e-08
1843,5.906910960362666e-09,6.025049259505977e-08
1844,6.037417232818143e-09,6.421616660645668e-08
1845,5.580227835366713e-09,4.8547981634783355e-08
1846,5.269050973311096e-09,7.610852037487348e-08
1847,9.707802561820245e-09,7.820174374728595e-08
1848,4.82713291560799e-09,1.0136979256003542e-07
1849,2.9327951622803994e-08,9.720121596501485e-08
1850,2.7155984128057753e-09,5.974316508172706e-08
1851,3.2247193804124663e-09,8.513259075471069e-08
1852,5.859490670445666e-09,8.724131106419009e-08
1853,4.180352064508952e-09,6.091370607919089e-08
1854,1.8704392701351935e-08,8.416976271519161e-08
1855,5.306937111981824e-09,7.323573214534917e-08
1856,6.73034605824796e-09,6.833889898416601e-08
1857,1.1715622250108026e-08,7.322263684272912e-08
1858,2.936205500958522e-09,1.0668213690223638e-07
1859,6.110608019582742e-09,6.467060131853941e-08
1860,4.119465657481669e-09,4.943358788978003e-08
1861,2.0750240636857598e-08,4.102888340185018e-08
1862,6.776979422085105e-09,6.551080389272101e-08
1863,3.995696662428827e-09,6.542953201460477e-08
1864,8.63051052846231e-09,6.13725177345259e-08
1865,1.4120533187167439e-08,7.76629320853317e-08
1866,6.3252967308358166e-09,9.147352386662533e-08
1867,3.88224918879132e-09,5.677789260971622e-08
1868,1.0867722721741302e-08,6.86642493974432e-08
1869,8.790334682373668e-09,8.741499613051928e-08
1870,5.734048791339319e-10,6.364793847524197e-08
1871,5.3105884134652115e-09,1.0408754036461687e-07
1872,3.628403577593531e-09,7.25680706636922e-08
1873,2.3944017879529156e-09,6.405024777222934e-08
1874,5.974609140757536e-10,6.392831863877291e-08
1875,5.721527251978387e-09,5.378235456987568e-08
1876,3.02300739996042e-09,9.975924086802479e-08
1877,9.27722432209066e-09,6.184816214727107e-08
1878,3.0195443923020093e-09,6.582606459915041e-08
1879,1.4051448005147904e-08,4.3987142817059066e-08
1880,1.2835692508872398e-09,6.096954052736692e-08
1881,4.8807553554297556e-09,7.251407652120179e-08
1882,5.324308105514319e-09,5.723631346654656e-08
1883,7.58320695126713e-09,7.64639978001469e-08
1884,1.0562715146988921e-08,5.3473744543452995e-08
1885,4.511945039809007e-09,6.961286658224708e-08
1886,3.2267319927115068e-09,6.840672028829431e-08
1887,2.6115698492645834e-09,4.113222473733913e-08
1888,7.60873763994141e-09,6.086990111953128e-08
1889,1.2530273707511697e-08,4.2602930960811136e-08
1890,5.243509182406569e-09,6.816561892719619e-08
1891,5.099376032546843e-09,6.69293100941104e-08
1892,7.522214851007902e-09,7.334159590755007e-08
1893,4.310891643655168e-09,5.480990594719515e-08
1894,8.822155450616265e-09,5.1672621736997826e-08
1895,5.416753268150387e-09,4.8750777636996645e-08
1896,7.076434549446731e-09,3.833068973335685e-08
1897,1.6897470089816125e-08,5.5936450138460714e-08
1898,5.6583546736987955e-09,7.865113360594478e-08
1899,5.527578395003729e-09,7.572782578790793e-08
1900,1.245852754294674e-08,7.423206227485935e-08
1901,1.676621730339889e-09,5.085752263767063e-08
