year,choisissant_VERB en_ADP,choisissant_VERB dans_ADP
1800,0.0,4.087413785214267e-08
1801,9.524730337773235e-09,6.429193177837078e-08
1802,0.0,4.699464284385613e-08
1803,5.851017448321727e-09,3.90067853572873e-08
1804,0.0,5.9324420931261557e-08
1805,1.1371510844071508e-08,3.4114531644036106e-08
1806,0.0,1.0085842205853623e-07
1807,2.8469551160981155e-09,6.547996633798903e-08
1808,4.5321479902327155e-09,1.744876954035135e-07
1809,0.0,7.680704072754452e-08
1810,2.3401267590372754e-09,8.190443878675069e-08
1811,0.0,2.0056614147279106e-08
1812,0.0,8.801787032552966e-08
1813,2.8757416448144113e-09,1.1502966401621961e-07
1814,1.5733386149463513e-08,1.6992056828257773e-07
1815,0.0,2.966945977789237e-08
1816,4.6352077731626196e-09,7.648092825718322e-08
1817,2.0239355080775567e-08,6.227493543065066e-08
1818,1.0729059418679299e-08,4.172412015890359e-08
1819,9.315945348475907e-09,2.3807414706311647e-08
1820,0.0,3.9159388620646496e-08
1821,8.875339574387908e-09,6.7058117281249e-08
1822,2.0051231786055723e-09,6.51665033046811e-08
1823,9.882686891060644e-10,4.644862983127496e-08
1824,2.5263338088166165e-09,8.000056794799093e-08
1825,9.68598712347557e-09,4.226612659863349e-08
1826,1.4092774947016551e-08,7.222546827279075e-08
1827,0.0,3.871254605769536e-08
1828,2.7516904310687096e-09,2.476521265837306e-08
1829,1.800366966620004e-08,6.172686539684946e-08
1830,7.305785310052215e-09,6.470838087579978e-08
1831,9.354723218280014e-09,7.795603096383275e-08
1832,2.1647950987357945e-08,7.170883664642247e-08
1833,0.0,6.486831694019202e-08
1834,9.334530925997342e-10,2.3336327314993355e-08
1835,3.781543966852041e-09,6.126101226300307e-08
1836,6.720750067579218e-10,5.309392392405243e-08
1837,8.349468672008697e-09,8.349469460267045e-08
1838,1.2624323808552163e-09,4.039783618736692e-08
1839,6.29232765891885e-09,2.7266752411492234e-08
1840,6.369688665408546e-10,3.503328604992362e-08
