year,vieillissant_VERB en_ADP,vieillissant_VERB dans_ADP
1800,0.0,9.432493897065797e-09
1801,0.0,1.6668277424969347e-08
1802,1.7902721083373763e-08,2.2378401354217203e-09
1803,0.0,5.851017448321727e-09
1804,0.0,2.4718509905596875e-08
1805,0.0,1.1371510844071508e-08
1806,0.0,6.916005901302924e-08
1807,0.0,2.562259560079383e-08
1808,0.0,4.5321479902327155e-09
1809,0.0,2.9367397402779716e-08
1810,0.0,2.8081521108447305e-08
1811,0.0,2.0056614147279106e-08
1812,0.0,8.00162425207418e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,9.440030979135372e-09
1815,0.0,0.0
1816,0.0,1.8540831092650478e-08
1817,0.0,1.401186100480345e-08
1818,1.4305412854298538e-08,2.5034472272977837e-08
1819,5.175524897538253e-09,1.7596784473994376e-08
1820,0.0,9.493184904840746e-09
1821,0.0,6.903041693817613e-09
1822,0.0,1.2030739071633434e-08
1823,0.0,8.894418535021487e-09
1824,0.0,1.431589158329416e-08
1825,0.0,4.0505039322624725e-08
1826,1.7615968683770689e-09,3.435113882233054e-08
1827,0.0,3.6869092667757286e-08
1828,0.0,3.668920500743411e-09
1829,1.714635211591542e-09,1.8860987438529264e-08
1830,0.0,1.5655253093882493e-08
1831,0.0,6.236482441579483e-09
1832,0.0,5.411987746839486e-09
1833,0.0,8.108539617524002e-09
1834,0.0,4.667265685043276e-09
1835,5.294161553592858e-09,2.2689263801112247e-09
1836,1.3441500135158435e-09,1.4113575197427508e-08
1837,0.0,9.045257876039159e-09
1838,0.0,5.049729523420865e-09
1839,2.0974426639952526e-09,1.11863602825224e-08
1840,0.0,1.4013314952876499e-08
1841,1.926164561183441e-09,2.3756030032018316e-08
1842,0.0,9.391571076378114e-09
1843,0.0,2.539971788451112e-08
1844,3.841992946007622e-09,7.683985892015244e-09
1845,0.0,7.812318791877715e-09
1846,5.854501328173001e-10,5.269050973311096e-09
1847,2.6966118227278457e-09,9.168480197274675e-09
1848,0.0,1.448139919091318e-08
1849,1.6758829879393033e-09,1.6758829879393033e-09
1850,0.0,1.8330290174617403e-08
1851,3.8696632564949596e-09,2.902247508984601e-08
1852,1.3021090872200602e-09,3.450589147746541e-08
1853,5.971931837933653e-10,1.851298847554972e-08
1854,0.0,1.1430461910322265e-08
1855,1.5920811335945473e-09,8.491099379170919e-09
1856,0.0,7.765783571755946e-09
1857,4.393358121745905e-09,1.9526035899275485e-08
1858,9.787352039936081e-10,2.0553439838977283e-08
1859,0.0,9.675129142294736e-09
1860,0.0,1.9224172476128842e-08
