year,priant_VERB en_ADP,priant_VERB dans_ADP
1800,1.5720821977538435e-08,1.2576657937302116e-08
1801,2.6193007984787187e-08,1.1905912700171939e-08
1802,5.594600338554301e-08,1.7902721083373763e-08
1803,4.8758479920252285e-08,2.9255089017965474e-08
1804,4.696516864299838e-08,1.4831105232815389e-08
1805,3.695740913300938e-08,1.7057265822018053e-08
1806,5.76333825108577e-08,8.645007376628655e-09
1807,5.124519120158766e-08,1.4234775136401367e-08
1808,4.758755522971114e-08,8.384473915157287e-08
1809,1.581321384946932e-08,8.132509776714869e-08
1810,1.1700633351097167e-08,1.4040760554223652e-08
1811,1.504245972228091e-08,1.504245972228091e-08
1812,1.0668832928217853e-08,4.800974906515876e-08
1813,3.738464116054274e-08,4.313612333994854e-08
1814,1.8880061958270744e-08,0.0
1815,4.8550024445148665e-08,2.6972236000233352e-08
1816,7.416332437060191e-08,9.270415546325239e-09
1817,2.1796227045456362e-08,6.227493631882908e-09
1818,4.530047448270125e-08,5.126106117359086e-08
1819,3.5193570058211776e-08,3.7263778951412974e-08
1820,3.5599445169509636e-08,4.9839222526770754e-08
1821,4.141825016290568e-08,3.155676253641104e-08
1822,4.8122956286533736e-08,4.110502516141423e-08
1823,5.0401705031788424e-08,3.9530746676064155e-08
1824,7.242156829789792e-08,1.7684335773537896e-08
1825,2.8177417732422327e-08,6.251864448358901e-08
1826,2.3781558056157337e-08,1.9377566218281572e-08
1827,3.133872955585204e-08,2.4886637361998254e-08
1828,2.843413443587295e-08,2.5682442839070063e-08
1829,4.6295149047637096e-08,3.1720752247110795e-08
1830,4.4878393001823724e-08,4.5922078584226256e-08
1831,5.924658252887127e-08,2.338680871183385e-08
1832,4.464889968858188e-08,2.3000948701223933e-08
1833,6.370995642157595e-08,3.70676112027013e-08
1834,5.3206826944318664e-08,4.1071935186209885e-08
1835,7.184933537018878e-08,1.8907719834260206e-08
1836,8.132107787162113e-08,2.4866775305554256e-08
1837,5.705470584871364e-08,5.844628248041772e-08
1838,3.9135402474244074e-08,2.8404729457420785e-08
1839,9.927894950578775e-08,4.544459031308179e-08
1840,7.197748175258312e-08,3.758116307039927e-08
