year,rêvant_VERB en_ADP,rêvant_VERB dans_ADP
1800,9.432493897065797e-09,3.144164484325529e-09
1801,0.0,4.7623651688866175e-09
1802,6.713520406265161e-09,0.0
1803,0.0,7.801356893821776e-09
1804,0.0,2.2246657849223084e-08
1805,2.842877711017877e-09,2.842877711017877e-09
1806,0.0,1.4408345627714425e-08
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,4.518061036407062e-09,0.0
1810,2.106114038724627e-08,1.8721014072298203e-08
1811,0.0,0.0
1812,8.00162425207418e-09,2.6672082320544632e-09
1813,0.0,2.8757416448144113e-09
1814,0.0,2.2026739543434815e-08
1815,2.697223555614414e-09,1.0788894222457657e-08
1816,0.0,6.952811659743929e-09
1817,1.0898114077839693e-08,3.113746815941454e-09
1818,0.0,0.0
1819,1.035105001712111e-09,6.210630232317271e-09
1820,1.898636980968149e-08,4.746592452420373e-09
1821,2.9584463767662328e-09,1.972297702934611e-08
1822,8.02049271442229e-09,7.017931125119503e-09
1823,1.9765373782121287e-09,1.680056804787e-08
1824,3.3684450784221553e-09,5.052667617633233e-09
1825,1.584979791857677e-08,1.2327619813845558e-08
1826,3.5231937367541377e-09,4.403992281964975e-09
1827,0.0,9.217273055917019e-10
1828,9.172301251858528e-10,9.172301140836225e-09
1829,4.286587973467704e-09,3.429270423183084e-09
1830,3.1310507520032616e-09,5.218417920005436e-09
1831,0.0,7.795603274018958e-09
1832,0.0,2.570694235259907e-08
1833,1.1583628500844156e-09,2.3167257112710615e-08
1834,2.8003592777992026e-09,2.14694217959277e-08
1835,6.806779140333674e-09,1.739510224751939e-08
1836,8.736974699274924e-09,1.4113575197427508e-08
1837,6.262101948095733e-09,2.7831563720326358e-09
1838,0.0,1.0099459268886335e-08
1839,0.0,6.991475065554198e-09
1840,1.9109065441114126e-09,2.9300568360479673e-08
1841,1.0914932957462042e-08,2.3756030032018316e-08
1842,0.0,1.8783142152756227e-08
1843,5.906911071384968e-10,6.4976020675011625e-09
1844,1.6465684371524958e-09,1.5916827411643908e-08
1845,5.580227946389016e-10,9.48638767539478e-09
1846,3.5127007969038004e-09,7.610851504580296e-09
1847,5.9325460100012606e-09,1.833696128272777e-08
1848,0.0,2.172209789819135e-08
1849,0.0,5.865590679832167e-09
1850,0.0,1.1541293254424545e-08
1851,1.2898877521649865e-09,1.3543821175687754e-08
1852,3.906327261660181e-09,1.0416872697760482e-08
1853,1.1346670270029335e-08,1.4929829816878737e-08
1854,4.1565315633818045e-09,1.454786069388092e-08
1855,2.653468555990912e-09,1.8574279891936385e-08
1856,1.0354378687793542e-08,2.7439103433835044e-08
1857,4.881508974818871e-09,1.952603706500966e-08
1858,5.3830437884982985e-09,2.887268801821108e-08
1859,1.018434669930457e-09,2.4442431856286362e-08
1860,9.154367819341758e-10,3.341344365082044e-08
1861,6.6023493339173456e-09,2.9238975685075275e-08
1862,3.162590411776023e-09,1.445755629103651e-08
1863,5.993544882620938e-09,8.490855130105501e-09
1864,3.835782358407869e-09,2.445311186871635e-08
1865,3.2947911621228343e-09,2.2122168208404958e-08
1866,4.865612801552288e-09,3.405928988842177e-08
1867,7.76449837758264e-09,3.785192959071537e-08
1868,8.397785578040384e-09,2.0253484556143064e-08
1869,4.395167341186834e-09,3.4184633235234685e-08
1870,4.013834153937523e-09,1.0321287824410774e-08
1871,1.0621177271019633e-09,5.3105884134652115e-09
1872,2.4189357183956872e-09,2.3584624031514068e-08
1873,5.387403856360606e-09,1.1373408881354408e-08
1874,2.9873046258899194e-09,1.4339061493728877e-08
1875,2.2886108563824337e-09,3.089624556196213e-08
1876,6.650616057868319e-09,9.069021977836655e-09
1877,1.2369631874342701e-08,2.288381883985835e-08
1878,4.831270938865373e-09,1.2078177458185735e-08
1879,5.498392852132383e-09,1.7717043609977168e-08
1880,6.417846254436199e-09,4.5566708406497014e-08
1881,7.669758161910067e-09,2.231202445024394e-08
1882,7.320923423037584e-09,3.593907904608784e-08
1883,3.791603475633565e-09,2.1485752954575332e-08
1884,7.2618666635548834e-09,1.8484752395409032e-08
1885,4.511945039809007e-09,1.5469526104539e-08
1886,6.453463874400711e-10,1.484296663356588e-08
1887,4.570247291724172e-09,1.6322312390570914e-08
1888,5.706553452000662e-09,2.853276637182489e-08
1889,2.5060546970934183e-09,2.192797859956741e-08
1890,9.176140958189194e-09,2.7528423984790606e-08
1891,7.649063604731055e-09,3.44207886637804e-08
1892,6.268512375839919e-10,2.2566645219157522e-08
1893,3.0792083327568776e-09,3.263960834942736e-08
