year,changeant_VERB en_ADP,changeant_VERB dans_ADP
1800,1.3582790643340559e-06,4.4018303668735825e-08
1801,4.952859740114945e-07,7.143547975374531e-08
1802,6.668763603556727e-07,3.1329761895904085e-08
1803,1.5544203506578924e-06,7.80135707145746e-08
1804,7.687456662353043e-07,4.943701981119375e-08
1805,3.980028848715733e-07,2.2743021688143017e-08
1806,6.829556014054106e-07,6.051504897186533e-08
1807,3.245528716888657e-07,8.256169792275614e-08
1808,8.06722368906776e-07,1.7675377250725433e-07
1809,3.3207747862640247e-07,6.099382510171836e-08
1810,3.369782461959403e-07,8.424456154898508e-08
1811,3.008492228673276e-07,1.1281845502253418e-07
1812,2.4805035536701325e-07,1.1202274663446588e-07
1813,3.192073165791953e-07,8.339650747757332e-08
1814,2.517341783914162e-07,1.3845379243093703e-07
1815,2.5623623400861106e-07,1.2407228666688752e-07
1816,8.343374222619104e-07,3.9399267848239106e-08
1817,1.4805865955480613e-06,1.5568733857662664e-08
1818,9.441572377255625e-07,3.457141417584353e-08
1819,5.072014346296783e-07,3.415846450138815e-08
1820,3.097151477504667e-07,6.763894244699031e-08
1821,3.5304128687130287e-07,4.9307441463142254e-09
1822,3.3786325559503894e-07,3.5089655625597516e-08
1823,9.190898726529895e-07,2.3718449426723964e-08
1824,3.9747651925381433e-07,4.21055617039201e-08
1825,4.4291378387129043e-07,6.60408261410339e-08
1826,4.412800080899615e-07,3.963592876132793e-08
1827,3.5302155632077614e-07,2.5808365222701468e-08
1828,5.402485546146529e-07,2.935136400594729e-08
1829,3.540721760231236e-07,4.715246859632316e-08
1830,3.7259502660980104e-07,2.087367190206635e-08
1831,4.6773618045392595e-07,2.3386808933878456e-08
1832,4.6813693188596517e-07,2.570694235259907e-08
1833,3.602508478195432e-07,5.90765054653275e-08
1834,4.583254735734954e-07,3.547121707470069e-08
1835,4.2731446825428065e-07,7.789980571715205e-08
1836,3.662808776283555e-07,4.637317374545091e-08
1837,3.0197245237673087e-07,4.800944708449606e-08
1838,3.288636336584716e-07,3.66105403770689e-08
1839,3.859294432917437e-07,1.3283802613450746e-08
1840,2.0383003507262742e-07,2.229391071750797e-08
1841,3.7560207788445155e-07,3.5955071808757566e-08
1842,2.435100232567322e-07,3.28704987673234e-08
1843,2.3509506030805483e-07,1.222730645622505e-07
