year,fouillant_VERB en_ADP,fouillant_VERB dans_ADP
1800,0.0,2.5153315164061496e-07
1801,1.6668277424969347e-08,3.0717254162482277e-07
1802,0.0,3.2672465977157117e-07
1803,1.950339267864365e-08,2.4184205926758295e-07
1804,0.0,1.8291696335381857e-07
1805,0.0,1.3930100806192058e-07
1806,0.0,2.2188852710769424e-07
1807,1.4234775136401367e-08,1.7366426163789583e-07
1808,0.0,2.22075257738652e-07
1809,0.0,2.6882463544097845e-07
1810,0.0,2.7379484102141305e-07
1811,3.760615285841595e-08,2.1560860830049933e-07
1812,0.0,1.1735716043403954e-07
1813,2.0130190847567064e-08,2.1280487771946355e-07
1814,0.0,2.108273662315696e-07
1815,0.0,2.2656678577703815e-07
1816,6.952811659743929e-09,1.5296186006708012e-07
1817,1.556873407970727e-09,2.4909974349895947e-07
1818,7.152706427149269e-09,2.1338906930346013e-07
1819,1.035105001712111e-09,1.9666994488520828e-07
1820,7.119888678630559e-09,1.6375743427943235e-07
1821,0.0,1.9229902803452603e-07
1822,0.0,1.4035862250239006e-07
1823,9.882686891060644e-10,2.1247776127442108e-07
1824,0.0,1.7347491798602732e-07
1825,2.4655239627691117e-08,1.3472327675678741e-07
1826,2.642395191543301e-09,1.2507338453815464e-07
1827,9.217273055917019e-10,1.9171928578032293e-07
1828,0.0,1.9812170126698447e-07
1829,1.714635211591542e-09,1.6203302327655322e-07
1830,6.262101504006523e-09,2.2230460827721288e-07
1831,1.5591206103948707e-09,1.6370766520168445e-07
1832,1.3529969367098715e-09,1.420646739136444e-07
1833,4.6334514003376626e-09,2.328309355315028e-07
1834,3.733812370398937e-09,2.8376974814392497e-07
1835,2.2689263801112247e-09,2.6243915129953166e-07
1836,2.688300027031687e-09,1.8818100411266414e-07
1837,6.957891152126194e-09,2.2613145134187107e-07
1838,8.837027110075724e-09,2.095637749999213e-07
1839,5.5931801412612e-09,2.1813403261461417e-07
1840,3.1848443882154243e-09,2.745335674347871e-07
1841,1.2841097074556274e-08,2.2536125676708707e-07
1842,1.341653010911159e-09,1.89173073650295e-07
1843,8.269675610961258e-09,2.4277405064054847e-07
1844,4.9397050894128824e-09,2.0527219302124422e-07
1845,1.1160455892778032e-09,2.1093262336790986e-07
1846,2.9272506640865004e-09,2.1778745562528457e-07
1847,1.0786447290911383e-09,1.7420111841914832e-07
1848,1.126331028444838e-08,1.8584462480042419e-07
1849,1.6758829879393033e-09,2.094853677192532e-07
1850,2.0366988096043315e-09,2.11816681527921e-07
1851,6.449438760824933e-10,1.4317753826986745e-07
1852,5.208436348880241e-09,1.7513367356336573e-07
1853,2.9859659189668264e-09,2.0961480018399925e-07
1854,2.5978321716024766e-09,1.8548522540129397e-07
1855,4.776243400783642e-09,1.6504574773534841e-07
1856,1.2942972638096961e-08,2.2831405033230112e-07
1857,1.2691924067276261e-08,2.260138671772438e-07
1858,7.34051397444091e-09,2.050450316204433e-07
1859,3.055304009791371e-09,2.357676223141425e-07
1860,7.323494255473406e-09,2.5678001591700195e-07
1861,6.13075279431996e-09,1.9241132287461937e-07
1862,2.2589931591987522e-09,2.0963456437428363e-07
1863,9.989241656072068e-10,1.882972044953135e-07
1864,2.397363974004918e-09,1.821996633566414e-07
1865,1.7886008674139475e-08,1.9957020613858845e-07
1866,3.405929149824516e-09,2.174928908083018e-07
1867,1.455843445796745e-09,2.5719902119192284e-07
1868,0.0,1.506661533312581e-07
1869,3.4184634012390802e-09,1.850853728058155e-07
1870,0.0,2.0355872898392136e-07
1871,7.434824089713743e-09,1.5825554244841555e-07
1872,1.3908880158730597e-08,1.8081543895487329e-07
1873,2.3944017879529156e-09,1.765871280312581e-07
1874,8.961913433580548e-09,1.8342050278619126e-07
1875,4.577221712764867e-09,2.0540282719139213e-07
1876,2.418405919968336e-09,2.1281971385178622e-07
1877,8.040260901509555e-09,2.4862960223970276e-07
1878,1.087035966795824e-08,1.775492091127262e-07
1879,9.163987790827832e-09,2.914148256039084e-07
1880,8.984985200299889e-09,2.0793822308462495e-07
1881,1.1853263259808955e-08,2.0359721730756064e-07
1882,6.655385131892899e-09,1.8635077747575224e-07
1883,5.687404991405742e-09,1.6114314149717757e-07
1884,6.601696966868076e-09,1.4127631065008472e-07
1885,7.090199094506033e-09,1.8563431192220037e-07
1886,8.389503203254378e-09,1.7553421338689645e-07
1887,6.528924734183761e-09,1.632231176884602e-07
