year,avait_VERB ôté_VERB,avait_VERB oté_VERB,avait_VERB doté_VERB
1800,3.9302057075474295e-07,9.432493897065797e-09,9.432493897065797e-09
1801,3.7384566553555487e-07,2.3811825844433088e-09,4.7623651688866175e-09
1802,1.7455153056289419e-07,0.0,8.951360541686881e-09
1803,1.911332390136522e-07,0.0,7.801356893821776e-09
1804,1.4336735887354735e-07,0.0,1.730295728918918e-08
1805,4.09374393939288e-07,0.0,2.2743021688143017e-08
1806,1.671368039524168e-07,2.881669125542885e-09,1.729001475325731e-08
1807,4.3558412698985194e-07,0.0,2.8469551160981155e-09
1808,3.285807395059237e-07,4.5321479902327155e-09,1.5862518409903714e-08
1809,3.140052342587296e-07,0.0,4.743964154840796e-08
1810,3.205973655440175e-07,0.0,2.106114038724627e-08
1811,3.8358274423444527e-07,2.5070767684098882e-09,9.27618373225414e-08
1812,2.960601079848857e-07,8.00162425207418e-09,4.800974906515876e-08
1813,5.090062700219278e-07,0.0,0.0
1814,4.688548926878866e-07,0.0,2.5173417128598885e-08
1815,4.881974859927141e-07,8.091670444798638e-09,2.1577788444915313e-08
1816,3.73134213305093e-07,1.622322720606917e-08,4.6352077731626196e-08
1817,4.1101458236880717e-07,0.0,2.9580593974287694e-08
1818,4.3989143705402967e-07,1.1921177378582115e-09,7.152706427149269e-09
1819,4.927100007989793e-07,2.070210003424222e-09,4.864993385922389e-08
1820,5.826442475154181e-07,2.3732962262101864e-09,2.0173018810965004e-08
1821,4.5855921371185104e-07,4.930744257336528e-09,3.944595405869222e-08
1822,5.28349971773423e-07,1.303330066093622e-08,3.0076847679083585e-08
1823,6.315036671367125e-07,7.906149623870817e-09,3.755420863171821e-08
1824,4.724244320186699e-07,3.3684450784221553e-09,4.5474010335055937e-08
1825,5.362514912121696e-07,8.805443041381977e-10,5.899646993157148e-08
1826,5.504990099325369e-07,3.5231937367541377e-09,6.165588928297439e-08
1827,5.447408284453559e-07,1.8434546111834038e-09,4.885154680778214e-08
1828,5.182350264476554e-07,5.5033806956039655e-09,6.420610532131832e-08
1829,6.026942855896777e-07,6.858540846366168e-09,9.516225674133238e-08
1830,3.64245579476119e-07,3.1310507520032616e-09,1.1689256496083544e-07
1831,4.240808095801185e-07,1.5591206103948707e-09,7.327867024287116e-08
1832,4.600189527081966e-07,1.3529969367098715e-09,1.8806657919867575e-07
1833,4.2743587869154e-07,1.2741991461950875e-08,1.2626155410089268e-07
1834,4.471240231396223e-07,2.8003592777992026e-09,1.2601616106167057e-07
1835,5.089958108328574e-07,8.31939672707449e-09,1.2403464211274695e-07
1836,4.496181702506874e-07,6.048675060821296e-09,1.397915951883988e-07
1837,5.635891398014792e-07,7.653679912067446e-09,1.2106730196137505e-07
1838,5.384274004427425e-07,5.049729523420865e-09,1.4833580053164042e-07
1839,4.2717914539025514e-07,2.7965901816529026e-09,1.9576130227960675e-07
1840,6.019355964781425e-07,3.184844332704273e-09,1.3949617994057917e-07
1841,4.404496394272428e-07,5.1364388298225094e-09,1.6308193551139993e-07
1842,5.467235837386397e-07,6.037438549100216e-09,1.9856464916756522e-07
1843,3.9930719708536344e-07,6.4976020675011625e-09,1.8724908557032904e-07
1844,5.093384629617503e-07,4.939705144924034e-09,2.0197904859742266e-07
1845,5.172871055947326e-07,3.348136878855712e-09,2.187449297252897e-07
1846,4.753855193939671e-07,6.439951460990301e-09,1.814895398410954e-07
1847,4.379297706691432e-07,7.550513103637968e-09,2.588747349818732e-07
1848,3.000867820901476e-07,2.413566457803995e-09,1.82626536116004e-07
1849,3.670183730264398e-07,8.379414939696517e-10,2.212165526316312e-07
1850,3.7746818293271645e-07,6.1100964288129944e-09,1.6700930416391202e-07
1851,3.7471238556463504e-07,9.674158141237399e-09,1.709101269398161e-07
1852,3.001361505994282e-07,8.463709066930392e-09,2.877661131606146e-07
1853,3.786204842981533e-07,8.360704795151719e-09,1.7736637403231725e-07
1854,4.0058571926238074e-07,5.195664565249558e-09,2.16139639519497e-07
1855,4.081034603586886e-07,8.491099379170919e-09,1.9741806056572386e-07
1856,3.6188552599014656e-07,4.141751275277272e-09,1.889674052790724e-07
1857,4.6471967607430997e-07,1.2203772437047178e-08,1.894025558613066e-07
1858,4.1253687754760904e-07,6.361778603913848e-09,1.5512952700191818e-07
1859,4.0431856973555114e-07,7.1290429115578036e-09,2.0063163219674607e-07
1860,4.810620453099546e-07,1.4189270536313359e-08,2.073464315799356e-07
1861,4.1311841414426453e-07,1.0846716969048487e-08,2.1599113608772313e-07
1862,4.540576128420071e-07,7.2287781316404676e-09,1.7936405072305206e-07
1863,3.601121534302365e-07,3.995696662428827e-09,1.992853668753014e-07
1864,2.828889478223573e-07,5.753673537611803e-09,2.1384487070008618e-07
1865,3.9396286410919856e-07,1.4120533631256649e-09,1.9015651275822165e-07
1866,3.1285890145227313e-07,4.379051787850585e-09,1.5132056319089315e-07
1867,3.2707950481380976e-07,3.88224918879132e-09,2.0236224429481808e-07
1868,3.191158555182483e-07,4.445886658821507e-09,1.6647375389311492e-07
1869,3.403812911528803e-07,3.9068152046795035e-09,1.885038329874078e-07
