year,commençant_VERB en_ADP,commençant_VERB dans_ADP
1800,5.973912209356058e-08,5.345079756580162e-08
1801,1.1429676516350185e-07,1.6668277424969347e-08
1802,2.6854081625060644e-08,1.0741632650024258e-07
1803,8.581492494386112e-08,3.1205427575287104e-08
1804,9.88740396223875e-08,2.4718509905596875e-08
1805,3.695740957709859e-08,8.528632911009026e-09
1806,1.0085842205853623e-07,2.0171682990621775e-08
1807,2.2775640928784924e-08,2.2775640928784924e-08
1808,6.798222074166915e-08,2.945896149242344e-08
1809,1.0391540428145163e-07,2.25903047379461e-08
1810,3.978215445954447e-08,4.44624070894406e-08
1811,7.270522672797597e-08,2.2563691359778204e-08
1812,2.9339290108509886e-08,2.400487453257938e-08
1813,5.7514832008109806e-08,1.4378708002027452e-08
1814,1.1642705288750221e-07,1.5733386149463513e-08
1815,7.282503844407984e-08,0.0
1816,1.1356259221884102e-07,5.0987285504788815e-08
1817,3.89218364205135e-08,3.7364962679475866e-08
1818,5.0068944545955674e-08,1.1921177378582115e-09
1819,4.6579724966022695e-08,4.45095160728215e-08
1820,6.170570543417853e-08,1.4239777357261119e-08
1821,4.536284592404627e-08,1.676452932031225e-08
1822,9.925359734097583e-08,3.0076847679083585e-08
1823,1.2847492314449482e-07,4.0519015698237126e-08
1824,8.084268010577489e-08,3.452656294200551e-08
1825,1.1799293986314296e-07,3.169959650328735e-08
1826,8.103345550125596e-08,4.4039921931471326e-08
1827,1.6406746539132655e-07,1.3825909306319772e-08
1828,7.33784091266898e-08,7.337841001486822e-09
1829,9.687688679038686e-08,2.8291481601883106e-08
1830,1.1271782796029584e-07,3.026682549034376e-08
1831,5.9246584527272717e-08,4.2096257146795324e-08
1832,1.041807635715486e-07,4.058990654698391e-08
1833,1.0656938198572163e-07,2.6642345218874652e-08
1834,1.0361329039199063e-07,4.387229424196448e-08
1835,1.739510224751939e-07,3.479020449503878e-08
1836,3.071382650432497e-07,3.091545153210973e-08
1837,2.136072474456796e-07,4.383471441382625e-08
1838,1.110940524018389e-07,5.049729523420865e-08
1839,1.971595954275429e-07,2.3771015378315496e-08
