year,voulant_VERB écrire_VERB,voulant_VERB décrire_VERB
1800,3.144164573143371e-08,0.0
1801,2.3811825844433088e-09,2.3811825400343878e-08
1802,1.7902721083373763e-08,7.161088433349505e-08
1803,1.755305234496518e-08,0.0
1804,3.460591457837836e-08,9.887403784603066e-09
1805,1.1371510844071508e-08,4.8328921309348516e-08
1806,1.729001475325731e-08,0.0
1807,3.701041606518629e-08,5.693910232196231e-09
1808,2.7192887941396293e-08,0.0
1809,4.969867095638847e-08,0.0
1810,4.446240753352981e-08,1.6380887757350138e-08
1811,2.0056614147279106e-08,0.0
1812,1.600324850414836e-08,3.467370746079723e-08
1813,7.476928232108548e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,5.664169577812572e-08,0.0
1816,3.0128852301913867e-08,2.5493642752394408e-08
1817,3.269434145636296e-08,4.670620334934483e-09
1818,2.384235386898581e-08,1.4305412854298538e-08
1819,2.6912729822470283e-08,1.2421260464634543e-08
1820,2.254631414899677e-08,1.898636980968149e-08
1821,6.804426977424782e-08,1.1833785507064931e-08
1822,3.909990198280866e-08,6.015369535816717e-09
1823,3.261286707356703e-08,5.929612356680991e-09
1824,4.8000341479337294e-08,1.431589158329416e-08
1825,7.04435478837695e-08,1.0566531649658373e-08
1826,2.8185549449943892e-08,1.3211976401805714e-08
1827,2.0278000334439383e-08,1.8434546111834038e-09
1828,2.7516902978419466e-08,4.769596628761974e-08
1829,4.629515065746048e-08,2.571952872898464e-09
1830,5.740259645392598e-08,0.0
1831,1.5591206548037917e-08,1.091384405071949e-08
1832,4.329590197471589e-08,6.764984572527055e-09
1833,8.108539617524002e-09,1.853380560135065e-08
1834,2.8003592333902816e-08,1.8669062740173104e-08
1835,3.100866052818674e-08,3.781543966852041e-09
1836,2.4866775305554256e-08,1.008112526790228e-08
1837,2.6439986200443855e-08,4.174734336004349e-09
1838,1.5149188570262595e-08,1.5149188570262595e-08
1839,1.5381245610512906e-08,1.7478688718597368e-08
1840,4.7772664490963734e-08,9.554533164646273e-09
1841,1.926164561183441e-08,2.3756030032018316e-08
1842,4.628702754416736e-08,1.0733224087289273e-08
1843,3.071593734915723e-08,5.906910960362666e-09
1844,1.3721402902788782e-08,1.0977122322231025e-08
1845,2.9575208060350633e-08,3.348136878855712e-09
1846,2.0490753982471688e-08,4.6836010625384006e-09
1847,1.7797638030003782e-08,4.314578916364553e-09
1848,1.287235473768078e-08,4.02261068899179e-09
1849,7.54147322368226e-09,1.256912263158938e-08
1850,6.788996032014438e-09,1.2899092460827433e-08
1851,4.063146308297405e-08,3.8696632564949596e-09
1852,3.05995628835376e-08,1.2370036772679782e-08
1853,4.538668241238497e-08,1.851298847554972e-08
1854,2.0782657372819813e-08,7.79349651480743e-09
1855,2.600399184871094e-08,1.9104973603134567e-08
1856,1.5013848608802505e-08,7.248064815001953e-09
1857,1.6597130780837688e-08,1.0251168802710708e-08
1858,2.8383320471725426e-08,4.893676130990343e-09
1859,2.6988519419290924e-08,1.5276520048956854e-09
1860,3.890606214973502e-08,5.492620663849479e-09
1861,2.4051415081771665e-08,3.772770984511453e-09
1862,1.626475132354699e-08,7.228778020618165e-09
1863,1.5982786649715308e-08,1.6482249010074668e-08
1864,3.691940475558653e-08,1.9178911792039344e-09
1865,3.953749216911717e-08,4.706844469737348e-09
1866,3.0166799724895554e-08,1.9462451650298362e-09
1867,2.3778776281346836e-08,4.85281148598915e-09
1868,2.2229432850018327e-08,5.433861360870651e-09
1869,2.68593545182938e-08,1.3673853493934018e-08
1870,3.1537268796455464e-08,1.0321287824410774e-08
1871,2.442870794538976e-08,5.3105884134652115e-09
1872,3.749350296899934e-08,6.652073114565837e-09
1873,2.5739819331516145e-08,1.2570609442263958e-08
1874,3.2860349108432274e-08,1.0156835372754358e-08
1875,2.345826055627498e-08,5.149374260327022e-09
1876,3.0230073333470386e-08,1.209203004393089e-08
1877,1.9172929466293454e-08,8.04026067946495e-09
1878,1.6305539807248692e-08,1.4493812372506909e-08
1879,2.1993571408529533e-08,1.1607718231054776e-08
1880,4.171600220814753e-08,7.059631101924424e-09
1881,3.695428985039939e-08,1.324776466304911e-08
1882,1.9300616882489408e-08,1.9966155395678697e-09
1883,2.211768590498764e-08,8.847074739470884e-09
1884,2.178559999066465e-08,1.9805090900604227e-09
1885,1.0313017162477678e-08,9.66845359329227e-09
1886,2.71045488275945e-08,6.4534639854230136e-09
1887,2.0239666387311672e-08,3.264462256069578e-09
1888,3.6775563927449184e-08,6.974675947901687e-09
1889,2.8193116063945922e-08,1.2530273485467092e-09
