year,profond_ADJ dégoût_NOUN
1800,1.2576657937302116e-08
1801,4.7623651688866175e-09
1802,2.2378401354217203e-09
1803,5.851017448321727e-09
1804,7.4155526164076946e-09
1805,6.822906328807221e-08
1806,2.5935023018064385e-08
1807,0.0
1808,2.7192887941396293e-08
1809,0.0
1810,2.3401267590372754e-09
1811,2.5070767684098882e-09
1812,5.3344164641089264e-09
1813,3.738464116054274e-08
1814,6.293354282149721e-09
1815,5.3944472000466703e-08
1816,6.952811659743929e-09
1817,5.916118794857539e-08
1818,2.5034472272977837e-08
1819,2.898294049202832e-08
1820,6.645229433388522e-08
1821,1.972297702934611e-08
1822,3.709477880420309e-08
1823,6.917881023582595e-08
1824,3.452656116564867e-08
1825,2.7296874094417944e-08
1826,2.1139161532346407e-08
1827,4.977327350275118e-08
1828,5.228211819030548e-08
1829,4.4580517055692326e-08
1830,1.0958677876260481e-07
1831,1.683850285871813e-07
1832,1.393586899212096e-07
1833,9.961920710566119e-08
1834,1.278830694673161e-07
1835,1.1798417176578369e-07
1836,9.005805168271763e-08
1837,1.2454624709334894e-07
1838,1.3697390954803268e-07
1839,1.0766871838541192e-07
1840,1.4268103143422195e-07
1841,1.335474166808126e-07
1842,1.8984390237619664e-07
1843,1.2936135362906498e-07
1844,1.7782939210064796e-07
1845,2.34369579743543e-07
1846,2.365218563227245e-07
1847,1.6395399882185302e-07
1848,1.8423557435198745e-07
1849,1.784815424343833e-07
1850,1.4935791625703132e-07
1851,1.6252585055553936e-07
1852,1.634146968854111e-07
1853,1.4511793722249422e-07
1854,1.5742863013201713e-07
1855,1.8202794649369025e-07
1856,1.439258596747095e-07
1857,1.5864904412410397e-07
1858,1.6785308787348185e-07
1859,2.0215928486777557e-07
1860,1.7347527148103836e-07
1861,1.145979169336897e-07
1862,1.2334102450495266e-07
1863,1.2786229319772247e-07
1864,1.6973336869341438e-07
1865,1.7509461258669035e-07
1866,1.435355869716659e-07
1867,1.4509906520743243e-07
1868,1.975949572852187e-07
1869,1.8264361756337166e-07
1870,1.4335121534259088e-07
1871,2.145477822068642e-07
1872,1.6206868735935132e-07
1873,9.817047441629256e-08
1874,1.505601545659374e-07
1875,1.4475463672170008e-07
1876,1.2998931708807504e-07
1877,1.3544746479965397e-07
1878,9.602150896625972e-08
1879,1.2829582374251913e-07
1880,1.4055083852326788e-07
1881,1.366611428466058e-07
1882,1.1047939096897608e-07
1883,1.4913639745373075e-07
1884,1.4589750207960606e-07
1885,1.1473231609215873e-07
1886,1.1229027307990691e-07
1887,1.0054544219428863e-07
1888,9.70114015785839e-08
1889,1.0588080812112821e-07
1890,9.897123476321212e-08
1891,7.712806393556093e-08
1892,5.578975859066304e-08
1893,9.545545509581643e-08
1894,1.247704801699001e-07
1895,1.0472389533333626e-07
1896,7.607167162859696e-08
1897,7.574727334258569e-08
1898,8.657283245838698e-08
1899,9.065228567806116e-08
1900,8.565237408220128e-08
1901,7.880122154801938e-08
1902,6.383368855722438e-08
1903,5.6702312178913417e-08
1904,5.105894018697654e-08
1905,6.399341145879589e-08
1906,5.761486576716379e-08
1907,7.19998070053407e-08
1908,6.286578013714461e-08
1909,5.996071905656208e-08
1910,9.298822334358192e-08
1911,6.437652899649038e-08
1912,8.022508524163641e-08
1913,6.41661728195686e-08
1914,6.49584137590864e-08
1915,3.652036184575991e-08
1916,7.361599330124591e-08
1917,5.3735480065597585e-08
1918,8.040463228553563e-08
1919,5.893022958503025e-08
1920,9.76817915443462e-08
1921,8.481477209443256e-08
1922,6.56636274243283e-08
1923,6.369568694708505e-08
1924,7.60605871619191e-08
1925,7.6987248576188e-08
1926,1.0031524766418443e-07
1927,1.170668610939174e-07
1928,9.02657291135256e-08
1929,8.243900850857244e-08
1930,4.096405348263943e-08
1931,7.185374784057785e-08
1932,6.904507898752854e-08
1933,5.5059178549754506e-08
1934,6.589868917217245e-08
1935,7.659701850570855e-08
1936,5.456121598967911e-08
1937,6.421470288842102e-08
1938,5.963998717106733e-08
1939,6.576441791139587e-08
1940,1.0650288118085882e-07
1941,5.60785480274717e-08
1942,9.102635090130207e-08
1943,5.516146828199453e-08
1944,4.819779064746399e-08
1945,8.931866801731303e-08
1946,7.65660743695662e-08
1947,9.05986183852292e-08
1948,6.19697573256417e-08
1949,6.871906066407973e-08
1950,6.806631347444636e-08
1951,7.249753508631329e-08
1952,9.91211592804575e-08
1953,5.8178667217134716e-08
1954,6.058972701339371e-08
1955,7.790054468159724e-08
1956,8.459507228053553e-08
1957,6.714628852932947e-08
1958,4.880623549752272e-08
1959,6.433120347537624e-08
1960,5.6750835142338474e-08
1961,5.766972321907815e-08
1962,6.4053757853344e-08
1963,5.948768944108451e-08
1964,7.48328119470898e-08
1965,5.7456453816939757e-08
1966,6.591498902253079e-08
1967,7.839233262529888e-08
1968,9.611630247263747e-08
1969,7.085142073037787e-08
1970,5.932355406912393e-08
1971,7.296524273670002e-08
1972,5.540558589700595e-08
1973,5.513203760187935e-08
1974,6.581918654546826e-08
1975,5.140332248743107e-08
1976,4.8564977817022736e-08
1977,4.4663540421652215e-08
1978,5.940591307762588e-08
1979,5.500854882711792e-08
1980,5.571447658780926e-08
1981,5.629739163737213e-08
1982,4.221101690404794e-08
1983,5.683784465304598e-08
1984,3.885335786435462e-08
1985,4.271046094572739e-08
1986,6.054430201629657e-08
1987,5.438626970999394e-08
1988,5.5168296597685185e-08
1989,4.061210390204906e-08
1990,4.4678937882736136e-08
1991,6.09592376576984e-08
1992,5.620142928819405e-08
1993,7.311754046668284e-08
1994,6.593658241627054e-08
1995,6.181593903420435e-08
1996,6.192186674525146e-08
1997,5.274383951814343e-08
