year,petit_ADJ art_NOUN,petit_ADJ dard_NOUN
1800,6.288328657788611e-08,5.65949598296811e-08
1801,1.6668277424969347e-08,4.7623650800687756e-08
1802,1.1189200677108602e-08,1.1189200677108602e-08
1803,4.095712213825209e-08,5.070882025393075e-08
1804,2.4718509905596875e-08,4.2021465418429216e-08
1805,3.980028751016107e-08,2.55858996212055e-08
1806,0.0,0.0
1807,1.4234775136401367e-08,1.9928686256776018e-08
1808,2.039466551195801e-08,3.3991110370834576e-08
1809,3.840352036377226e-08,6.7770917766551975e-09
1810,7.020380277111826e-09,1.1700633351097167e-08
1811,3.760615285841595e-08,3.008491944456182e-08
1812,3.7340914360584065e-08,5.3344164641089264e-09
1813,2.013019195779009e-08,8.627225156487839e-09
1814,2.2026739543434815e-08,9.440030979135372e-09
1815,2.6972236000233352e-08,1.0788894222457657e-08
1816,0.0,4.4034472068688046e-08
1817,4.670620334934483e-09,2.490997452753163e-08
1818,3.4571415286066554e-08,9.536941902865692e-09
1819,1.2421260464634543e-08,2.070210003424222e-09
1820,5.933240565525466e-09,3.5599443393152796e-09
1821,2.465372084259343e-08,0.0
1822,2.4061478143266868e-08,0.0
1823,1.087095569118901e-08,2.3718449426723964e-08
1824,8.421112696055388e-09,7.57900142644985e-09
1825,1.144707639788578e-08,1.7610886082763955e-09
1826,1.0569580766173203e-08,1.2331177856594877e-08
1827,1.566936447261469e-08,9.217273055917019e-10
1828,2.2930752408001354e-08,1.4675682002973645e-08
1829,2.0575622650120806e-08,1.800366966620004e-08
1830,1.0436835840010872e-09,1.2524203008013046e-08
1831,3.1182412207897414e-09,6.236482441579483e-09
1832,2.0294953273491956e-08,2.705993873419743e-09
1833,1.9692167896323554e-08,1.7375443306377747e-08
1834,6.534171426153534e-09,7.467624740797874e-09
1835,2.4958190181223472e-08,1.0588323107185715e-08
1836,8.736974699274924e-09,1.008112482381307e-08
1837,8.349468672008697e-09,1.8090515752078318e-08
1838,1.3886756633496589e-08,3.1560809521380406e-09
1839,1.11863602825224e-08,2.7965900706306e-09
1840,1.0191501864653674e-08,1.3376346252869098e-08
1841,6.420548537278137e-09,3.2102742686390684e-09
1842,6.708265054555795e-10,6.037438549100216e-09
1843,1.358589563071888e-08,0.0
1844,2.140538946093784e-08,2.195424508855126e-09
1845,7.812318791877715e-09,1.785672942844485e-08
1846,1.1709002656346001e-09,2.9272506640865004e-09
1847,5.3932236454556914e-09,1.0786447290911383e-08
1848,1.609044403272364e-08,1.206783295515379e-08
1849,1.6758829879393033e-09,3.3517659758786067e-09
1850,8.146795238417326e-09,6.1100964288129944e-09
1851,1.2898877521649865e-09,1.9348316282474798e-09
1852,3.906327261660181e-09,9.765818376195057e-09
1853,2.6873693936835252e-08,3.5831591027601917e-09
1854,1.506742686174789e-08,1.0391328686409906e-08
1855,1.6982198758341838e-08,8.491099379170919e-09
1856,3.5204886728035234e-08,4.141751386299575e-09
1857,2.1966791052818735e-08,1.0251168802710708e-08
