year,pourrait_VERB écrire_VERB,pourrait_VERB ecrire_VERB,pourrait_VERB décrire_VERB
1800,3.144164395507687e-08,0.0,6.288328968651058e-09
1801,1.904946067554647e-08,0.0,1.6668277424969347e-08
1802,4.923248297927785e-08,0.0,6.489736392722989e-08
1803,3.90067853572873e-08,0.0,3.315576790896557e-08
1804,5.19088700912107e-08,0.0,4.69651695311768e-08
1805,1.7057265822018053e-08,0.0,8.528632911009026e-09
1806,5.187004603612877e-08,0.0,1.4696512096179504e-07
1807,2.2775640928784924e-08,2.8469551160981155e-09,4.27043254092041e-08
1808,3.172503681980743e-08,0.0,9.064295980465431e-09
1809,9.036122072814123e-09,0.0,9.036122072814123e-09
1810,4.44624070894406e-08,1.1700633351097167e-08,1.8721014072298203e-08
1811,7.019814773912003e-08,0.0,7.52123057168319e-08
1812,1.600324850414836e-08,0.0,7.20146218213813e-08
1813,5.176335093892703e-08,2.8757416448144113e-09,3.738464116054274e-08
1814,3.776012391654149e-08,0.0,8.181360300341112e-08
1815,3.776112933451259e-08,0.0,4.315557688983063e-08
1816,5.3304887615013286e-08,0.0,5.0987285504788815e-08
1817,7.317304806520042e-08,0.0,1.401186100480345e-08
1818,6.079800130009971e-08,0.0,6.199012148044858e-08
1819,5.175525075173937e-08,0.0,4.6579724966022695e-08
1820,7.594547923872597e-08,1.1866481131050932e-09,6.882559233645225e-08
1821,7.396116075142345e-08,0.0,3.254291058851777e-08
1822,9.825103575167304e-08,0.0,5.413832582235045e-08
1823,5.435477845594505e-08,0.0,1.581229902569703e-08
1824,6.400046004273463e-08,0.0,3.8737120178211626e-08
1825,7.13240879690602e-08,0.0,8.012953145453139e-08
1826,1.1890779205714352e-07,8.807984341885344e-10,6.429828403042848e-08
1827,1.1521591147811705e-07,9.217273055917019e-10,7.097300169789378e-08
1828,9.814362300630819e-08,9.172301251858528e-10,4.3109814384934e-08
1829,9.259029809527419e-08,0.0,5.229637523029851e-08
1830,9.184415716845251e-08,0.0,5.844628248041772e-08
1831,8.886987501455224e-08,1.5591206103948707e-09,3.585977381703742e-08
1832,1.0688675899928057e-07,0.0,2.3000948701223933e-08
1833,1.436369956309136e-07,0.0,5.560141858040879e-08
1834,1.2694961526449333e-07,9.334530925997342e-10,7.841006066655609e-08
1835,8.621920244422654e-08,0.0,5.067268915581735e-08
1836,1.209734961094e-07,0.0,7.997692819117219e-08
1837,8.071153700939249e-08,0.0,6.122944284925325e-08
1838,7.448350913819013e-08,0.0,8.205810786421353e-08
1839,1.2095252088784036e-07,0.0,4.194885150354821e-08
1840,7.643626531717018e-08,0.0,6.688173215252391e-08
1841,9.7592334213914e-08,0.0,3.2102743574569104e-08
