year,présentant_VERB en_ADP,présentant_VERB dans_ADP
1800,1.28910740304633e-07,3.458580977167003e-07
1801,1.2382149350287364e-07,3.6908329548168695e-07
1802,6.937304419807333e-08,1.4993528907325526e-07
1803,9.946730017418304e-08,2.281896911426884e-07
1804,2.2246657849223084e-08,2.9909395493632474e-07
1805,9.950071699904584e-08,7.391481915419718e-08
1806,1.1238509323163726e-07,2.0748018414451508e-07
1807,1.537355700520493e-07,2.619198653519561e-07
1808,3.6257183921861724e-08,1.6315732409566408e-07
1809,9.03612189517844e-08,1.5135503872443223e-07
1810,7.020380365929668e-08,2.0827128821565566e-07
1811,6.769107407933461e-08,1.9805906958936248e-07
1812,9.601949813031752e-08,1.3336041604361526e-07
1813,1.35159851311073e-07,2.243078540686838e-07
1814,1.1328037885505182e-07,1.195737269199526e-07
1815,2.1308066777692147e-07,1.6722786710943183e-07
1816,2.9897091380348684e-07,1.969963250303408e-07
1817,1.5101672734552096e-07,1.5413046128287533e-07
1818,9.536941547594324e-08,1.5974377731708955e-07
1819,1.4077427934466868e-07,2.7844325245496293e-07
1820,1.1866481131050932e-07,2.3139638472002844e-07
1821,8.776724769177235e-08,1.479223215028469e-07
1822,1.45371430448904e-07,1.9048670196752937e-07
1823,1.8875932217277125e-07,2.0951296164639643e-07
1824,1.7010647646031885e-07,2.5347549126308877e-07
1825,1.681839592038159e-07,2.43030228830321e-07
1826,1.8849086813599314e-07,2.2108041264345957e-07
1827,1.8711064520005039e-07,2.3504045998379297e-07
1828,1.9628724601261638e-07,2.4123153252730845e-07
1829,1.5517449014623708e-07,1.8775256194203394e-07
1830,1.534214817411339e-07,2.4526565312044113e-07
1831,1.091384405071949e-07,2.0736304406909767e-07
1832,2.53010436712664e-07,2.4624543470963545e-07
1833,2.247223953588673e-07,2.0966368197150587e-07
1834,1.9509170101628115e-07,3.0243879223235126e-07
1835,1.7470732416313695e-07,1.9664028627630614e-07
1836,1.9624590769096173e-07,1.821323252215734e-07
1837,2.748366796367918e-07,2.4770091044956644e-07
1838,1.7926539896961913e-07,1.8999607220848702e-07
1839,2.3071868326951517e-07,2.1393914551026683e-07
1840,1.3949617994057917e-07,1.974603520693563e-07
1841,2.260033027390307e-07,2.221509731725746e-07
1842,1.6234001520842867e-07,2.220435675326371e-07
1843,2.4100196971410526e-07,1.902025417166442e-07
1844,2.2118902098799964e-07,1.756339571556964e-07
1845,2.0702645608938752e-07,1.9084379232481297e-07
1846,1.7914774730343197e-07,1.8734404250153602e-07
1847,1.8606621665639977e-07,2.2975132196734194e-07
1848,1.8423557435198745e-07,2.494018644938478e-07
1849,2.664654061845795e-07,2.471927302849508e-07
1850,1.5954140053509036e-07,2.403304506515269e-07
1851,2.27665182706005e-07,2.2444046976488607e-07
1852,2.141969446256553e-07,2.7148973913426744e-07
1853,3.648850395165937e-07,2.3589130648815626e-07
1854,2.795267448618688e-07,1.9431784892276482e-07
