year,grand_ADJ hommage_NOUN,grand_ADJ dommage_NOUN
1800,1.2576657937302116e-08,5.345079898688709e-07
1801,5.000483582762172e-08,6.405381327567738e-07
1802,7.384872446891677e-08,7.071574827932636e-07
1803,3.1205427575287104e-08,6.124064952928165e-07
1804,4.449331569844617e-08,5.388635031522426e-07
1805,2.2743021688143017e-08,5.060322223471303e-07
1806,5.76333825108577e-09,1.0575726037131972e-06
1807,1.9928686256776018e-08,5.466154107125476e-07
1808,6.798221985349073e-09,5.506559546120116e-07
1809,3.840352036377226e-08,4.6536027298316185e-07
1810,6.084329839950442e-08,6.786367521272041e-07
1811,4.011322829455821e-08,6.718966005792026e-07
1812,6.401299401659344e-08,5.441104917736084e-07
1813,0.0,4.83124608763319e-07
1814,7.552024783308298e-08,6.041619826646638e-07
1815,2.4275012222574333e-08,3.2366682489737286e-07
1816,2.7811246638975717e-08,3.0128850880828395e-07
1817,1.5568733857662664e-08,6.756830543963588e-07
1818,1.1921176934492905e-08,7.689159247092903e-07
1819,1.9666995143552413e-08,8.964009339251788e-07
1820,4.034603762193001e-08,1.419231125510123e-06
1821,6.7058117281249e-08,1.4654171991423937e-06
1822,2.7069162911175226e-08,1.4777757542105974e-06
1823,2.174191138237802e-08,1.63360812166502e-06
1824,4.463189640091514e-08,2.757914444373455e-06
1825,6.60408261410339e-08,1.875559405561944e-06
1826,3.8755132436563144e-08,2.0557836251100525e-06
1827,6.820781806027298e-08,1.192715103570663e-06
1828,4.953042775923677e-08,9.722639333631378e-07
1829,4.372319750700626e-08,9.824859716900392e-07
1830,2.922314124020886e-08,6.335159241643851e-07
1831,1.870944643656003e-08,8.247748155554291e-07
1832,1.7588959622116818e-08,8.591530331614194e-07
1833,5.560141858040879e-08,6.799589868933253e-07
1834,4.480574844478724e-08,7.243596087391779e-07
1835,3.403389570166837e-08,1.4490876765194116e-06
1836,3.965242711956307e-08,1.8757613133857376e-06
1837,3.5485243188304594e-08,1.5543928384431638e-06
1838,2.209256599883247e-08,1.9738129140023375e-06
1839,3.915226187700682e-08,1.1885507547049201e-06
1840,5.095751021144679e-08,1.3465521533362335e-06
1841,3.146068650039524e-08,9.476729587731825e-07
1842,2.3478927246856074e-08,1.1491257509987918e-06
1843,2.5990408047960045e-08,7.897539830992173e-07
1844,4.061535463506516e-08,1.0488640782568837e-06
1845,4.464182268293371e-08,1.0395964409326552e-06
1846,3.688335681317767e-08,9.326220720140554e-07
1847,5.3392913201832926e-08,7.949611813273805e-07
1848,2.976732105253177e-08,1.1198948186574853e-06
1849,3.603148357456121e-08,1.078430727829982e-06
1850,2.9192683825840504e-08,1.1561660357983783e-06
1851,2.8377531435808123e-08,1.0074023748529726e-06
1852,6.836072685700856e-08,8.789236289885594e-07
1853,3.58315901394235e-08,1.1472080814201036e-06
1854,3.585008556683533e-08,1.2261767778909416e-06
1855,4.5108965451845506e-08,1.1197637377335923e-06
1856,3.6240326295455816e-08,9.70723021964659e-07
1857,3.7099468386259105e-08,1.2482018973969389e-06
1858,4.3553715300959084e-08,1.1025451840396272e-06
1859,3.4626779665813956e-08,1.1024554851246648e-06
1860,4.073693560258107e-08,9.731093086884357e-07
1861,4.5744847909645614e-08,1.128530129790306e-06
1862,6.23482137029896e-08,1.0906418310696608e-06
1863,5.743813957792554e-08,1.0973182043017005e-06
1864,6.712619438076217e-08,1.156008920588647e-06
1865,2.6358328852893465e-08,1.1310546597087523e-06
1866,5.887391552050758e-08,1.2066719818903948e-06
1867,4.2219461704462447e-08,1.3524785344998236e-06
1868,4.791677810089823e-08,9.998304904001998e-07
1869,3.320792885119772e-08,1.0025864867202472e-06
1870,5.734048613703635e-08,9.856829592536087e-07
1871,2.973929724703339e-08,1.1364659258106258e-06
1872,3.38650991693612e-08,1.13508554022701e-06
1873,5.028243776905583e-08,1.0445577345308266e-06
1874,4.839433387360259e-08,1.0318150316379615e-06
1875,6.007603303714859e-08,1.0745028475867002e-06
1876,3.3253080289341597e-08,1.1064206546507194e-06
1877,3.3398006138440905e-08,1.0866721140700975e-06
1878,3.563062378475479e-08,1.0417428484288394e-06
1879,3.848874996492668e-08,1.2463023040254484e-06
1880,5.390990764908565e-08,1.166764491244976e-06
1881,2.370652651961791e-08,1.0744633982540108e-06
