year,servant_VERB en_ADP,servant_VERB dans_ADP
1800,5.65949598296811e-08,2.1694735607979965e-07
1801,4.0480102825313224e-08,1.0239084957675004e-07
1802,1.1189200677108602e-07,1.4098392853156838e-07
1803,4.4857802805609026e-08,1.1311967540450496e-07
1804,9.88740396223875e-08,1.1864884186252311e-07
1805,1.5635826855486812e-07,2.103729457303416e-07
1806,9.797675115663651e-08,1.0374009207225754e-07
1807,8.256169792275614e-08,2.476850973209821e-07
1808,8.384473915157287e-08,1.4276265858370607e-07
1809,1.0843346331945725e-07,1.1972861502229648e-07
1810,6.31834211617388e-08,1.7316938283329364e-07
1811,1.2033967777824728e-07,2.5070766440649095e-07
1812,9.868670503010435e-08,1.3869482984318893e-07
1813,6.326631751818468e-08,3.738464204872116e-08
1814,6.922689976818219e-08,2.234140765722259e-07
1815,7.012781111370714e-08,1.726223075593225e-07
1816,7.416332437060191e-08,1.1588019610542233e-07
1817,8.718491140147222e-08,1.3544798282971726e-07
1818,9.179306914575136e-08,1.6689647930334672e-07
1819,8.487860725381324e-08,1.8114337985153384e-07
1820,1.4239777712532486e-07,1.6731738128328288e-07
1821,7.198886198267473e-08,1.1537941524419892e-07
1822,4.3110148340019805e-08,1.7043547018147365e-07
1823,1.0574474762492514e-07,1.1661570731291704e-07
1824,1.1284291279167746e-07,1.5494847893648966e-07
1825,4.4027216539177516e-08,1.7963104426144128e-07
1826,9.072223861039674e-08,1.6118610801640898e-07
1827,1.1152900175614988e-07,1.5024154964571323e-07
1828,6.604057034564903e-08,1.6234973543305387e-07
1829,1.268830054357295e-07,1.3374155116707698e-07
1830,1.3046044955444813e-07,2.2856670822690717e-07
1831,9.198811312671751e-08,1.1225668039571701e-07
1832,1.0147476814381662e-07,1.6371262312464552e-07
1833,7.181849837056831e-08,1.4711207896311862e-07
1834,9.334531192450868e-08,1.4095141076531092e-07
1835,7.411826175030001e-08,1.4521129543254574e-07
1836,1.0215539808511309e-07,1.1156444967852508e-07
1837,1.0575994124906174e-07,1.2176309427402998e-07
1838,9.278878110308142e-08,1.4517972135585921e-07
1839,8.879173840625754e-08,1.2374910718371268e-07
1840,1.1975014047038712e-07,1.49687680028876e-07
1841,1.2327452880711576e-07,1.3547357857746078e-07
1842,1.267862081988369e-07,1.6435250049795513e-07
1843,1.175475317638508e-07,1.4117518093437198e-07
1844,6.750930670040844e-08,1.849645188123361e-07
1845,9.095771247302764e-08,1.601525423389205e-07
1846,1.264572233594663e-07,1.8558768588583519e-07
1847,1.1002176325547453e-07,1.9631333980640875e-07
1848,1.2952807537658373e-07,1.4883659504860702e-07
1849,1.0893239577036695e-07,1.2569122986860748e-07
1850,1.194863301634541e-07,1.4732122011196225e-07
1851,8.642247850687568e-08,1.238292242078387e-07
1852,1.3607039606178262e-07,2.265669820644689e-07
1853,8.778739779558009e-08,1.1645267083970623e-07
1854,1.1274592148780016e-07,1.1482418527108962e-07
1855,1.3479620619705202e-07,8.544169105562105e-08
1856,1.226993825431677e-07,1.6152829773741217e-07
1857,1.0055908555850479e-07,1.7915137912050128e-07
1858,1.1793759258083014e-07,1.081502423172509e-07
1859,1.2730433596175317e-07,1.0235268543823395e-07
