year,faisant_VERB en_ADP,faisant_VERB dans_ADP
1800,5.722379174954995e-07,2.735423239030865e-07
1801,6.072015708014078e-07,2.762171789072454e-07
1802,6.937304135590239e-07,3.737193026154273e-07
1803,4.134719233661599e-07,2.437924084830456e-07
1804,5.487509340262875e-07,2.595443504560535e-07
1805,5.060322469940814e-07,2.388017283916355e-07
1806,6.512572099381941e-07,4.754754172608955e-07
1807,6.975040296453017e-07,4.2134936961701897e-07
1808,5.529220508115884e-07,3.4217716127216136e-07
1809,5.399082931845101e-07,3.2981844810819894e-07
1810,6.107730934346023e-07,4.6334510805934315e-07
1811,6.618682633074968e-07,4.287101269540017e-07
1812,5.22772839239849e-07,4.4275657273828983e-07
1813,4.256097554389271e-07,3.3358603457323e-07
1814,4.0906803233653477e-07,5.758419012735772e-07
1815,4.935919331039429e-07,2.6163067445850174e-07
1816,6.211178487092184e-07,2.8970047871723636e-07
1817,4.841876242167586e-07,1.899385608794546e-07
1818,5.30492385575343e-07,1.3709353652302525e-07
1819,5.134121079386489e-07,2.5670604486549564e-07
1820,5.838308823058469e-07,2.325830310567767e-07
1821,5.650633001508254e-07,1.6665914870372944e-07
1822,5.604319426311122e-07,1.9148926355683216e-07
1823,8.489227916186337e-07,2.1247777226562903e-07
1824,6.610573315413149e-07,2.2737004190531707e-07
1825,6.850634917121567e-07,1.4528980329941987e-07
1826,5.610685889223532e-07,2.5278914561610577e-07
1827,5.585667277596684e-07,1.9909310466914576e-07
1828,4.870491823183443e-07,2.283903010047439e-07
1829,5.65829633814019e-07,1.740354685364487e-07
1830,5.458465097696319e-07,2.4630932982105946e-07
1831,4.97359486928417e-07,2.8687820297079725e-07
1832,4.870789038768919e-07,3.1389528176717363e-07
1833,4.7029530714226553e-07,1.992384153215454e-07
1834,5.367355040419852e-07,2.1936148186796345e-07
1835,4.787434590980411e-07,2.2159847645752961e-07
1836,6.028513066524965e-07,2.6345338921540673e-07
1837,7.284911891503043e-07,1.8160095016650502e-07
1838,5.693570053200148e-07,2.3228755230420006e-07
1839,6.676858790299889e-07,2.3631186629735623e-07
1840,5.55436834304146e-07,2.1529547211684985e-07
1841,5.123597519585132e-07,2.49759349646439e-07
1842,5.433694845180526e-07,2.2271439403809268e-07
1843,4.400648707658661e-07,2.108767287456459e-07
1844,5.795920581253e-07,2.4424098321595977e-07
1845,6.277756443573423e-07,2.784533812416612e-07
1846,5.649593628476168e-07,2.0198029559992392e-07
1847,6.407149575338167e-07,2.0332453587457167e-07
1848,5.671881311286597e-07,2.93650604277218e-07
1849,4.4159517642583523e-07,2.1535097083358323e-07
1850,4.928811101478914e-07,2.369359570764118e-07
1851,5.765798318790871e-07,2.1154158513780885e-07
1852,4.3946180516840627e-07,2.1354588386479634e-07
1853,5.804717879698273e-07,2.6933413632690417e-07
1854,5.71003518246016e-07,2.4939189802175576e-07
1855,5.922541816971716e-07,1.7035268484733024e-07
1856,5.933058950802206e-07,3.649918371984029e-07
1857,5.838284931058979e-07,2.182034508635411e-07
1858,5.001336611520912e-07,2.2070479022140432e-07
1859,5.789800892053165e-07,2.576639666074243e-07
1860,4.938781446028884e-07,2.4716793922685554e-07
1861,5.946830263781067e-07,2.1834912211637914e-07
1862,5.778504510445259e-07,2.254475151008961e-07
1863,5.269325207279962e-07,2.707084529873782e-07
1864,5.878336608589052e-07,2.670663583614896e-07
1865,5.671747596025511e-07,2.6781944928444545e-07
1866,7.59522198912066e-07,2.3695534689949227e-07
1867,4.619876623479513e-07,2.838894577195106e-07
1868,6.0760449560604e-07,2.949104938032576e-07
1869,5.166762981900774e-07,2.456410159723532e-07
1870,4.97142032429565e-07,3.136524768798665e-07
1871,4.991953139743543e-07,2.6128097374567005e-07
1872,5.793350901228678e-07,2.570119297384821e-07
1873,5.926144215351314e-07,3.238428325502696e-07
1874,6.739359115215393e-07,2.9873044549155736e-07
1875,5.813071388693913e-07,3.146839826495551e-07
1876,5.828358053960869e-07,3.0048693533402115e-07
1877,5.288017748128482e-07,2.5728833863425393e-07
1878,5.821681234863263e-07,2.687394360378903e-07
1879,6.194855641794561e-07,2.7125403079253374e-07
1880,5.384572969724388e-07,2.4259458530906386e-07
1881,5.417638240245992e-07,2.551937823280781e-07
1882,5.71697587936626e-07,3.4208678911795687e-07
1883,5.270328848894223e-07,3.3113337227774764e-07
1884,5.136120337922989e-07,2.838729704635057e-07
1885,5.743061404217542e-07,2.4751239657838653e-07
1886,6.272766928105966e-07,2.942779646630811e-07
1887,6.901073392739931e-07,3.649668958161101e-07
1888,5.73825641225767e-07,2.8976608490438593e-07
1889,6.102243030881027e-07,2.6752134241192493e-07
1890,5.879284898924197e-07,2.7921687417720165e-07
1891,6.29135523233515e-07,3.1169937209085674e-07
1892,6.243438219755149e-07,2.557553160364989e-07
1893,4.957525456816825e-07,2.598851838175875e-07
1894,5.696591784953853e-07,2.955421827266491e-07
1895,5.531106737066693e-07,2.563929815124766e-07
1896,5.142209467123848e-07,2.948514556400106e-07
1897,5.797579847310885e-07,2.8842231147852004e-07
1898,5.403728899899818e-07,2.806544046052295e-07
1899,5.638129838558825e-07,2.293945087217253e-07
1900,5.642674505423884e-07,3.410521908220332e-07
1901,5.437843109135088e-07,2.822313089900774e-07
1902,7.193565796370649e-07,3.613969028481989e-07
1903,5.006004075713832e-07,2.8405159491207144e-07
1904,4.966153772656412e-07,2.8485513592357847e-07
1905,6.022605703037698e-07,3.1119376719956904e-07
1906,5.216203340374648e-07,3.343720011983464e-07
1907,5.317699836027145e-07,3.1731344085628166e-07
1908,5.598983614518716e-07,2.519542545709186e-07
1909,5.352457055352033e-07,2.4094307571331797e-07
1910,4.905930248710888e-07,3.0034128006839467e-07
1911,5.134161167319462e-07,2.4260907061091075e-07
1912,5.110442025113571e-07,2.6411766640421774e-07
