year,voulait_VERB écrire_VERB,voulait_VERB décrire_VERB
1800,4.4018303668735825e-08,2.829747991484055e-08
1801,5.714838380299625e-08,2.3811825844433088e-09
1802,2.9091921760482364e-08,1.1189200677108602e-08
1803,1.755305234496518e-08,3.315576790896557e-08
1804,9.39303390623536e-08,1.2359254952798437e-08
1805,4.264316544322355e-08,1.7057265822018053e-08
1806,5.76333825108577e-09,5.76333825108577e-09
1807,1.2811298688575334e-07,8.540865792383556e-09
1808,6.345007363961486e-08,6.798221985349073e-09
1809,3.162642769893864e-08,6.7770917766551975e-09
1810,8.89248141788812e-08,2.106114038724627e-08
1811,2.2563691359778204e-08,5.515568801683912e-08
1812,7.468182872116813e-08,5.067695596494559e-08
1813,1.1790540810352468e-07,6.614205716459765e-08
1814,8.810695817373926e-08,2.8320094713762956e-08
1815,7.012781111370714e-08,1.3486118000116676e-08
1816,5.5622493277951435e-08,6.952811659743929e-09
1817,2.0239355080775567e-08,1.401186100480345e-08
1818,5.96058882251782e-08,1.1921177378582115e-09
1819,6.107119787657211e-08,6.210630232317271e-09
1820,9.137190204455692e-08,1.898636980968149e-08
1821,8.480879643002481e-08,3.155676253641104e-08
1822,4.110502516141423e-08,1.7043547018147365e-08
1823,8.597937295462543e-08,2.7671523739059012e-08
1824,5.221090049190025e-08,7.57900142644985e-09
1825,5.6354835464844655e-08,1.937197424695114e-08
1826,5.0205510859768765e-08,3.082794464148719e-08
1827,1.1613764172579977e-07,1.566936447261469e-08
1828,4.769596628761974e-08,2.4765213879618386e-08
1829,6.001223340490469e-08,6.858540846366168e-09
1830,1.0019362406410437e-07,3.1310506187764986e-08
1831,6.392394169552063e-08,1.5591206548037917e-08
1832,6.088486514954639e-08,9.470978667991403e-09
1833,1.5406226339109708e-07,3.359252431778259e-08
1834,8.027696907220161e-08,1.9602515166639023e-08
1835,8.470658485748572e-08,1.5882484660778573e-08
1836,7.392824841190304e-08,2.688300071440608e-08
1837,7.305785487687899e-08,2.6439986200443855e-08
1838,5.112851297894849e-08,2.3354999711955315e-08
1839,8.87917366299007e-08,2.4470162784950844e-08
