year,profond_ADJ dépit_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,3.900678446910888e-09
1804,0.0
1805,2.2743021688143017e-08
1806,2.881669125542885e-09
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,5.3344164641089264e-09
1813,8.627225156487839e-09
1814,3.1466771410748606e-09
1815,8.091670444798638e-09
1816,2.7811246638975717e-08
1817,0.0
1818,1.3113295338484932e-08
1819,1.9666995143552413e-08
1820,0.0
1821,2.2681422962023134e-08
1822,1.4035862250239006e-08
1823,3.9530747564242574e-09
1824,1.3473780313688621e-08
1825,8.805443485471187e-09
1826,2.9947145208097936e-08
1827,1.474763688946723e-08
1828,0.0
1829,2.571952872898464e-09
1830,5.218417697960831e-09
1831,2.0268567268999504e-08
1832,1.7588959622116818e-08
1833,1.6217079235048004e-08
1834,1.213489042584115e-08
1835,2.2689263801112247e-09
1836,1.747394939854985e-08
1837,3.270208637218275e-08
1838,5.049729523420865e-09
1839,1.8177836125232716e-08
1840,1.0828470564661075e-08
1841,5.072233477676491e-08
1842,3.085801836277824e-08
1843,2.8353174030826267e-08
1844,5.3239045172404076e-08
1845,3.5155437672074186e-08
1846,3.571245699163228e-08
1847,3.128069891999985e-08
1848,1.367687652020777e-08
1849,7.54147322368226e-09
1850,1.2899092460827433e-08
1851,1.3543821175687754e-08
1852,3.2552726736412296e-08
1853,3.0456853039595444e-08
1854,2.3900057044556888e-08
1855,1.1675261646360013e-08
1856,1.5531567143511893e-08
1857,2.2943092758964667e-08
1858,2.1532175153993194e-08
1859,9.165912473463322e-09
1860,3.020941363729435e-08
1861,1.8863854478468056e-08
1862,1.400575744270327e-08
1863,2.3974180862751382e-08
1864,1.4384183621984903e-08
1865,8.47231973466478e-09
1866,2.6274308950746672e-08
1867,3.202855580752839e-08
1868,2.0253484223076157e-08
1869,2.7347706321734222e-08
1870,1.4335121534259088e-08
1871,1.6993883633631413e-08
1872,1.5118347462816928e-08
1873,1.3767810003173508e-08
1874,2.6288279997288555e-08
1875,2.460256709468922e-08
1876,1.3905833817773328e-08
1877,1.9172929910382663e-08
1878,7.850815109122777e-09
1879,2.2604503158163425e-08
1880,1.6686399817444908e-08
1881,1.1853263259808955e-08
1882,1.3976308999019693e-08
1883,3.09647596452578e-08
1884,2.5086448474098688e-08
1885,2.0626034213933053e-08
1886,1.871504551331782e-08
1887,7.834709769838355e-09
1888,6.340614699951175e-09
1889,1.9421923624918236e-08
1890,7.865263995654459e-09
1891,1.211101796627645e-08
1892,1.2537024751679837e-08
1893,1.1085149687062312e-08
1894,6.301539290376468e-09
1895,6.018614495673091e-09
1896,2.0049897742069334e-08
1897,1.0488084178916779e-08
1898,1.867257104493092e-08
1899,1.1607914629507832e-08
1900,3.633737311048435e-09
1901,7.824234593556412e-09
1902,1.5221880644844532e-08
1903,1.7820726228023887e-08
1904,1.3974025492302644e-08
1905,5.676835002077496e-09
