year,sautant_VERB en_ADP,sautant_VERB dans_ADP
1800,1.2576658381391326e-08,7.231578535993322e-08
1801,1.1905912700171939e-08,4.524246932646747e-08
1802,5.147032311469957e-08,3.1329761895904085e-08
1803,2.7304748684287006e-08,2.7304748684287006e-08
1804,5.932442159739537e-08,3.213406207791536e-08
1805,1.7057265822018053e-08,3.695740957709859e-08
1806,5.76333825108577e-09,4.3225035994964855e-08
1807,5.693910232196231e-09,1.1387820464392462e-08
1808,1.1330369531492579e-08,1.0423940466353088e-07
1809,4.518061036407062e-09,2.9367397402779716e-08
1810,2.574139479349924e-08,0.0
1811,7.521229861140455e-09,5.264861258069686e-08
1812,5.3344164641089264e-09,5.601137331723294e-08
1813,3.738464116054274e-08,5.463909147351842e-08
1814,9.440030979135372e-09,5.97868634599763e-08
1815,2.697223555614414e-09,2.6972236000233352e-08
1816,4.6352077731626196e-09,4.4034472068688046e-08
1817,9.341240669868967e-09,2.490997452753163e-08
1818,3.5763532135746345e-09,3.337929754820834e-08
1819,1.3456364911235141e-08,1.6561680027393777e-08
1820,5.933240565525466e-09,7.594547923872597e-08
1821,6.7058117281249e-08,2.2681422962023134e-08
1822,3.8097340393505874e-08,3.909990198280866e-08
1823,8.894418535021487e-09,4.0519015698237126e-08
1824,3.536867154707579e-08,2.2737005167527968e-08
1825,4.3146670236637874e-08,3.6982861217893515e-08
1826,1.3211976401805714e-08,3.963592831723872e-08
1827,2.2121454890111636e-08,1.1060727445055818e-08
1828,1.1006761724274838e-08,2.109629271274116e-08
1829,1.2002446148073886e-08,3.17207503042205e-08
1830,5.218418053232199e-08,5.2184179866188174e-08
1831,2.0268567268999504e-08,8.263339168479433e-08
1832,7.035583848846727e-08,7.035583848846727e-08
1833,1.9692167896323554e-08,6.602667923516492e-08
1834,2.8003591889813606e-08,3.360431222176885e-08
1835,2.571449897459388e-08,3.100866052818674e-08
1836,1.7473950453261722e-08,5.645430078971003e-08
1837,3.270208637218275e-08,3.409366655660051e-08
1838,2.0830134062066463e-08,1.7674052887883818e-08
1839,3.985140939466447e-08,3.635567225046543e-08
1840,3.248541347034006e-08,3.758116307039927e-08
1841,2.6966304744746594e-08,2.953452371556864e-08
1842,4.360372329870188e-08,3.219967226186782e-08
1843,3.6622846977252266e-08,5.3752891915337386e-08
1844,3.951764071530306e-08,2.5247381296722438e-08
1845,3.682950477923441e-08,4.519984547757261e-08
1846,3.3370659346942944e-08,2.985795788390533e-08
1847,2.6966118227278457e-08,2.7505439703645607e-08
1848,9.65426583121598e-09,3.459445352405055e-08
1849,7.54147322368226e-09,3.603148357456121e-08
1850,3.326607966869233e-08,4.6844071732721204e-08
1851,4.6435957301582675e-08,4.063146263888484e-08
1852,2.408901877970493e-08,2.278690836021724e-08
1853,1.911018188138769e-08,2.09017620989016e-08
1854,2.338049043260071e-08,2.3900056878023435e-08
1855,2.9718847827098216e-08,3.555647865027822e-08
1856,2.6403665032148638e-08,4.659470320689252e-08
1857,2.0014186807859602e-08,2.0990489346672803e-08
1858,2.0064071293290908e-08,3.474509990830654e-08
1859,6.823512288534062e-08,5.041251660564683e-08
1860,2.288591893773173e-08,6.453829404229339e-08
1861,2.452301117727984e-08,4.385846352761291e-08
1862,2.710791768834042e-08,4.5631662032308284e-08
1863,5.394190516483377e-08,4.944674741880206e-08
1864,3.5001512799226475e-08,5.274200909344273e-08
1865,2.3534222126642135e-08,5.6482132748669756e-08
1866,2.5301186923343266e-08,3.6978658357611494e-08
1867,2.8631587767335986e-08,5.386620749447957e-08
