year,ont_VERB étendu_VERB,ont_VERB etendu_VERB,ont_VERB détendu_VERB
1800,3.804439074883703e-07,3.144164484325529e-09,6.288328968651058e-09
1801,3.6193975461173977e-07,0.0,4.7623651688866175e-09
1802,5.191789114178391e-07,0.0,0.0
1803,6.553139542120334e-07,0.0,0.0
1804,5.19088700912107e-07,0.0,0.0
1805,5.00346459375578e-07,2.842877711017877e-09,0.0
1806,2.9681191904273874e-07,2.881669125542885e-09,5.76333825108577e-09
1807,5.380745164984546e-07,0.0,2.8469551160981155e-09
1808,4.8493984650122e-07,6.798221985349073e-09,0.0
1809,5.737937271987903e-07,2.259030518203531e-09,0.0
1810,6.739564923918806e-07,4.680253518074551e-09,0.0
1811,3.8859690221215715e-07,2.5070767684098882e-09,5.0141535368197765e-09
1812,5.681153538716899e-07,2.6672082320544632e-09,5.3344164641089264e-09
1813,5.492666446116345e-07,0.0,0.0
1814,3.020809913323319e-07,0.0,3.1466771410748606e-09
1815,4.01886296685916e-07,2.697223555614414e-09,2.697223555614414e-09
1816,5.191432705942134e-07,0.0,0.0
1817,5.028701366427413e-07,1.556873407970727e-09,3.113746815941454e-09
1818,5.221475589678448e-07,0.0,1.1921177378582115e-09
1819,4.595866300860507e-07,0.0,4.140420006848444e-09
1820,5.933240458944056e-07,3.5599443393152796e-09,1.1866481131050932e-09
1821,4.3587778009168687e-07,7.88919063410276e-09,0.0
1822,3.46886309898764e-07,0.0,1.0025615893027862e-09
1823,4.130963020543277e-07,9.882686891060644e-10,3.9530747564242574e-09
1824,3.435814051044872e-07,0.0,0.0
1825,4.499581507388939e-07,2.641632912414593e-09,8.805443041381977e-10
1826,3.58484953721927e-07,5.284790383086602e-09,8.807984341885344e-10
1827,5.198542112339055e-07,2.7651818612639545e-09,2.7651818612639545e-09
1828,4.338498627021181e-07,0.0,9.172301251858528e-10
1829,3.9522342376585584e-07,8.57317605795771e-10,1.714635211591542e-09
1830,3.517213542636455e-07,0.0,2.0873671680021744e-09
1831,3.414474178953242e-07,4.677361609140007e-09,3.1182412207897414e-09
1832,2.841293564870284e-07,2.705993873419743e-09,2.705993873419743e-09
1833,3.4635050383258204e-07,0.0,1.1583628500844156e-09
1834,4.01384824044726e-07,9.334530925997342e-10,0.0
1835,3.3580110425646126e-07,7.563087933704082e-10,1.5126175867408165e-09
1836,3.7367371419350093e-07,0.0,1.008112526790228e-08
1837,4.28606085733918e-07,0.0,2.7831563720326358e-09
1838,3.1371445174954715e-07,0.0,1.8936485712828244e-09
1839,3.0412917340072454e-07,6.9914751765765e-10,4.894032734625853e-09
1840,3.426892476454668e-07,0.0,0.0
1841,3.826646945981338e-07,0.0,2.5682194149112547e-09
1842,3.186425772128132e-07,0.0,8.720745015011744e-09
1843,2.9829899972355634e-07,5.906911071384968e-10,1.7720733769266417e-09
1844,3.4523051795076753e-07,0.0,1.6465684371524958e-09
1845,3.0468044087683666e-07,5.580227946389016e-10,0.0
1846,3.020922747509758e-07,0.0,1.7563503984519002e-09
1847,3.1064968197824783e-07,0.0,5.3932236454556914e-09
1848,2.9445510563164135e-07,8.045221711050488e-10,4.02261068899179e-09
1849,3.2595923471490096e-07,0.0,1.6758829879393033e-09
1850,3.3877088867484417e-07,0.0,6.1100964288129944e-09
1851,3.186022752288409e-07,0.0,4.514607354622058e-09
1852,3.3464203852417995e-07,2.6042181744401205e-09,1.9531636308300904e-09
1853,3.7264854313434626e-07,0.0,1.7915795513800958e-09
1854,3.2628773283249757e-07,3.117398783558656e-09,5.195664454227256e-10
1855,3.1045581749822304e-07,5.306937111981824e-10,3.714855978387277e-09
1856,2.490228041551745e-07,0.0,1.1389816201301528e-08
1857,2.509095793357119e-07,4.881509085841174e-10,2.4407544874094356e-09
1858,2.882375156332273e-07,4.893676019968041e-10,7.829881631948865e-09
1859,3.197884836936282e-07,5.092173349652285e-10,1.5276520048956854e-09
1860,2.5449142526667856e-07,0.0,5.492620580582752e-09
1861,2.650371584422828e-07,0.0,4.2443675241088386e-09
1862,2.6294679855709546e-07,9.035972525772706e-10,2.2589932147099034e-09
1863,2.647149131007609e-07,1.9978483312144135e-09,6.99246927027275e-09
1864,2.6706635480877594e-07,0.0,2.3973640850272204e-09
1865,2.4193178660425474e-07,0.0,3.294791106611683e-09
1866,2.1992570964357583e-07,4.865612912574591e-10,2.432806400776144e-09
1867,2.9310982085917203e-07,0.0,1.455843445796745e-09
1868,3.3442947255934996e-07,0.0,9.87974813071446e-10
1869,2.749421241787786e-07,0.0,1.4650557433881772e-09
1870,2.844088271558576e-07,0.0,3.4404292748035914e-09
1871,2.0605084216640535e-07,0.0,2.1242354542039266e-09
1872,2.431030452498817e-07,0.0,2.4189357183956872e-09
1873,2.196863704284624e-07,5.986004469882289e-10,8.380406590902112e-09
1874,2.473488223131426e-07,1.1949218281515073e-09,6.572069999322139e-09
1875,2.2714462488693243e-07,0.0,4.005069165202713e-09
1876,2.400267931079725e-07,0.0,3.02300739996042e-09
1877,2.5110352908086497e-07,0.0,3.710889595609501e-09
1878,2.3431664430972887e-07,6.039088673581716e-10,6.039088673581716e-10
1879,2.596463275494898e-07,0.0,2.443730107160036e-09
1880,2.8623594516830053e-07,0.0,6.417846254436199e-10
1881,2.3357900147402688e-07,0.0,2.7890030285249168e-09
1882,2.3293847561944858e-07,6.655385131892899e-10,6.655385131892899e-10
1883,2.3065587129167398e-07,0.0,5.687405213450347e-09
1884,3.584721355309739e-07,1.3203393933736152e-09,3.300848483434038e-09
1885,3.5257627928331203e-07,0.0,1.2891271383708158e-09
1886,2.4910369234021346e-07,0.0,1.2906927748801422e-09
1887,2.494049340384663e-07,0.0,1.3057849246322917e-09
1888,2.4221148464675935e-07,0.0,3.1703073499755874e-09
1889,2.7190694140699634e-07,1.2530273485467092e-09,4.385595886446936e-09
1890,2.956028311018599e-07,0.0,1.1142456735058204e-08
1891,3.3209687444468727e-07,6.374220040683554e-10,1.0836173736095134e-08
1892,2.2880070105202321e-07,0.0,3.1342561879199593e-09
