year,ressemblant_VERB en_ADP,ressemblant_VERB dans_ADP
1800,1.3519907327008696e-07,2.2009151834367913e-08
1801,7.381665767525192e-08,1.904946067554647e-08
1802,1.0070280609397742e-07,2.9091921760482364e-08
1803,1.6577882888668682e-07,3.900678446910888e-09
1804,4.943701981119375e-08,5.9324420931261557e-08
1805,1.3361525930122298e-07,8.528632911009026e-09
1806,2.881669125542885e-08,0.0
1807,6.263301344233696e-08,2.2775640928784924e-08
1808,1.6089124699192325e-07,1.1330369531492579e-08
1809,8.358412628695078e-08,3.162642769893864e-08
1810,8.89248141788812e-08,3.2761775514700275e-08
1811,3.008491944456182e-08,2.5070767684098882e-09
1812,3.467370746079723e-08,0.0
1813,4.026038169513413e-08,1.4378708002027452e-08
1814,6.922689976818219e-08,2.8320094713762956e-08
1815,1.8880564667256294e-08,1.3486118000116676e-08
1816,6.721051448721482e-08,4.6352077731626196e-09
1817,9.652615062805125e-08,3.113746771532533e-08
1818,9.656153565629211e-08,2.1458118837358597e-08
1819,6.93520334493769e-08,1.7596784473994376e-08
1820,6.051905643289501e-08,1.6613073583471305e-08
1821,9.368413600441272e-08,9.86148829262845e-10
1822,5.012807946513931e-08,2.7069162911175226e-08
1823,5.138997138942614e-08,1.1859224713361982e-08
1824,7.410579172528742e-08,2.189489300974401e-08
1825,1.2063456722444243e-07,1.0566531649658373e-08
1826,8.367585024871005e-08,2.4662355713189754e-08
1827,6.083400450052068e-08,2.488663675137559e-08
1828,5.4116576109208836e-08,3.118582370120748e-08
1829,9.087566610332942e-08,2.8291481157793896e-08
1830,8.140732177253085e-08,2.1917355041978226e-08
1831,7.795603096383275e-08,3.274153215215847e-08
1832,1.2176973029909277e-07,5.411987746839486e-09
1833,7.066013552048389e-08,1.50587169400751e-08
1834,7.747660646373333e-08,2.8937046536725575e-08
1835,7.184933537018878e-08,1.8907719834260206e-08
1836,6.04867480547e-08,4.9061476659062464e-08
1837,1.224588856985065e-07,1.3915782304252389e-08
1838,6.56464820281144e-08,1.009945904684173e-08
1839,6.50207212515852e-08,9.788065469251706e-09
1840,5.477932418784803e-08,5.732719632334238e-09
1841,7.704657889462396e-08,1.926164561183441e-09
1842,8.117000760421433e-08,6.708265054555795e-09
1843,7.029224491361674e-08,8.269675610961258e-09
1844,4.50062032086862e-08,1.3721403568922597e-08
1845,4.185170965342877e-08,6.696273757711424e-09
1846,6.439951505399222e-08,1.8148954339380907e-08
1847,4.314578916364553e-08,5.3932236454556914e-09
1848,5.229394162142853e-08,1.126331028444838e-08
1849,6.954914510970411e-08,5.446619866233959e-08
1850,6.721106160512136e-08,1.6293590476834652e-08
1851,5.546517201082679e-08,6.449438760824933e-09
1852,6.250123618656289e-08,2.018269107395554e-08
1853,5.912212586167698e-08,1.970737528722566e-08
1854,5.0917510208137173e-08,1.0391328686409906e-08
1855,7.005156987816008e-08,1.1675261646360013e-08
1856,6.523258377910679e-08,1.3978411317339123e-08
1857,4.29572786231347e-08,1.3180074809326925e-08
1858,6.410715513993637e-08,1.2234189661342043e-08
1859,7.027199444564758e-08,1.323965115318515e-08
1860,1.0024032803812588e-07,1.373155189554609e-08
1861,3.6312922446768425e-08,8.960331143725853e-09
1862,7.048058847658467e-08,2.3041730301542884e-08
1863,8.640694204586907e-08,1.748117206545885e-08
1864,8.678457419364349e-08,1.6302074357099627e-08
1865,6.589581857951998e-08,7.0602665935837194e-09
1866,7.833637027943041e-08,5.838735717134114e-09
1867,9.220342178650753e-08,6.79393608038481e-09
1868,6.86642493974432e-08,1.6301584082611953e-08
1869,7.42294901101559e-08,1.3673853160867111e-08
1870,5.791389412479475e-08,1.2614907340946502e-08
1871,7.222400455475508e-08,9.559059321873065e-09
1872,9.8571632634048e-08,7.256807155187062e-09
1873,1.1493128226902627e-07,2.9331422624068182e-08
1874,1.027632805516987e-07,1.1351757756017378e-08
1875,9.669381029198121e-08,2.1169650921137873e-08
1876,5.501873445723504e-08,4.232210137899983e-09
1877,9.462768701951063e-08,3.710889595609501e-09
1878,8.817069385713694e-08,7.2469061862534545e-09
1879,8.553055153015521e-08,1.4662380642960215e-08
1880,8.535735673831368e-08,7.701415505323439e-09
1881,9.552335455964567e-08,7.669758161910067e-09
1882,6.189507928411331e-08,3.3276926103553706e-08
1883,1.131161653233903e-07,8.847074184359371e-09
1884,8.31813835588946e-08,2.1125430293977843e-08
1885,1.2182250941350503e-07,1.0313017106966527e-08
1886,7.486018205327127e-08,3.872078213618124e-09
1887,8.422312447464719e-08,6.528924512139156e-09
1888,1.033520220516948e-07,8.242799331981132e-09
1889,1.2718227537789062e-07,1.1903759755682586e-08
1890,9.962667490981403e-08,3.2771932723107966e-08
1891,9.115134957937698e-08,2.103492668936724e-08
1892,8.149066133000815e-08,7.522214851007902e-09
1893,7.88277318974906e-08,1.23168328869383e-08
1894,8.507078064212692e-08,1.449354058991048e-08
1895,1.2338159649516456e-07,7.22233739480771e-09
1896,9.553186686162007e-08,8.255840455717589e-09
1897,1.0721152676751444e-07,1.806281169081103e-08
1898,1.1033792191028624e-07,2.4896761985360172e-08
1899,1.0723502441578603e-07,1.6029977345510815e-08
1900,1.1212674877469908e-07,1.6092265298084385e-08
1901,8.606657786458527e-08,1.5089595351014395e-08
1902,9.084025265337914e-08,2.356936334990678e-08
1903,9.558389990615979e-08,1.2420506401156217e-08
1904,8.384415650652954e-08,1.1824175416563776e-08
1905,1.2024568718516093e-07,1.0837593933388234e-08
1906,1.039125265833718e-07,2.5206503551089554e-08
1907,9.668545430940867e-08,9.771402353919711e-09
1908,9.871892103774371e-08,9.822778146428846e-09
1909,1.083693774717176e-07,1.980354014108343e-08
1910,1.1703689750675039e-07,1.1222716089775986e-08
1911,8.619006308663302e-08,5.3203743632934675e-09
1912,8.126696826593616e-08,2.2921453179947093e-08
1913,7.84842484335968e-08,9.545381374209683e-09
1914,7.701255100300841e-08,2.0759905794420774e-08
1915,6.950649833470379e-08,1.0602685840410686e-08
1916,8.680095220370276e-08,1.3184954461564757e-08
1917,6.141197417264266e-08,1.315970976634162e-08
1918,6.202643021424592e-08,6.89182577673364e-09
1919,8.287063479883727e-08,9.207848705727883e-09
1920,7.345065000663453e-08,1.8930579770426448e-08
1921,7.799929591101318e-08,1.060184651180407e-08
1922,1.1214461892450345e-07,4.426761179843197e-09
1923,9.448194049355152e-08,6.369568872344189e-09
1924,5.1566498626698376e-08,1.1602462102189293e-08
1925,1.0118323956476161e-07,1.2097995494286806e-08
1926,7.133528612257578e-08,8.916910765321973e-09
1927,6.355057990958812e-08,1.2264147031260109e-08
1928,6.170062505361784e-08,1.5996457491951332e-08
1929,6.907051641746875e-08,1.1140405931087116e-08
1930,5.566909777598994e-08,1.05036033204442e-08
