year,assistant_VERB en_ADP,assistant_VERB dans_ADP
1800,0.0,9.432493897065797e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,0.0,1.950339223455444e-09
1804,0.0,1.730295728918918e-08
1805,0.0,1.1371510844071508e-08
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,4.305540457494317e-08
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,1.504245972228091e-08
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,2.5881675469463516e-08,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,2.697223555614414e-09
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,0.0,0.0
1818,0.0,1.1921177378582115e-09
1819,0.0,1.035105001712111e-09
1820,4.746592452420373e-09,2.3732962262101864e-09
1821,0.0,9.86148829262845e-10
1822,0.0,8.02049271442229e-09
1823,0.0,2.174191138237802e-08
1824,0.0,0.0
1825,0.0,9.68598712347557e-09
1826,0.0,5.284790383086602e-09
1827,0.0,1.566936447261469e-08
1828,9.172301251858528e-10,2.935136400594729e-08
1829,1.0287811491593857e-08,4.8009785924563175e-08
1830,0.0,2.7135772739939057e-08
1831,6.236482441579483e-09,1.4032085715598441e-08
1832,6.764984572527055e-09,4.8707889277466165e-08
1833,0.0,2.3167257001688313e-09
1834,1.8669061851994684e-09,6.534171426153534e-09
1835,3.781543966852041e-09,7.563087933704082e-09
1836,1.3441500135158435e-09,3.36037508930076e-09
1837,0.0,1.461157106419364e-08
1838,0.0,2.5248647617104325e-09
1839,3.4957374772659477e-09,3.355908129165641e-08
1840,1.9109065441114126e-09,2.0383004173396557e-08
1841,6.420548537278137e-10,1.926164561183441e-09
1842,0.0,1.0733224087289273e-08
1843,5.906911071384968e-10,2.5990408492049255e-08
1844,1.2074834465636286e-08,1.0428266250528395e-08
1845,0.0,1.3392546849289033e-08
1846,2.9272506640865004e-09,4.390875840698527e-08
1847,6.47186837454683e-09,1.0247124926365814e-08
1848,8.045221711050488e-10,5.63165514222419e-09
1849,0.0,1.256912263158938e-08
1850,3.394498016007219e-09,7.467895635215882e-09
1851,0.0,1.870337307252612e-08
1852,1.1718981340891332e-08,2.148479971708639e-08
1853,5.971931837933653e-10,2.388772735173461e-09
1854,1.558699391779328e-09,2.0782657816909023e-09
1855,4.2455496895854594e-09,1.6451505047143655e-08
1856,2.0708756931497874e-09,1.346069167240671e-08
1857,8.78671624349181e-09,1.0251169246799918e-08
1858,4.893676130990343e-09,4.404308362460085e-09
1859,3.5645213447565993e-09,1.629495516297652e-08
