year,voudrait_VERB ôter_VERB
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,1.2359254952798437e-08
1805,0.0
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,6.7770917766551975e-09
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,9.440030979135372e-09
1815,2.697223555614414e-09
1816,9.270415546325239e-09
1817,2.490997452753163e-08
1818,2.5034472272977837e-08
1819,3.622867339458935e-08
1820,2.8479554714522237e-08
1821,2.9584463767662328e-09
1822,8.02049271442229e-09
1823,4.941343334508019e-09
1824,2.5263338088166165e-09
1825,9.68598712347557e-09
1826,8.807984341885344e-10
1827,1.3825909306319772e-08
1828,7.337841001486822e-09
1829,1.971830521085849e-08
1830,6.262101504006523e-09
1831,1.5591206103948707e-09
1832,2.705993873419743e-09
1833,1.1583628500844156e-09
1834,3.733812370398937e-09
1835,7.563087933704082e-10
1836,6.048674894287842e-09
1837,1.3915782304252389e-08
1838,8.2058102535143e-09
1839,1.5381244722334486e-08
1840,1.0191501864653674e-08
1841,4.494383976094696e-09
1842,7.379091560011375e-09
1843,4.7255288571079745e-09
1844,9.330554107123135e-09
1845,3.9061593959388574e-09
1846,5.269050973311096e-09
1847,1.0786447290911383e-09
1848,3.218088684420195e-09
1849,1.005529792763582e-08
1850,7.467895635215882e-09
1851,8.384270167027807e-09
1852,4.557382027314816e-09
1853,7.166318205520383e-09
1854,3.63696517347023e-09
1855,6.368324534378189e-09
1856,9.836659486950339e-09
1857,5.369659827891837e-09
1858,6.8511463169329545e-09
1859,1.1202780925145817e-08
1860,1.373155189554609e-08
1861,1.226150558863992e-08
1862,6.325180823552046e-09
1863,5.9935452156878455e-09
1864,2.3973640850272204e-09
1865,1.0355057256106193e-08
1866,1.9462451650298362e-09
1867,1.0190904120577216e-08
1868,5.9278488784286765e-09
1869,5.860222973552709e-09
1870,7.454262984651905e-09
1871,8.496941816815706e-09
1872,4.23313739617015e-09
1873,0.0
1874,7.766991494406739e-09
1875,2.2886108563824337e-09
1876,3.627608879952504e-09
1877,4.9478527941460015e-09
1878,6.039088673581716e-10
1879,7.94212251520321e-09
1880,3.8507077526617195e-09
1881,6.9725074602899895e-09
1882,0.0
1883,9.479008689083912e-09
1884,2.6406787867472303e-09
1885,1.0957580620640783e-08
1886,8.38950331427668e-09
1887,6.528924512139156e-09
1888,1.268122939990235e-09
1889,6.265136742733546e-10
1890,0.0
1891,1.2748440081367107e-09
1892,1.8805537127519756e-09
1893,1.847525021858587e-09
1894,1.2603078580752936e-09
1895,3.0093072478365457e-09
1896,0.0
1897,0.0
1898,1.640922953072277e-08
1899,2.7637891975018647e-09
1900,1.038210628578895e-09
1901,2.794369402536745e-09
1902,4.910283846193408e-10
1903,3.2401321625741275e-09
1904,1.6123875568041512e-09
1905,5.160759042333041e-10
1906,2.572092316910357e-09
1907,1.028568674676933e-09
1908,0.0
1909,5.500983557560346e-10
1910,5.344150677544235e-10
1911,1.5961122423746588e-09
1912,5.209421227725386e-10
1913,5.30298971401777e-10
1914,0.0
1915,0.0
1916,0.0
1917,1.0966424435210342e-09
1918,0.0
1919,8.287063479883727e-09
1920,7.572231730534895e-10
1921,7.572747429129834e-10
1922,3.6889677978990676e-09
1923,0.0
1924,0.0
1925,0.0
1926,5.57306911730393e-09
1927,4.4596899506643695e-09
1928,2.2852082448565625e-09
1929,2.2280812750352652e-09
1930,1.0503603542488804e-09
