year,soit_VERB au_ADP,soit_VERB beau_ADV
1800,3.1347320104124776e-06,0.0
1801,2.5478652787569445e-06,0.0
1802,2.7928245174280164e-06,2.2378401354217203e-09
1803,3.032777378564333e-06,3.900678446910888e-09
1804,3.0304892404409145e-06,0.0
1805,2.9338498526154666e-06,0.0
1806,2.9652376269950764e-06,0.0
1807,3.254069753211297e-06,0.0
1808,2.6943619784169925e-06,0.0
1809,3.0745405459331465e-06,4.518061036407062e-09
1810,3.0023825181579866e-06,0.0
1811,3.028548626105021e-06,0.0
1812,2.77656375047286e-06,0.0
1813,3.315730121133953e-06,0.0
1814,2.6935556434182217e-06,3.1466771410748606e-09
1815,2.503023448063857e-06,2.697223555614414e-09
1816,2.6281627469870728e-06,0.0
1817,3.0359032292537336e-06,1.556873407970727e-09
1818,2.722796800247451e-06,5.960588467246453e-09
1819,2.804099367481605e-06,0.0
1820,3.0413791911598764e-06,0.0
1821,3.1073549018323376e-06,0.0
1822,3.0377616297982968e-06,1.0025615893027862e-09
1823,2.7108210141069122e-06,0.0
1824,2.8867574606294966e-06,8.421112696055388e-10
1825,2.831830374638855e-06,1.7610886082763955e-09
1826,2.5657658118127813e-06,0.0
1827,2.9937702947790967e-06,0.0
1828,2.7837934668539788e-06,9.172301251858528e-10
1829,2.7374151365666677e-06,0.0
1830,2.9097898661678556e-06,0.0
1831,2.8812549248691255e-06,0.0
1832,2.8453526224048176e-06,0.0
1833,2.847255989202324e-06,1.1583628500844156e-09
1834,3.009452880231578e-06,0.0
1835,3.075907898164587e-06,2.2689263801112247e-09
1836,3.242089735788767e-06,4.704525213838906e-09
1837,3.0566014013189147e-06,0.0
1838,2.8808706784566596e-06,6.312161904276081e-10
1839,2.9168434556581246e-06,0.0
1840,2.8536205407547754e-06,7.0066574764382494e-09
1841,2.98362894479709e-06,0.0
1842,3.064335408531349e-06,6.708265054555795e-10
1843,3.2824705851197677e-06,0.0
1844,3.1608625183920935e-06,0.0
1845,2.962542997142492e-06,0.0
1846,3.334724026249347e-06,0.0
1847,3.143710097575081e-06,0.0
1848,3.024198783840859e-06,0.0
1849,3.0903281391658766e-06,0.0
1850,2.9966629009337e-06,0.0
1851,3.1647395886125196e-06,6.449438760824933e-10
1852,2.8945885808262517e-06,0.0
1853,3.0122424892198296e-06,1.1943863675867306e-09
1854,3.20780332963011e-06,0.0
1855,3.28074845157289e-06,5.306937111981824e-10
1856,3.0623075062408134e-06,0.0
1857,3.0836494016028837e-06,0.0
1858,3.1804001139335014e-06,4.893676019968041e-10
1859,3.208578400304418e-06,0.0
1860,3.0232299805810214e-06,0.0
1861,3.3525786129473545e-06,1.4147891747029462e-09
1862,3.690743001882879e-06,0.0
1863,3.1770782200624126e-06,0.0
1864,2.9746493295235155e-06,4.794727948009836e-10
1865,3.186062912163834e-06,1.4120533631256649e-09
1866,3.3261330738554307e-06,9.731225825149181e-10
1867,3.3683364932812765e-06,0.0
1868,3.0454323018958007e-06,1.4819622196071691e-09
1869,3.1098249042571524e-06,4.883519144627257e-10
1870,3.027577800907011e-06,1.1468097582678638e-09
1871,3.46462795519642e-06,1.0621177271019633e-09
1872,3.2843100843393813e-06,0.0
1873,3.22166770416743e-06,5.986004469882289e-10
1874,3.099029695974309e-06,4.182226565063729e-09
1875,3.370551530323951e-06,0.0
1876,3.3851636267456797e-06,0.0
1877,3.29032208057356e-06,0.0
1878,3.056382752220088e-06,0.0
1879,3.4126691765834494e-06,0.0
1880,3.2808029359898683e-06,0.0
1881,3.368418347804436e-06,0.0
1882,3.5692830238076567e-06,6.655385131892899e-10
1883,3.206432555913352e-06,0.0
1884,3.3536621586449655e-06,6.601696966868076e-10
1885,3.3923381401734787e-06,6.445635691854079e-10
1886,3.3558011764966977e-06,1.2906927748801422e-09
1887,3.3232226854806868e-06,1.3057849246322917e-09
1888,3.3953992755186846e-06,0.0
1889,3.4163791227115325e-06,0.0
1890,3.4653042391141753e-06,0.0
1891,3.518569478444533e-06,0.0
1892,3.483412328364466e-06,0.0
1893,3.6186855894015935e-06,0.0
1894,3.6114121257924126e-06,6.301539290376468e-10
1895,3.446860631584059e-06,6.018614495673091e-10
1896,3.6007259396342306e-06,0.0
1897,3.584594210792602e-06,1.7480140668268973e-09
1898,3.7198025069073992e-06,1.6975064687230201e-09
1899,3.7349847730183683e-06,1.6582735185011188e-09
1900,3.444782976202987e-06,1.5573159428683425e-09
1901,3.7014217610931155e-06,0.0
