year,est_VERB au_ADP,est_VERB beau_ADV
1800,4.08081104978919e-05,1.9305171008454636e-06
1801,3.792747520492412e-05,2.076391183436499e-06
1802,4.0422106394544244e-05,1.4590717682949617e-06
1803,3.9829828892834485e-05,1.6168312413356034e-06
1804,3.906018901034258e-05,1.9873682504112367e-06
1805,4.106821143068373e-05,1.91041385733115e-06
1806,3.417371408431791e-05,1.5820363614693633e-06
1807,3.8431047869380563e-05,1.6028357094910461e-06
1808,4.890414129476994e-05,1.980548631763668e-06
1809,3.3169344533234835e-05,1.9021036905542132e-06
1810,3.2211843063123524e-05,1.95868619812245e-06
1811,3.727020157384686e-05,1.4892035551383742e-06
1812,2.952599425043445e-05,1.4029515114089008e-06
1813,3.4169563150499016e-05,1.4436222954827826e-06
1814,3.208981433999725e-05,1.6236854207818396e-06
1815,2.6087545847985893e-05,1.1409255193939316e-06
1816,2.9621294743265025e-05,1.1866131899296306e-06
1817,3.1356987165054306e-05,1.2968755527253961e-06
1818,2.7731042791856453e-05,1.9002357021236094e-06
1819,2.8443650080589578e-05,1.457427856621507e-06
1820,2.8998119887546636e-05,1.5058564031278365e-06
1821,2.9741262551397085e-05,2.0403419966896763e-06
1822,2.9567547244369052e-05,1.3935606375525822e-06
1823,2.6730691388365813e-05,1.4221186575014144e-06
1824,2.6309240638511255e-05,1.3473779745254433e-06
1825,2.8165090043330565e-05,1.4211984762368957e-06
1826,2.6703166440711357e-05,1.1494419140944956e-06
1827,2.738636248977855e-05,1.2461753158277133e-06
1828,2.7096812118543312e-05,1.1502065717650112e-06
1829,2.669429886736907e-05,1.4608691571993404e-06
1830,2.7450965717434883e-05,1.3599196790892165e-06
1831,2.617763493617531e-05,1.5980986063368618e-06
1832,3.066432327614166e-05,1.6249492773567908e-06
1833,2.9118924430804327e-05,1.7502862874607672e-06
1834,2.8295764423091896e-05,1.5000591702118982e-06
1835,2.9092174372635782e-05,1.4006839137437055e-06
1836,2.743410186667461e-05,1.4489937711914536e-06
1837,2.7213702196604572e-05,1.398536028318631e-06
1838,2.5998531782533973e-05,1.2517017466961988e-06
1839,2.483511889295187e-05,1.178063598672452e-06
1840,2.5396586352144368e-05,1.2994164535484742e-06
1841,2.569118259998504e-05,1.3682189319297322e-06
1842,2.4905104510253295e-05,1.3980023823023657e-06
1843,2.583033165137749e-05,1.564740728099423e-06
