year,est_VERB anal_ADJ,est_VERB banal_ADJ
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,8.951360541686881e-09,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,6.798221985349073e-09
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,1.1502966579257645e-08
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,1.035105001712111e-09
1820,0.0,1.0679833017945839e-08
1821,0.0,3.94459531705138e-09
1822,0.0,0.0
1823,9.882686891060644e-10,0.0
1824,0.0,8.421112696055388e-10
1825,0.0,7.044354433105582e-09
1826,8.807984341885344e-10,8.807984341885344e-10
1827,0.0,1.013900075008678e-08
1828,9.172301251858528e-10,0.0
1829,0.0,2.571952872898464e-09
1830,1.0436835840010872e-09,3.1310507520032616e-09
1831,0.0,2.6505050598757407e-08
1832,0.0,2.705993873419743e-09
1833,0.0,5.791814139399776e-09
1834,9.334530925997342e-10,1.6802156110884425e-08
1835,0.0,8.31939672707449e-09
1836,0.0,6.720750067579218e-10
1837,0.0,2.0873671680021744e-09
1838,0.0,1.1361890983607736e-08
1839,6.9914751765765e-10,6.9914749545318955e-09
1840,0.0,2.165694112932215e-08
1841,1.2841097074556274e-09,1.2841097074556274e-08
1842,0.0,1.0062397137744483e-08
1843,5.906911071384968e-10,1.063243981747064e-08
1844,5.488561272137815e-10,5.488561161115513e-09
1845,0.0,5.580227835366713e-09
1846,5.854501328173001e-10,1.5807152919933287e-08
1847,5.393223645455691e-10,1.1325769655456952e-08
1848,1.6090443422100975e-09,6.43617736884039e-09
1849,0.0,8.379414495607307e-09
1850,0.0,1.0183494048021657e-08
1851,6.449438760824933e-10,1.1608989325395669e-08
1852,6.510545436100301e-10,1.4323200403509873e-08
1853,5.971931837933653e-10,1.6124216628554677e-08
1854,0.0,2.0263090760863633e-08
1855,1.5920811335945473e-09,1.6982198758341838e-08
1856,0.0,1.1389816201301528e-08
1857,1.4644527812635033e-09,3.221796163188628e-08
1858,4.893676019968041e-10,2.936205589776364e-08
1859,0.0,7.943790336639722e-08
1860,0.0,3.066713105681629e-08
1861,0.0,3.0182167876091626e-08
1862,2.2589932147099034e-09,1.8523744316212287e-08
1863,0.0,2.5472566278494924e-08
1864,0.0,3.835782536043553e-08
1865,0.0,4.23615986733239e-08
1866,5.352174259343201e-09,2.1895258939252926e-08
1867,9.7056229719783e-10,3.202855580752839e-08
1868,9.87974813071446e-10,5.8290513749170714e-08
1869,1.4650557433881772e-09,4.785848872757015e-08
1870,5.734048791339319e-10,3.7844721134661086e-08
1871,2.1242354542039266e-09,3.9298356568906456e-08
1872,0.0,4.7169248063028135e-08
1873,0.0,2.8732820567256567e-08
1874,1.1949218281515073e-09,3.644511537004291e-08
1875,0.0,4.1194994082616176e-08
1876,6.04601479992084e-10,4.232210315535667e-08
1877,6.184815992682502e-10,1.9791411176584006e-08
1878,4.831270938865373e-09,5.435179772916854e-08
1879,0.0,5.6205792020591616e-08
1880,0.0,7.701415682959123e-08
1881,6.972507571312292e-10,5.2293806618308736e-08
1882,0.0,7.91990828474809e-08
1883,1.2638677882037541e-09,6.761692361578753e-08
1884,6.601696966868076e-10,7.922036360241691e-08
1885,1.2891271383708158e-09,8.766064496512627e-08
1886,6.453463874400711e-10,8.26043375923291e-08
1887,6.528924623161458e-10,9.075205298358924e-08
1888,3.1703073499755874e-09,7.798956147553326e-08
1889,0.0,9.460356409363158e-08
1890,0.0,1.0683650231158026e-07
1891,1.9122659011827636e-09,1.3322119229997043e-07
1892,2.5074049503359674e-09,1.4480264098892803e-07
1893,0.0,1.1269901989408027e-07
1894,0.0,1.0964678409663975e-07
1895,1.2037228991346183e-09,1.287983479869581e-07
1896,5.89702897624278e-10,1.3504195806035568e-07
1897,5.826713556089658e-10,1.468331873866191e-07
1898,1.13167097914868e-09,1.3919553509822435e-07
1899,0.0,1.6693286397639895e-07
1900,0.0,1.251043784122885e-07
1901,2.235495566438317e-09,1.4586608187983074e-07
1902,3.437198747846537e-09,1.3454177860694472e-07
1903,2.1600881083827517e-09,1.425658098241911e-07
1904,5.374625189347171e-10,1.5425173671701486e-07
1905,1.0321518084666081e-09,1.6978897576791496e-07
1906,5.144184522798412e-10,1.548399524153865e-07
1907,5.142843373384665e-10,1.594281400230102e-07
1908,3.437972351250096e-09,1.8712393057285226e-07
1909,1.6502950117569526e-09,2.0298629976878146e-07
1910,1.068830135508847e-09,2.062842128225384e-07
1911,1.0640748282497725e-09,1.7823253983806353e-07
1912,0.0,1.693061904006754e-07
1913,0.0,1.543170071727218e-07
