year,avait_VERB eu_VERB,avait_VERB bu_VERB
1800,1.2391152267809957e-05,1.4463157071986643e-07
1801,1.138919651566539e-05,1.3096504858367553e-07
1802,7.617607934662374e-06,6.265952379180817e-08
1803,1.0118359568878077e-05,1.2092102963379148e-07
1804,1.3528439922083635e-05,2.175228814849106e-07
1805,1.1561983228602912e-05,5.685755510853596e-08
1806,1.0907117939495947e-05,1.152667650217154e-07
1807,1.8698801795835607e-05,1.9643989901396708e-07
1808,1.3834382116328925e-05,1.5182695278781466e-07
1809,1.7141523130703717e-05,1.784634093837667e-07
1810,1.453920776839368e-05,1.5210824244604737e-07
1811,2.3466238417313434e-05,2.1811567307850055e-07
1812,2.3106025764718652e-05,2.5605197606637375e-07
1813,2.3678856450715102e-05,3.2208305356107303e-07
1814,1.9320597857586108e-05,2.3285410577500443e-07
1815,1.9770648577832617e-05,2.4814457333377504e-07
1816,1.8334563719690777e-05,1.2051540920765547e-07
1817,2.0687733922386542e-05,2.0239353659690096e-07
1818,2.3510945538873784e-05,2.1458119192629965e-07
1819,2.3209124265122227e-05,1.8942421320389258e-07
1820,2.4361885152757168e-05,2.195298947071933e-07
1821,2.5530407583573833e-05,2.1793889004584344e-07
1822,2.5793904569582082e-05,2.977607778120728e-07
1823,2.578294152044691e-05,2.3817275973669894e-07
1824,2.5482286218903027e-05,1.625274705929769e-07
1825,2.6175059247179888e-05,2.9498232834157534e-07
1826,2.7164704079041258e-05,2.334115833946271e-07
1827,2.9689757866435684e-05,1.963279174788113e-07
1828,2.8421292881830595e-05,2.604933513339347e-07
1829,3.514916534186341e-05,2.7519894274519174e-07
1830,3.099426976405084e-05,2.817945699007396e-07
1831,2.8018956072628498e-05,4.2719904058685643e-07
1832,2.9910703233326785e-05,4.830199031857774e-07
1833,2.7746265914174728e-05,3.7530955410147726e-07
1834,2.833496910170652e-05,4.312553301133448e-07
1835,2.9176881071180105e-05,4.386591001548368e-07
1836,2.799259527819231e-05,3.48806935335233e-07
1837,2.9207138140918687e-05,4.5435027118401194e-07
1838,3.0011173294042237e-05,3.7241755990180536e-07
1839,2.968230728583876e-05,4.453569601992058e-07
1840,3.34848155034706e-05,4.063861354097753e-07
1841,2.7531312298378907e-05,4.4173373225930845e-07
1842,3.311266846139915e-05,3.407798772059323e-07
1843,2.855932507372927e-05,3.172011133756314e-07
1844,3.128260505036451e-05,2.7223262577535934e-07
1845,3.197637852281332e-05,3.48206214084712e-07
1846,3.0318120479932986e-05,3.1965578273229767e-07
1847,3.148024552501738e-05,2.9554865932368557e-07
1848,2.7911288270843215e-05,3.0571843012694444e-07
1849,3.179652776452713e-05,3.167418753946549e-07
1850,2.8255801225895993e-05,2.8649563432736613e-07
1851,2.934817166533321e-05,3.7471238556463504e-07
1852,2.822972419380676e-05,3.756584590064449e-07
1853,2.901283914980013e-05,3.374141499534744e-07
1854,2.812153434206266e-05,2.525092952510022e-07
1855,3.123928399872966e-05,3.985509806625487e-07
1856,2.9078200896037742e-05,3.142553737234266e-07
1857,2.884093191823922e-05,3.192506881077861e-07
1858,2.979318924190011e-05,3.2934440241660923e-07
1859,3.131839548586868e-05,3.839498674551578e-07
