year,était_VERB banal_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,1.5862518409903714e-08
1809,0.0
1810,9.360507036149102e-09
1811,2.5070767684098882e-09
1812,1.0668832928217853e-08
1813,8.627225156487839e-09
1814,6.293354282149721e-09
1815,8.091670444798638e-09
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,1.1866481131050932e-09
1821,9.86148829262845e-10
1822,2.0051231786055723e-09
1823,0.0
1824,0.0
1825,7.924898959288385e-09
1826,0.0
1827,1.013900075008678e-08
1828,1.8344602503717056e-09
1829,6.001223074036943e-09
1830,2.0873671680021744e-09
1831,0.0
1832,0.0
1833,4.6334514003376626e-09
1834,6.534171426153534e-09
1835,6.050470346963266e-09
1836,4.032449929525228e-09
1837,6.957891152126194e-09
1838,0.0
1839,3.4957374772659477e-09
1840,1.9109065441114126e-09
1841,1.926164561183441e-09
1842,3.3541325272778977e-09
1843,1.1813822142769936e-09
1844,1.097712254427563e-09
1845,0.0
1846,5.854501328173001e-10
1847,5.393223645455691e-10
1848,0.0
1849,1.6758829879393033e-09
1850,2.7155984128057753e-09
1851,3.8696632564949596e-09
1852,7.161600201754936e-09
1853,0.0
1854,8.832629738719788e-09
1855,2.1227748447927297e-09
1856,1.5531567143511893e-09
1857,9.763018171682347e-10
1858,2.6915218498402282e-08
1859,1.018434669930457e-09
1860,3.204028820036342e-09
1861,0.0
1862,4.066187830886747e-09
1863,1.1487627737949424e-08
1864,5.753673537611803e-09
1865,4.706844358715045e-10
1866,4.865612801552288e-09
1867,9.7056229719783e-09
1868,4.44588676984381e-09
1869,1.4650557433881772e-09
1870,4.587239033071455e-09
1871,4.248470908407853e-09
1872,7.861540751719076e-09
1873,1.2570609442263958e-08
1874,1.7923826867161097e-09
1875,1.2587359599081083e-08
1876,1.3905833817773328e-08
1877,1.8554447978047506e-09
1878,1.2078177569208037e-08
1879,1.221865097988939e-08
1880,8.343199908722454e-09
1881,2.7890030285249168e-09
1882,5.324308105514319e-09
1883,3.159669414998234e-09
1884,1.386356363042296e-08
1885,7.7347630522695e-09
1886,6.4534639854230136e-09
1887,1.3057849024278312e-08
1888,7.60873763994141e-09
1889,8.771191772893872e-09
1890,1.3764211992395303e-08
1891,1.466070642663908e-08
1892,1.0656471260972467e-08
1893,7.390100087434348e-09
1894,7.561847148451761e-09
1895,9.629783193076946e-09
1896,1.9460195233023114e-08
1897,1.7480140002135158e-08
1898,1.5277558773618694e-08
1899,1.1055156790007459e-08
1900,1.972600216504361e-08
1901,1.7325090695408107e-08
1902,1.276673788908056e-08
1903,1.0260418292773466e-08
1904,3.3860139581065596e-08
1905,1.3934049469810361e-08
1906,3.2922780945909835e-08
1907,1.0285686968813934e-08
1908,9.331639461152008e-09
1909,1.5402754627302784e-08
1910,9.619471441624228e-09
1911,1.9153347352585115e-08
1912,1.719108944087111e-08
