year,seront_VERB aux_ADP,seront_VERB beaux_ADJ
1800,2.3581234387393124e-07,2.2009151834367913e-08
1801,1.142967676059925e-07,1.1905912700171939e-08
1802,1.0741632650024258e-07,3.5805442166747525e-08
1803,1.170203516309698e-07,3.900678446910888e-09
1804,1.97748079244775e-07,2.7190360185613827e-08
1805,2.5301611117356515e-07,3.1271653710973624e-08
1806,3.832619892563116e-07,1.729001475325731e-08
1807,2.448381430930624e-07,2.8469551160981155e-09
1808,2.991217762371434e-07,9.064295980465431e-09
1809,3.185232952951367e-07,2.710836710662079e-08
1810,1.3338721949196497e-07,7.020380277111826e-09
1811,2.6575014544505393e-07,5.0141537144554604e-08
1812,2.213782899218586e-07,1.3336041604361526e-08
1813,2.5881673559879914e-07,0.0
1814,1.32160433263806e-07,0.0
1815,1.1867783911156948e-07,0.0
1816,2.688420579488593e-07,2.3176038865813098e-09
1817,2.164054064834886e-07,0.0
1818,1.871624846216946e-07,2.5034472272977837e-08
1819,1.500902300222151e-07,7.24573512300708e-09
1820,1.2578470620638882e-07,4.9839222526770754e-08
1821,1.6370070765603373e-07,2.070912508145284e-08
1822,1.4637399203820678e-07,1.7043547018147365e-08
1823,9.388552690836605e-08,1.8777104315859106e-08
1824,1.9368558845656025e-07,2.189489300974401e-08
1825,1.0742640621508315e-07,2.8177417732422327e-08
1826,2.6423953158882796e-07,1.0569580766173203e-08
1827,1.926410089225783e-07,2.027800150017356e-08
1828,1.715220367959347e-07,4.586150570418113e-09
1829,1.5174521905692018e-07,7.715858174606183e-09
1830,1.6072726793936454e-07,1.878630406793036e-08
1831,1.2784789360509308e-07,1.2472964883158966e-08
1832,1.1094574858816486e-07,1.7588959622116818e-08
1833,1.5406225806202656e-07,2.0850531967653296e-08
1834,2.0629313812747796e-07,5.600718555598405e-09
1835,1.686568680270284e-07,4.5378527602224494e-09
1836,1.4180783125539165e-07,1.6129799718100912e-08
1837,1.5237780903731846e-07,6.957891152126194e-09
1838,1.4707336992714204e-07,7.574594285131298e-09
1839,1.8457494754819948e-07,2.7965900706306e-09
1840,1.8535793611107465e-07,8.280594876453051e-09
1841,1.4510439072523695e-07,8.988767952189392e-09
1842,1.3282364363931265e-07,7.379091560011375e-09
1843,1.3054273584334197e-07,6.497602011990011e-09
1844,1.4819114824149437e-07,2.030767731753258e-08
1845,1.3894768091660126e-07,1.1718478631905782e-08
1846,1.0245377368711672e-07,1.2294452567118697e-08
1847,1.6611129449728423e-07,9.707802561820245e-09
1848,1.7377678407370922e-07,2.252662056889676e-08
