year,fut_VERB au_ADP,fut_VERB beau_ADJ
1800,3.7226907352305716e-06,2.5153315874604232e-08
1801,3.838466454908485e-06,1.6668277424969347e-08
1802,2.9852787974959938e-06,2.9091921760482364e-08
1803,2.640759248606628e-06,2.145373123596528e-08
1804,2.857459776350879e-06,2.4718509461507665e-09
1805,3.3147953217849135e-06,5.685755422035754e-09
1806,3.086267724938807e-06,1.729001475325731e-08
1807,2.886812580982223e-06,2.2775640928784924e-08
1808,3.4512306683609495e-06,3.6257183921861724e-08
1809,3.0406549740291666e-06,4.743964154840796e-08
1810,3.566353143469314e-06,3.510190182964834e-08
1811,3.863405254378449e-06,5.0141535368197765e-09
1812,3.099296009168029e-06,1.600324850414836e-08
1813,3.511280510792858e-06,5.751483289628823e-09
1814,4.625615474651568e-06,3.4613449884091096e-08
1815,3.843543709081132e-06,1.8880564667256294e-08
1816,3.1287652291212e-06,2.3176038865813098e-09
1817,3.615059995354386e-06,3.113746815941454e-09
1818,3.953062332584523e-06,1.1921176934492905e-08
1819,3.984119302913314e-06,6.210630232317271e-09
1820,4.333639026299352e-06,2.3732962262101864e-09
1821,3.5067453154624673e-06,7.88919063410276e-09
1822,4.224794338369975e-06,8.02049271442229e-09
1823,4.7901385187287815e-06,1.4824030003524058e-08
1824,4.8724559746915475e-06,1.0105335235266466e-08
1825,5.518371381185716e-06,2.3774695989686734e-08
1826,4.314150828577112e-06,1.8496766784892316e-08
1827,4.657488261727849e-06,1.013900075008678e-08
1828,3.5854525322065456e-06,1.6510142586412258e-08
1829,4.513777184911305e-06,1.3717081692732336e-08
1830,3.965997620980488e-06,1.878630406793036e-08
1831,3.8026951187930536e-06,1.5591206548037917e-08
1832,3.961575202993117e-06,6.764984572527055e-09
1833,3.79595508093189e-06,2.20088942626262e-08
1834,4.0633212847751565e-06,1.9602515166639023e-08
1835,4.2784390643646475e-06,2.647080776796429e-08
1836,4.40746771346312e-06,9.409050427677812e-09
1837,4.391820766613819e-06,1.7394727436226276e-08
1838,5.078134108771337e-06,6.312161904276081e-09
1839,4.0256913962366525e-06,5.5931801412612e-09
1840,3.983603164670058e-06,8.280594876453051e-09
1841,3.5672567264555255e-06,1.2841097074556274e-08
1842,3.9263477447093464e-06,1.1404051036834062e-08
1843,3.974169885623269e-06,2.953455480181333e-09
1844,3.892487711709691e-06,1.0428266250528395e-08
1845,3.6037113204656634e-06,1.2834524554250493e-08
1846,3.5753439533436904e-06,1.1709002656346001e-08
1847,3.6091453239350813e-06,1.6718992412734224e-08
1848,3.6573578654497396e-06,2.011305433313737e-08
1849,3.078597046624054e-06,1.6758828991214614e-08
1850,3.2709383503970457e-06,5.431196825611551e-09
1851,3.480762188701192e-06,7.094382858952031e-09
1852,3.1836566449783277e-06,1.3672145193766028e-08
1853,3.7384293136710767e-06,1.2541057081705276e-08
1854,4.004298716608901e-06,2.0782657372819813e-08
1855,3.5322973417351022e-06,2.0166361025530932e-08
1856,3.337733915032004e-06,1.5531567143511893e-08
1857,3.8344255699485075e-06,1.8061584228235006e-08
1858,3.8102161852293648e-06,1.9574704523961373e-08
1859,3.701500872921315e-06,2.5460867192350634e-08
1860,3.3797925880207913e-06,2.288591982591015e-09
1861,3.1474341994908173e-06,2.263662679524714e-08
1862,3.61890693056921e-06,1.0391368654438793e-08
1863,3.5042260151385562e-06,9.489779628779615e-09
1864,3.1645204217056744e-06,7.671564716815737e-09
1865,3.2853772609087173e-06,1.7886009118228685e-08
1866,3.559195874913712e-06,1.3137154475373336e-08
1867,3.0635799248557305e-06,1.1161466417775046e-08
