year,serait_VERB au_ADP,serait_VERB beau_ADV
1800,1.103601789509412e-06,6.60274537267469e-08
1801,5.667214395543851e-07,2.1430643926123594e-08
1802,5.124653625898645e-07,2.6854081625060644e-08
1803,6.221582111720636e-07,2.3404069793286908e-08
1804,1.050536639013444e-06,3.9549615138412264e-08
1805,6.879764100631292e-07,2.842877755426798e-08
1806,6.195588753143966e-07,1.152667650217154e-08
1807,8.683213081894792e-07,1.1387820464392462e-08
1808,6.412989250748069e-07,2.945896149242344e-08
1809,7.070765377648058e-07,3.388545621874073e-08
1810,7.441603315783141e-07,7.722418615685456e-08
1811,9.426608471585496e-07,3.008491944456182e-08
1812,1.4456268218054902e-06,2.6672083208723052e-08
1813,1.08415463273559e-06,3.4508900625951355e-08
1814,1.4474715044343611e-06,2.2026739543434815e-08
1815,1.0033671742348815e-06,4.8550024445148665e-08
1816,1.0962265832858975e-06,4.8669683394564345e-08
1817,1.0322070238544256e-06,5.293369653713853e-08
1818,9.978025445889216e-07,6.437435473571895e-08
1819,1.1013516996172257e-06,3.9333990287104825e-08
1820,1.2744600326186628e-06,9.967844505354151e-08
1821,1.1547803069333895e-06,4.141825016290568e-08
1822,1.0366486549173715e-06,3.8097340393505874e-08
1823,9.704798458187724e-07,4.5460360809101985e-08
1824,1.0997973731718957e-06,4.884245186076441e-08
1825,1.1262161478953203e-06,4.138558296062911e-08
1826,1.0296533901055227e-06,2.8185549894033102e-08
1827,1.4111644759395858e-06,6.544264152807955e-08
1828,1.308887362938549e-06,5.228211819030548e-08
1829,1.6006119949452113e-06,7.458663020543099e-08
1830,1.4830743566562887e-06,3.444155893816969e-08
1831,1.5388520751002943e-06,6.704218691311326e-08
1832,1.6330673133779783e-06,1.0959275442701255e-07
1833,1.310108359575679e-06,7.52935847003755e-08
1834,1.5149943237702246e-06,1.297499778729616e-07
1835,1.3749694289799663e-06,8.168134968400409e-08
1836,1.2829912066081306e-06,5.5782226837663984e-08
1837,1.3066919564153068e-06,7.72325918774186e-08
1838,1.2605387382791378e-06,4.670999942391063e-08
1839,1.2983169881408685e-06,5.033862038317238e-08
1840,1.5166228877205867e-06,8.089504888175725e-08
1841,1.4343505654323963e-06,6.099521243640993e-08
1842,1.381902620778419e-06,5.9032732480091e-08
1843,1.379263721901225e-06,9.805472700463724e-08
1844,1.4736787079527858e-06,7.190015338665035e-08
1845,1.4374667216543457e-06,7.365900955846882e-08
1846,1.3962985576654319e-06,7.083946940156238e-08
1847,1.4691140677314252e-06,4.638172157456211e-08
1848,1.4159589909468195e-06,6.033916122305527e-08
1849,1.340706376140588e-06,6.703531596485846e-08
1850,1.3204597735239076e-06,9.640374543096186e-08
1851,1.4117821365289274e-06,7.997304152240758e-08
1852,1.1816639471362578e-06,4.6224872818356744e-08
1853,1.1352642559359083e-06,4.41922942684414e-08
1854,1.2329311402936582e-06,5.403490987987425e-08
1855,1.1728330946425558e-06,3.980202833986368e-08
1856,1.1560663324416964e-06,7.506924504241397e-08
1857,1.138856077886885e-06,8.689086428148585e-08
1858,1.1969931392741273e-06,5.5787907626836386e-08
1859,1.4365020888362778e-06,9.06406825151862e-08
1860,1.2642182127819979e-06,9.29168351149201e-08
1861,1.2162470284238225e-06,8.818852137437716e-08
1862,1.3111196039972128e-06,7.228778287071691e-08
1863,1.2546487369036186e-06,6.542953201460477e-08
1864,1.2672466027652263e-06,6.904408422769848e-08
1865,1.2666117754633888e-06,6.495444893062086e-08
1866,1.1789379641413689e-06,6.957826315101556e-08
1867,1.3078326901450055e-06,4.464586567110018e-08
1868,1.2690536550508114e-06,5.1374691167893616e-08
1869,1.3263637583804666e-06,7.08110263758499e-08
1870,1.3675706895810436e-06,5.3326655091723296e-08
1871,1.3616348724099225e-06,7.541035529357032e-08
1872,1.305015871366777e-06,4.051717183983783e-08
1873,1.1894190947714378e-06,3.052862140862089e-08
1874,1.1925319540750934e-06,7.52800772829687e-08
1875,1.4143614635031554e-06,7.83849216645649e-08
1876,1.0707492492656456e-06,4.413590914964516e-08
1877,1.3439605481835315e-06,6.432208721207644e-08
1878,1.156485495812376e-06,3.985798358030479e-08
1879,1.2976206562598236e-06,4.887460391955756e-08
1880,1.3387626722760615e-06,6.546203223933844e-08
1881,1.2438953262972063e-06,7.251407652120179e-08
1882,1.438894287275616e-06,6.788492612486152e-08
1883,1.1937231647607405e-06,5.1186646032874705e-08
1884,1.1163469935127068e-06,3.8289840631478e-08
1885,1.2510978422142216e-06,4.7053141827291256e-08
1886,1.171303665614687e-06,7.163345117078279e-08
1887,1.1249337603658205e-06,6.790081386043312e-08
1888,1.0893176067838795e-06,7.545331470737437e-08
1889,1.0857481811399339e-06,6.891650627949275e-08
1890,1.2761390735249734e-06,6.095579152542996e-08
1891,1.2066398085153196e-06,4.971891698346553e-08
1892,1.095735910894291e-06,5.5162907131034444e-08
1893,1.1627090543697705e-06,5.480990594719515e-08
1894,1.2073749076080276e-06,5.041231432301174e-08
1895,1.2428438367351191e-06,5.5973114143625935e-08
1896,1.1711499610100873e-06,5.6021775662884465e-08
1897,1.044147097672976e-06,5.185775009408644e-08
1898,1.1192225883860374e-06,4.6964345301603316e-08
1899,1.0607423064357135e-06,4.753717419703207e-08
1900,1.072990698958165e-06,6.384995288044593e-08
1901,1.1356316917954246e-06,6.42704947040329e-08
1902,9.95314508145384e-07,5.892340482205327e-08
1903,1.046562715600885e-06,5.2922157323109786e-08
1904,1.037840092976694e-06,4.460938995975994e-08
1905,1.080662968888646e-06,6.812202002492995e-08
1906,9.6350572675874e-07,5.401393821102829e-08
1907,1.01416867437365e-06,4.885701088142014e-08
1908,1.083943516277941e-06,8.889614377949329e-08
1909,1.0242831649520667e-06,7.481337860326676e-08
1910,1.0490567774468218e-06,1.3200052251249872e-07
1911,1.0449215324115357e-06,5.905615196866165e-08
1912,1.0731407655839575e-06,7.50156630147103e-08
1913,9.900682016450446e-07,8.962052788774599e-08
1914,9.254899850930087e-07,7.835190274363413e-08
1915,9.23611708003591e-07,5.419150639340842e-08
1916,1.0910549690379412e-06,9.888715624128963e-08
1917,1.0165875892198528e-06,8.444146715191891e-08
1918,1.01769296634302e-06,1.1026921242773824e-07
1919,9.962891454051714e-07,8.287063479883727e-08
1920,1.0532974101806758e-06,7.2693424613135e-08
1921,9.62496187639772e-07,1.0904756209129118e-07
1922,1.0188929309151717e-06,1.1730917748309366e-07
