year,pourrait_VERB ôter_VERB,pourrait_VERB oter_VERB
1800,4.087413785214267e-08,0.0
1801,2.8574191901498125e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,3.1205427575287104e-08,0.0
1804,2.7190360185613827e-08,0.0
1805,2.842877711017877e-09,0.0
1806,5.76333825108577e-09,0.0
1807,1.1387820464392462e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,2.710836710662079e-08,0.0
1810,1.1700633351097167e-08,0.0
1811,7.521229861140455e-09,0.0
1812,1.0668832928217853e-08,0.0
1813,1.7254450312975678e-08,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,0.0,0.0
1817,4.3592454090912724e-08,1.556873407970727e-09
1818,2.8610825708597076e-08,1.1921177378582115e-09
1819,2.173720581311045e-08,5.175524897538253e-09
1820,3.322614716694261e-08,0.0
1821,4.043210211079895e-08,0.0
1822,1.0025615893027862e-08,0.0
1823,1.8777104315859106e-08,0.0
1824,2.105278085196005e-08,8.421112696055388e-10
1825,2.905796137042671e-08,0.0
1826,4.4039921931471326e-08,0.0
1827,2.5808365222701468e-08,3.6869092223668076e-09
1828,1.1923991571904935e-08,0.0
1829,3.8579290873030914e-08,1.714635211591542e-09
1830,9.39315203396518e-09,0.0
1831,1.7150327380477393e-08,1.5591206103948707e-09
1832,2.1647950987357945e-08,0.0
1833,9.266902800675325e-09,0.0
1834,3.9205030333278046e-08,0.0
1835,3.2521278114927554e-08,7.563087933704082e-10
1836,2.083432448785061e-08,6.720750067579218e-10
1837,2.365682938432201e-08,6.957890930081589e-10
1838,2.5248647617104325e-08,0.0
1839,2.3771015378315496e-08,0.0
1840,2.93005673057678e-08,0.0
1841,1.926164472365599e-08,1.2841097074556274e-09
1842,3.018719141323345e-08,0.0
1843,1.1813821920725331e-08,0.0
1844,1.0977122322231025e-08,0.0
1845,3.1807299905040054e-08,0.0
1846,1.9905304071698993e-08,0.0
1847,2.9662729161827883e-08,0.0
1848,1.287235473768078e-08,0.0
1849,7.54147322368226e-09,8.379414939696517e-10
1850,1.3577992064028876e-08,6.788996032014438e-10
1851,7.094382858952031e-09,6.449438760824933e-10
1852,9.114764054629632e-09,0.0
1853,1.791579506971175e-08,0.0
1854,2.0782657372819813e-08,0.0
1855,1.0083180512765466e-08,0.0
1856,5.694908100650764e-09,0.0
1857,1.5620829074691756e-08,0.0
1858,1.565976326389773e-08,4.893676019968041e-10
1859,7.129042689513199e-09,0.0
1860,8.238931314963338e-09,0.0
1861,1.9807048445841247e-08,4.715963730639317e-10
1862,3.027050965442868e-08,0.0
1863,8.990317823531768e-09,9.989241656072068e-10
1864,1.0068928801842958e-08,1.4384183844029508e-09
1865,1.4120533187167439e-08,0.0
1866,1.4596838404656864e-08,0.0
1867,1.0190904120577216e-08,0.0
1868,8.397785578040384e-09,0.0
1869,1.8557372527538973e-08,0.0
1870,2.2936195165357276e-08,0.0
1871,1.274541272522356e-08,0.0
1872,1.3304146229131675e-08,0.0
1873,8.979006871356887e-09,0.0
1874,1.0754296120296658e-08,0.0
1875,1.1443054503956773e-08,1.1443054281912168e-09
1876,7.255217759905008e-09,6.04601479992084e-10
1877,1.793596560162314e-08,0.0
1878,3.623453181944569e-08,0.0
1879,1.1607718342077078e-08,0.0
1880,5.134277003548959e-09,0.0
1881,1.743126887276958e-08,1.3945015142624584e-09
1882,3.9932310791357395e-09,0.0
1883,1.2638677659992936e-08,0.0
1884,2.6406787867472303e-09,0.0
1885,7.7347630522695e-09,0.0
1886,6.4534639854230136e-09,0.0
1887,1.9586774424595887e-09,0.0
1888,6.974675947901687e-09,0.0
1889,3.132568426877924e-09,0.0
1890,9.176140736144589e-09,0.0
1891,4.461953917456185e-09,0.0
1892,5.014809900671935e-09,0.0
1893,4.926733243593162e-09,0.0
1894,8.822155450616265e-09,0.0
