year,grand_ADJ office_NOUN
1800,1.5720822865716855e-08
1801,4.762365191091078e-08
1802,4.923248297927785e-08
1803,2.5354410126965377e-08
1804,3.9549614250233844e-08
1805,3.4114531644036106e-08
1806,1.4408345627714425e-08
1807,1.4234775136401367e-08
1808,1.5862518409903714e-08
1809,8.810219309651757e-08
1810,2.106114038724627e-08
1811,3.259199621297171e-08
1812,5.067695596494559e-08
1813,1.4378708002027452e-08
1814,1.2272040805783035e-07
1815,1.1867783911156948e-07
1816,2.7811246638975717e-08
1817,1.3077736582545185e-07
1818,3.457141417584353e-08
1819,5.796588153916815e-08
1820,8.662530959213655e-08
1821,6.31135258499782e-08
1822,3.8097340393505874e-08
1823,4.051901536517022e-08
1824,5.4737232524360024e-08
1825,8.101007287208972e-08
1826,8.63182475496771e-08
1827,6.728609613926295e-08
1828,2.7516903700064432e-08
1829,8.315980565276604e-08
1830,4.0703659553997795e-08
1831,3.897801548191637e-08
1832,4.735489356200162e-08
1833,6.834340648964599e-08
1834,4.85395619254092e-08
1835,9.453859917130103e-08
1836,1.4651234891971399e-07
1837,8.627785108572539e-08
1838,7.51147237743055e-08
1839,1.2374910718371268e-07
1840,6.751869685572842e-08
1841,5.3290552415319326e-08
1842,5.2995293042812364e-08
1843,6.43853282356055e-08
1844,8.123070927013032e-08
1845,5.5802278353667134e-08
1846,6.557041376531458e-08
1847,1.024712474873013e-07
1848,1.6492705057213897e-07
1849,1.0055297794409057e-07
1850,1.5478911219446445e-07
1851,1.115752887859145e-07
1852,1.0547083451051265e-07
1853,3.702597606292102e-08
1854,5.091751309471704e-08
1855,4.7231740296638236e-08
1856,7.19629320578008e-08
1857,8.689086161695059e-08
1858,7.97669184038341e-08
1859,5.1940167722364095e-08
1860,7.094635376403424e-08
1861,5.9421143783211505e-08
1862,6.370360638996431e-08
1863,5.593975327400358e-08
1864,7.863353879145052e-08
1865,5.7894186333840025e-08
1866,4.0871148243581956e-08
1867,5.241036404868282e-08
1868,5.5820576605469796e-08
1869,6.592750834144567e-08
1870,4.759260452402714e-08
1871,4.248470819590011e-08
1872,4.293610778027812e-08
1873,4.788803442679068e-08
1874,2.8678122987457755e-08
1875,5.721526985524861e-08
1876,5.743714104333719e-08
1877,5.813727055326012e-08
1878,5.857915930107538e-08
1879,5.131833247240536e-08
1880,3.208923060604718e-08
1881,4.183504453969533e-08
1882,5.124646684784295e-08
1883,6.888079762124022e-08
1884,4.819238874631537e-08
1885,2.6427106336601724e-08
1886,4.8400980001694904e-08
1887,2.2851236569643163e-08
1888,3.3605257909741226e-08
1889,3.383173863280575e-08
1890,4.58807061232136e-08
1891,4.3344697608915794e-08
1892,6.080457137791484e-08
1893,3.5718816460139635e-08
1894,2.6466465463670374e-08
1895,4.213030058153322e-08
1896,3.538217491216855e-08
1897,2.3306854113336328e-08
1898,4.6964344413424897e-08
1899,5.140648084989152e-08
1900,3.218452937492344e-08
1901,2.067833393404328e-08
1902,3.289890104785087e-08
1903,6.156251020073e-08
1904,1.7736262236667244e-08
1905,3.1480629991698095e-08
1906,1.697580898074591e-08
1907,3.4457049380431926e-08
1908,2.8486056402599047e-08
1909,4.7858558005486884e-08
1910,3.099607304157814e-08
1911,4.522318064470454e-08
1912,5.001044500740903e-08
1913,3.606032855651975e-08
1914,4.687720611684654e-08
1915,2.5917676116371524e-08
1916,4.5048593966257044e-08
1917,4.386569862901979e-08
1918,3.445912977184662e-08
1919,3.49898232610002e-08
1920,2.8774480131943392e-08
1921,2.0446417337005585e-08
1922,2.2871599725249325e-08
1923,2.441668067731939e-08
1924,4.3831522300585846e-08
1925,5.8290342996869526e-08
1926,2.1177663178661987e-08
1927,3.6792440538668814e-08
1928,4.4561560996747573e-08
1929,5.235991040741794e-08
1930,3.046045071730674e-08
1931,4.33403561928003e-08
1932,3.507051815621054e-08
1933,1.9500125292282178e-08
1934,5.032263672433146e-08
1935,2.393656828303392e-08
1936,1.9399543305098632e-08
1937,2.5182236518261902e-08
1938,2.852347247284115e-08
1939,4.435274458813865e-08
1940,4.310830958864642e-08
1941,4.132103725851266e-08
1942,4.8547388331598995e-08
1943,4.064529335323641e-08
1944,3.534504600111177e-08
1945,1.742803190651898e-08
1946,4.1763313696208115e-08
1947,2.7418002757073623e-08
1948,2.174377655705939e-08
1949,4.123143504397575e-08
1950,5.53038810302553e-08
1951,2.7719644468682247e-08
1952,3.690681327217504e-08
1953,4.740484138565648e-08
1954,4.104465101129051e-08
1955,2.3464018727992197e-08
1956,2.2674968569447174e-08
1957,4.2408179801167734e-08
1958,3.0607300027796214e-08
1959,2.6352543258667538e-08
1960,2.076249983051781e-08
1961,2.848745372929784e-08
1962,3.107558682602374e-08
1963,3.2330266019897635e-08
1964,2.494427014942957e-08
1965,2.9001830825770014e-08
1966,2.3264114301646543e-08
1967,3.3033248025837736e-08
1968,3.5482183996515815e-08
1969,3.769659134844616e-08
1970,3.862928887876649e-08
1971,3.23719048234139e-08
1972,2.411169058857965e-08
1973,3.363054396077203e-08
1974,2.0814616030762068e-08
1975,3.255543568059238e-08
1976,1.25697592334717e-08
1977,1.4691954541845575e-08
1978,2.732672010896664e-08
1979,1.7555920828193905e-08
1980,3.1836844494037564e-08
1981,1.581387387705746e-08
1982,2.483000960395998e-08
1983,1.0104505454577861e-08
1984,1.565732332675651e-08
1985,2.2257564014083187e-08
1986,3.177077362304104e-08
1987,2.322110442820602e-08
1988,1.1993107673635706e-08
1989,9.878619922076837e-09
1990,2.0160008606939783e-08
1991,1.9928981076500207e-08
1992,3.140668147771919e-08
1993,1.7171542965321862e-08
1994,1.3187316072471589e-08
1995,1.8978577875916613e-08
1996,2.989331582270438e-08
1997,2.0138557155213732e-08
1998,1.9072516788121163e-08
1999,3.33624677328892e-08
2000,2.076474858725419e-08
2001,2.5849149432044527e-08
2002,2.628732981291293e-08
2003,1.4584230267900011e-08
