year,tout_DET os_NOUN
1800,9.432493897065797e-09
1801,5.476719877606229e-08
1802,1.7902721083373763e-08
1803,2.145373123596528e-08
1804,0.0
1805,2.842877755426798e-08
1806,0.0
1807,5.693910232196231e-09
1808,6.798221985349073e-09
1809,9.036122072814123e-09
1810,1.1700633795186377e-08
1811,1.0028307073639553e-08
1812,3.467370746079723e-08
1813,1.1502966579257645e-08
1814,3.1466771410748606e-09
1815,5.394447111228828e-09
1816,4.6352077731626196e-09
1817,2.6466848268569265e-08
1818,2.384235475716423e-09
1819,6.210630232317271e-09
1820,3.797273961936298e-08
1821,1.97229765852569e-09
1822,2.90742860897808e-08
1823,1.1859224713361982e-08
1824,4.210556348027694e-09
1825,5.283265824829186e-09
1826,2.642395191543301e-09
1827,7.373818444733615e-09
1828,4.586150570418113e-09
1829,1.457439946506156e-08
1830,1.878630406793036e-08
1831,1.870944732473845e-08
1832,2.841293511579579e-08
1833,1.5058717495186613e-08
1834,4.760610750054184e-08
1835,7.563087933704082e-09
1836,1.0753200274660202e-08
1837,2.922314168429807e-08
1838,1.1361890983607736e-08
1839,6.292327547896548e-09
1840,1.3376346252869098e-08
1841,3.338685417020315e-08
1842,6.037438549100216e-09
1843,2.1264878968807466e-08
1844,5.488561383160118e-09
1845,1.6740683339566687e-08
1846,1.7563503540429792e-08
1847,5.3932236454556914e-09
1848,1.6090443422100975e-09
1849,1.3407063903514427e-08
1850,1.0862393651223101e-08
1851,1.4188765495859457e-08
1852,1.6927418133860783e-08
1853,3.1651238074914545e-08
1854,5.7152309551611324e-09
1855,1.1144567935161831e-08
1856,5.1771892328744684e-09
1857,1.7085282077999864e-08
1858,1.4191660291373864e-08
1859,2.444243274446478e-08
1860,1.4646988594213539e-08
1861,1.6034276573151374e-08
1862,1.8975543136789952e-08
1863,6.99246927027275e-09
1864,7.192091699970149e-09
1865,1.0825742080555756e-08
1866,5.352174370365503e-09
1867,1.747012134956094e-08
1868,1.975949714960734e-08
1869,2.197583581775575e-08
1870,9.17447806614291e-09
1871,2.761506112669565e-08
1872,1.6327815544059376e-08
1873,7.781805866358127e-09
1874,2.270351479038979e-08
1875,4.005069165202713e-09
1876,1.209202959984168e-08
1877,1.4225076672147452e-08
1878,6.64299765196219e-09
1879,1.0385852955430153e-08
1880,1.2193908105473383e-08
1881,1.8825771164188154e-08
1882,2.7952617998039386e-08
1883,8.215140678835553e-09
1884,7.922036360241691e-09
1885,2.5782542323327107e-08
1886,1.613365974151293e-08
1887,5.223139754040318e-09
1888,3.1703073499755874e-09
1889,5.6386229019267375e-09
1890,1.1142457290169716e-08
