year,petit_ADJ office_NOUN,petit beau - fils
1800,5.030663263738688e-08,0.0
1801,2.3811825622388483e-08,0.0
1802,4.4756802708434407e-08,0.0
1803,2.3404071125554538e-08,0.0
1804,8.651478600185669e-08,0.0
1805,9.097208764075049e-08,0.0
1806,2.305335300434308e-08,0.0
1807,8.256170014320219e-08,0.0
1808,5.891792209666846e-08,0.0
1809,1.0843346442968027e-07,0.0
1810,6.78636764561702e-08,0.0
1811,4.512738183137799e-08,0.0
1812,1.0402112016194565e-07,0.0
1813,1.5241430517676235e-07,0.0
1814,8.496028236493203e-08,0.0
1815,1.1867783422658817e-07,0.0
1816,4.6352077731626196e-08,0.0
1817,2.0550728985213595e-07,0.0
1818,7.629553522292554e-08,0.0
1819,3.3123360498876764e-08,0.0
1820,3.0852850940732424e-08,0.0
1821,6.903041860351067e-08,0.0
1822,5.81485721795616e-08,0.0
1823,8.993245370625402e-08,0.0
1824,7.157945614011396e-08,0.0
1825,7.57268097117958e-08,0.0
1826,6.782147876638334e-08,0.0
1827,5.0695000419764824e-08,0.0
1828,6.328887752760082e-08,0.0
1829,5.7440277700937514e-08,0.0
1830,5.427154725623495e-08,0.0
1831,4.3655377757190195e-08,0.0
1832,6.49438514077616e-08,0.0
1833,1.1004447353357705e-07,0.0
1834,6.440826383347087e-08,0.0
1835,1.096647750387092e-07,0.0
1836,1.384474500043531e-07,0.0
1837,8.627785041959157e-08,0.0
1838,7.763959208872961e-08,0.0
1839,1.181559278196076e-07,0.0
1840,8.344292251605268e-08,0.0
1841,6.03531566945037e-08,0.0
1842,8.519496974557228e-08,0.0
1843,8.742228402303098e-08,0.0
1844,1.1910177943885714e-07,0.0
1845,9.207375883946156e-08,0.0
1846,1.1474822381174477e-07,0.0
1847,1.5316754886640638e-07,0.0
1848,1.786039159901165e-07,0.0
1849,1.2736710641725324e-07,0.0
1850,1.2627532708364697e-07,0.0
1851,1.1222023932333514e-07,0.0
1852,1.738315562604953e-07,0.0
1853,6.210809244677762e-08,0.0
1854,1.0755025359188153e-07,0.0
1855,1.5443187351138477e-07,0.0
1856,1.5945743037093507e-07,0.0
1857,1.3570595447376377e-07,0.0
1858,1.5659762953035283e-07,0.0
1859,1.6142189274148677e-07,0.0
1860,1.5562425481618902e-07,0.0
1861,1.5515521045728065e-07,0.0
1862,1.3508779295179352e-07,0.0
1863,1.2936068061186745e-07,5.482613252283386e-10
1864,1.47677623019149e-07,0.0
1865,1.3649848362717876e-07,0.0
1866,1.4304901996275987e-07,0.0
1867,9.268869760603593e-08,0.0
1868,1.3930445108556455e-07,0.0
1869,1.2892490852678407e-07,0.0
1870,6.708837041458082e-08,0.0
1871,7.116188771583154e-08,0.0
1872,6.047339440318211e-08,0.0
1873,9.338166984118601e-08,0.0
1874,5.9148632047811844e-08,0.0
1875,2.87792820685695e-07,6.286970388735824e-10
1876,3.80898934615459e-08,0.0
1877,1.014309810587477e-07,0.0
1878,6.884561121189847e-08,0.0
1879,8.430868947417736e-08,0.0
1880,1.2578978836330634e-07,0.0
1881,9.62206077037564e-08,0.0
1882,1.2312462160934956e-07,0.0
1883,8.278334162614698e-08,0.0
1884,1.0430681030015876e-07,0.0
1885,2.1463967092572034e-07,7.102083920962343e-10
1886,5.111143281943953e-07,0.0
1887,1.2731403298271715e-07,0.0
1888,1.6866035035256743e-07,0.0
1889,1.4973677175955658e-07,0.0
1890,1.363312382984816e-07,0.0
1891,1.0772431435768226e-07,0.0
1892,1.291313538320793e-07,0.0
1893,9.360793168378123e-08,2.7171767058575824e-09
1894,6.994708767749103e-08,0.0
1895,1.1314995385092175e-07,1.328391507904314e-09
1896,9.965979264059399e-08,0.0
1897,1.223609837897044e-07,1.2883683009334845e-09
1898,8.37436513467793e-08,0.0
1899,9.231056097291912e-08,0.0
1900,1.1731779814283527e-07,0.0
1901,9.333194106453391e-08,0.0
1902,7.905556770326783e-08,0.0
1903,7.398301615779701e-08,0.0
1904,1.3544055299519187e-07,0.0
1905,1.465655543597677e-07,0.0
1906,7.716276878566575e-08,0.0
1907,8.33140644251884e-08,1.7051069445273015e-09
1908,6.237463856528791e-08,5.424864446545996e-10
1909,8.361494913122769e-08,0.0
1910,7.588693939908353e-08,5.898358468314768e-10
1911,1.0747155743118242e-07,0.0
1912,1.026256004621473e-07,0.0
1913,9.75750127363284e-08,0.0
1914,6.696743853895626e-08,1.4773187118066744e-09
1915,6.597226753779495e-08,0.0
1916,6.15297877093468e-08,0.0
1917,7.786161371203804e-08,0.0
1918,7.8107356138446e-08,5.055078577953509e-09
1919,3.498982420468977e-08,0.0
1920,1.0298235375572062e-07,0.0
1921,5.982470496768144e-08,0.0
1922,8.041949817183536e-08,0.0
1923,8.280439445229604e-08,0.0
1924,5.1566496739319234e-08,0.0
1925,5.499089161808968e-08,0.0
1926,3.78968716407968e-08,1.2345703348515258e-09
1927,9.47684091201495e-08,0.0
1928,1.359698917902108e-07,0.0
1929,6.127223417529137e-08,3.7027880761542065e-09
1930,1.1764036234040987e-07,0.0
1931,9.01023193833339e-08,1.2628545986714812e-09
1932,1.1507513697495142e-07,0.0
1933,5.276504655427061e-08,0.0
1934,2.1327212351707203e-07,1.3274176202671129e-09
1935,8.736847600943065e-08,0.0
1936,6.547345865470788e-08,0.0
1937,5.41418084809564e-08,2.789518172008343e-09
1938,3.8895642817671217e-08,0.0
1939,5.352917753498332e-08,0.0
1940,2.3582781194519953e-07,0.0
1941,8.854508237732261e-09,0.0
1942,8.192371647730567e-08,0.0
1943,6.677440911317944e-08,3.2113727232996325e-09
1944,4.819779242382083e-08,0.0
1945,5.010559345208776e-08,0.0
1946,5.8468637931241574e-08,0.0
1947,7.629357412497484e-08,0.0
1948,3.0441285270299545e-08,1.2032065344058651e-09
1949,1.0602369160395142e-07,0.0
1950,5.8494487475968526e-08,0.0
1951,4.264560771183312e-08,0.0
1952,7.90860279487049e-08,0.0
1953,2.0147056734032276e-07,0.0
1954,6.743050007251838e-08,0.0
1955,4.5050918107136795e-08,0.0
1956,4.88383937735648e-08,4.823445642898605e-09
