year,seraient_VERB aux_ADP,seraient_VERB beau_ADV
1800,1.8864987794131594e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,3.1329761895904085e-08,0.0
1803,2.5354410126965377e-08,0.0
1804,1.2359254952798437e-08,2.4718509461507665e-09
1805,2.842877755426798e-08,0.0
1806,3.458002950651462e-08,0.0
1807,2.8469550272802735e-08,0.0
1808,2.039466551195801e-08,0.0
1809,4.743964154840796e-08,0.0
1810,7.020380277111826e-09,2.3401267590372754e-09
1811,7.270522672797597e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,5.176335093892703e-08,2.8757416448144113e-09
1814,2.8320094713762956e-08,0.0
1815,1.1867783911156948e-07,0.0
1816,3.0128852301913867e-08,2.3176038865813098e-09
1817,6.227493543065066e-08,2.0239355080775567e-08
1818,5.6029534789558966e-08,0.0
1819,4.5544620519422097e-08,7.24573512300708e-09
1820,1.6613073583471305e-08,0.0
1821,3.155676253641104e-08,9.86148829262845e-10
1822,5.1130641054442094e-08,1.0025615893027862e-09
1823,4.644862983127496e-08,9.882686891060644e-10
1824,4.29476756380609e-08,0.0
1825,2.553578504205234e-08,8.805443041381977e-10
1826,3.435113882233054e-08,0.0
1827,5.346018383534101e-08,1.8434546111834038e-09
1828,6.237164740241496e-08,0.0
1829,3.429270378774163e-08,8.57317605795771e-10
1830,1.5655253093882493e-08,0.0
1831,5.9246584527272717e-08,4.677361609140007e-09
1832,3.111892965534935e-08,0.0
1833,3.4750886612755494e-08,2.3167257001688313e-09
1834,1.5868701908061666e-08,0.0
1835,7.033671778344797e-08,0.0
1836,3.293167694096155e-08,1.3441500135158435e-09
1837,4.731365876864402e-08,6.957890930081589e-10
1838,5.1759727170974656e-08,6.312161904276081e-10
1839,2.586845759822154e-08,2.0974426639952526e-09
1840,3.630722389402763e-08,6.369688665408546e-10
1841,7.640452537316378e-08,0.0
1842,7.44617452141938e-08,1.341653010911159e-09
1843,5.729703644874462e-08,1.1813822142769936e-09
1844,2.7442807137845193e-08,0.0
1845,5.412821124650691e-08,3.348136878855712e-09
1846,3.922516000898213e-08,5.854501328173001e-10
1847,4.368511241636952e-08,1.0786447290911383e-09
1848,4.827133182061516e-08,0.0
1849,8.295620546050486e-08,8.379414939696517e-10
1850,2.851378333446064e-08,0.0
1851,6.44943867200709e-08,6.449438760824933e-10
1852,4.362065553209504e-08,0.0
1853,5.5538965426649156e-08,5.971931837933653e-10
1854,2.338049043260071e-08,1.0391328908454511e-09
1855,5.3600064831016425e-08,0.0
1856,4.659470320689252e-08,1.0354378465748937e-09
1857,3.758761835115365e-08,4.881509085841174e-10
1858,2.9851424443450014e-08,4.893676019968041e-10
1859,3.6154432336843456e-08,5.092173349652285e-10
1860,4.439868561689764e-08,4.577183909670879e-10
1861,4.385846352761291e-08,0.0
1862,3.7499287230957634e-08,0.0
1863,2.7470415275843152e-08,2.9967726078439227e-09
1864,2.7809422320501653e-08,0.0
1865,4.89511826629041e-08,0.0
1866,4.281739407474561e-08,0.0
1867,4.901339423213358e-08,9.7056229719783e-10
1868,2.766329387782207e-08,4.93987406535723e-10
1869,4.785848872757015e-08,0.0
