year,auraient_VERB eu_VERB,auraient_VERB bu_VERB
1800,7.48311151710368e-07,3.144164484325529e-09
1801,5.357661052585172e-07,1.6668277424969347e-08
1802,7.541520972154103e-07,2.0140561218795483e-08
1803,8.327948535225005e-07,0.0
1804,1.1815448033303255e-06,7.4155526164076946e-09
1805,8.69920597779128e-07,0.0
1806,8.78909077073331e-07,0.0
1807,1.412089773111802e-06,1.4234775136401367e-08
1808,1.0355958011132316e-06,2.2660739951163578e-09
1809,1.04819014268287e-06,0.0
1810,1.4742798839506577e-06,0.0
1811,1.3262435913929949e-06,1.7549536934780008e-08
1812,1.0028702490672003e-06,0.0
1813,1.1761783298425144e-06,8.627225156487839e-09
1814,1.0037899755843682e-06,0.0
1815,1.2245394600540749e-06,5.394447111228828e-09
1816,1.0753682317954372e-06,0.0
1817,1.2813068224204471e-06,0.0
1818,1.3494773156708106e-06,0.0
1819,1.538166088721482e-06,9.315945348475907e-09
1820,1.7253863688893034e-06,3.5599443393152796e-09
1821,1.5640320043530664e-06,0.0
1822,1.4025836208020337e-06,0.0
1823,1.6434908047813224e-06,1.9765373338032077e-08
1824,1.5065370462252758e-06,3.3684450784221553e-09
1825,1.463464627704525e-06,8.805443041381977e-10
1826,1.4039926554687554e-06,0.0
1827,1.944844598256168e-06,1.013900075008678e-08
1828,2.1995178940414917e-06,1.8344602503717056e-09
1829,1.9949779925809707e-06,1.8860987438529264e-08
1830,1.8441888869347167e-06,4.174734336004349e-09
1831,1.8023433767666575e-06,0.0
1832,1.692599198577227e-06,1.0823975493678972e-08
1833,1.813996277633123e-06,1.853380560135065e-08
1834,1.6923504517762922e-06,1.213489042584115e-08
1835,1.8121158973372076e-06,8.31939672707449e-09
1836,1.6143242191901663e-06,4.704525213838906e-09
1837,1.6128391280290089e-06,1.0436836284100082e-08
1838,1.8463073274688213e-06,7.574594285131298e-09
1839,1.6800514686110546e-06,2.7965900706306e-09
1840,1.8351073549638386e-06,1.2102408852854296e-08
1841,1.968540118468809e-06,7.0626033910059505e-09
1842,1.7421364191250177e-06,2.0124795163667386e-09
1843,1.9073415842285613e-06,1.0041748765843295e-08
1844,1.7267013845412293e-06,1.1525978393933656e-08
1845,1.829198708946933e-06,1.0602432709561072e-08
1846,1.8236771666124696e-06,1.4636253098387897e-08
1847,1.9458750557532767e-06,1.0247124926365814e-08
1848,1.955793322849786e-06,9.65426583121598e-09
1849,2.066363776975777e-06,8.379414495607307e-09
1850,2.0027537175337784e-06,5.431196825611551e-09
1851,1.917418103403179e-06,1.3543821175687754e-08
1852,1.759149427016382e-06,1.9531636308300904e-09
1853,1.6834875395943527e-06,1.1943863675867306e-09
1854,1.7436649386581848e-06,5.7152309551611324e-09
1855,1.777823968041048e-06,9.552486801567284e-09
1856,1.7705987147564883e-06,5.694908100650764e-09
1857,1.7182911733470974e-06,7.322263684272912e-09
1858,1.7034885786415543e-06,8.31924928945682e-09
1859,1.709951789052866e-06,6.110608019582742e-09
1860,1.7178170992337982e-06,1.373155145145688e-09
1861,1.7519805624033324e-06,1.2733101684148096e-08
1862,1.661715373302286e-06,4.9697850279528666e-09
1863,1.6871829302544938e-06,2.9967726078439227e-09
1864,1.559724978505983e-06,4.315255264231155e-09
1865,1.7796578504203353e-06,6.589582213223366e-09
1866,1.8786131477099843e-06,7.298419202328432e-09
1867,1.621809587959433e-06,8.249779526181555e-09
1868,1.5975552969393902e-06,1.975949626142892e-09
1869,1.7595319832253153e-06,6.348574999037737e-09
1870,1.6949848031799775e-06,4.587239033071455e-09
1871,2.039266064457479e-06,6.37270636261178e-09
1872,1.8535095023253234e-06,8.4662747923403e-09
1873,1.7119972426371532e-06,5.387403856360606e-09
1874,1.5808815305717872e-06,2.3898436563030145e-09
1875,1.695288460723532e-06,4.577221712764867e-09
1876,1.7557626961206552e-06,3.02300739996042e-09
1877,1.4967254173825495e-06,1.0514186854493346e-08
1878,1.7012113175951527e-06,7.2469061862534545e-09
1879,1.6800644289105549e-06,5.498392852132383e-09
1880,1.5434919760082266e-06,1.9253538763308597e-09
1881,1.551382979414484e-06,2.7890030285249168e-09
1882,1.6139308627316495e-06,1.5972924316542958e-08
1883,1.6815761227917392e-06,7.58320695126713e-09
1884,1.543476741971972e-06,5.281357573494461e-09
1885,1.6081861531347386e-06,4.511945039809007e-09
1886,1.5669010053898091e-06,5.162771099520569e-09
1887,1.5924047147564124e-06,1.3057849246322917e-09
1888,1.575008695908764e-06,5.07249175996094e-09
1889,1.632068119761243e-06,8.14467782106476e-09
1890,1.5750190414109966e-06,4.5880703680722945e-09
1891,1.5553097227893886e-06,5.736798147637501e-09
1892,1.5896947616056423e-06,4.387958441043338e-09
1893,1.6492239183207857e-06,1.2932674486876294e-08
1894,1.5564802424705704e-06,2.520615716150587e-09
1895,1.6316463415932958e-06,6.018614495673091e-09
1896,1.722522142699745e-06,3.5382172747233653e-09
1897,1.5644725408492377e-06,6.409385022720926e-09
1898,1.5639692492186441e-06,5.6583546736987955e-09
1899,1.525611651231884e-06,6.080336234504102e-09
1900,1.508000991634617e-06,2.595526460424935e-09
1901,1.604526914888993e-06,1.676621730339889e-09
1902,1.2639070519071538e-06,7.856454153909453e-09
1903,1.3921768413638347e-06,3.2401321625741275e-09
1904,1.3108710845699534e-06,2.6873125946735854e-09
1905,1.4522375977321644e-06,2.0126959654476195e-08
1906,1.4748377452633576e-06,1.18316245689698e-08
1907,1.5119959471121547e-06,1.0285686968813934e-08
1908,1.4518066109303618e-06,3.929111258571538e-09
1909,1.4011004623171175e-06,3.300590023513905e-09
1910,1.5353745084212278e-06,1.1222716089775986e-08
1911,1.3694642575501348e-06,2.128149656499545e-09
1912,1.2862061566920602e-06,9.376957876838787e-09
1913,1.4238527228371822e-06,2.6514948014977335e-09
1914,1.4418088767342851e-06,5.357394972094198e-09
1915,1.6987859225991997e-06,4.712304768617059e-09
1916,1.42946885262063e-06,1.648119329900055e-08
1917,1.511173309154401e-06,4.386569774084137e-09
1918,1.5230934877763502e-06,1.1486376294556067e-08
1919,1.5524432228630758e-06,6.4454939163738345e-09
1920,1.4288801821749075e-06,0.0
1921,1.3691527556147776e-06,0.0
