year,sont_VERB à_ADP,sont_VERB a_ADP,sont_VERB bas_ADJ
1800,3.650689541245811e-05,1.7921737427428752e-07,7.860410988769218e-08
1801,3.497481156955473e-05,2.952666449118624e-07,7.143547975374531e-08
1802,3.557046875357628e-05,1.991677720525331e-07,1.432217686669901e-07
1803,3.8844907976454124e-05,2.6914681683365416e-07,7.021220937986072e-08
1804,3.48036628565751e-05,2.2493843143678305e-07,5.438072037122765e-08
1805,3.604768789955415e-05,2.587018670396901e-07,1.9900143755080535e-08
1806,3.3101732697105035e-05,2.161251897447869e-07,6.916005901302924e-08
1807,3.061330789932981e-05,2.3345032218458073e-07,2.2775640928784924e-08
1808,3.500631282804534e-05,2.402038470350476e-07,4.758755522971114e-08
1809,3.301121250842698e-05,2.8915590122302604e-07,4.51806094758922e-08
1810,2.8884183848276734e-05,1.9657064953548797e-07,4.914266327205041e-08
1811,2.7224346922594123e-05,2.4820059252306237e-07,6.267691787797958e-08
1812,2.8104373996029608e-05,1.920389944842782e-07,1.0135391192989118e-07
1813,2.8018350349157117e-05,1.7254449602432942e-07,6.614205716459765e-08
1814,2.690409019123763e-05,2.2341407479586906e-07,3.1466772298927026e-08
1815,2.690750261535868e-05,1.6453063977905913e-07,5.933891955578474e-08
1816,2.9848421036149375e-05,2.3639560708943463e-07,1.0892738089296472e-07
1817,3.0710885766893625e-05,2.5065662401235755e-07,3.580808893843823e-08
1818,2.8492806450231e-05,2.145811848208723e-07,8.344824209416402e-08
1819,2.7401300030760467e-05,3.5504102813277427e-07,8.487860725381324e-08
1820,2.6777901439345442e-05,1.946102861083432e-07,7.238553223487543e-08
1821,2.9078570150886662e-05,2.54426405277286e-07,7.691961201317099e-08
1822,2.880960892071016e-05,1.9750463309264887e-07,5.012807946513931e-08
1823,2.4758106519584544e-05,2.8165656296152974e-07,3.755420863171821e-08
1824,2.5100811399170198e-05,1.7347492065056258e-07,6.315834610859383e-08
1825,2.7944954126724042e-05,2.1133062944045378e-07,3.169959583715354e-08
1826,2.748267252172809e-05,1.6206691766385006e-07,7.927185663447744e-08
1827,2.876342296076473e-05,1.5300673500417972e-07,2.488663675137559e-08
1828,2.8940445190528408e-05,1.8436325355253302e-07,4.3109814384934e-08
1829,2.8345491955406033e-05,1.7146351760644052e-07,4.8009784592295546e-08
1830,2.824416515068151e-05,2.0351830176679186e-07,4.0703660886265425e-08
1831,3.052290412597358e-05,2.790825877063696e-07,5.3010101197514814e-08
1832,2.7469895940157585e-05,2.0159654767759605e-07,7.84738247716632e-08
1833,2.9421258659567684e-05,1.7722952172505302e-07,4.6334513115198206e-08
1834,2.9274955522851087e-05,2.632337752217495e-07,7.374279675786966e-08
1835,2.922150270023849e-05,2.5563236505377063e-07,4.0840674842002045e-08
1836,2.804300129355397e-05,2.4261907416445183e-07,2.1506400216253496e-08
1837,2.8267822926864028e-05,2.4352618810397075e-07,5.0792603900617905e-08
1838,2.70267828454962e-05,2.505928269336266e-07,3.787297231383491e-08
1839,2.786102777463384e-05,2.111425452255844e-07,3.076248944466897e-08
1840,2.746163954725489e-05,2.802662894541008e-07,5.923810419972142e-08
1841,2.7813173801405355e-05,2.696630416743062e-07,2.5682194149112547e-08
1842,2.677335578482598e-05,2.5223076782765474e-07,1.8112315203211438e-08
1843,2.713812136789784e-05,2.563599474925127e-07,2.7171790151214736e-08
1844,2.6120063921553083e-05,2.590600929330833e-07,5.54344694592146e-08
1845,2.545309325796552e-05,2.801274421315725e-07,4.910600637231255e-08
1846,2.751966894720681e-05,2.7164885807451356e-07,5.678866443759034e-08
1847,2.66241877397988e-05,3.9801989704102425e-07,4.638172157456211e-08
1848,2.768199919955805e-05,3.3709477875731864e-07,2.574470947536156e-08
1849,2.676804069778882e-05,3.93832497280755e-07,5.614208120618969e-08
1850,2.594414763734676e-05,3.0618371127388855e-07,2.4440385715251978e-08
1851,2.4925146135501564e-05,3.10218000620921e-07,4.127640806927957e-08
1852,2.5815614208113402e-05,3.391994087831307e-07,4.687592536356533e-08
1853,2.6564945073914714e-05,3.284562475336372e-07,3.762317035693741e-08
1854,2.592532655398827e-05,3.585008463424799e-07,2.909572138776184e-08
1855,2.5869725504890084e-05,3.231924559088384e-07,2.175844215912548e-08
1856,2.583003333711531e-05,3.2771608537984775e-07,3.9346637947801355e-08
1857,2.5520528652123176e-05,3.3487152428790523e-07,6.297146626366157e-08
1858,2.5801416995818727e-05,2.877481368734891e-07,4.1106879677954566e-08
1859,2.6055124180857092e-05,3.3761108220176084e-07,3.768208145515928e-08
1860,2.695274815778248e-05,3.263532120101331e-07,2.9293977021893625e-08
1861,2.7516232876223512e-05,3.0040689180665936e-07,2.9238975685075275e-08
1862,2.744224912021309e-05,4.364374643905933e-07,3.6595690033891515e-08
1863,2.6880050427280366e-05,3.396342069805769e-07,2.447364266799923e-08
1864,2.6905136110144667e-05,3.202878158248268e-07,5.4659899717535154e-08
1865,2.719661824812647e-05,3.0265010431129724e-07,3.6242703060906933e-08
1866,2.633026451803744e-05,3.756253210696059e-07,3.8924902412418305e-08
1867,2.8654396373894997e-05,3.460054536219559e-07,2.3778776281346836e-08
1868,2.931914059445262e-05,3.141759786773335e-07,3.2603168165223906e-08
1869,2.6716756110545248e-05,3.682173559393931e-07,2.1487483792270723e-08
1870,2.5845651180134155e-05,3.7558019361227934e-07,3.039045992636602e-08
1871,2.7067007977166213e-05,4.3121978610116685e-07,2.442870794538976e-08
1872,2.616623169160448e-05,3.471172669300415e-07,2.8422494580127022e-08
1873,2.7649353796732612e-05,3.250400273380194e-07,2.6937019725892242e-08
1874,2.6825397071661428e-05,3.280060546506647e-07,3.525019565131515e-08
1875,2.7225887606618926e-05,3.587397546800375e-07,3.089624556196213e-08
1876,2.9764531063847244e-05,4.468004854984997e-07,5.018192439365521e-08
1877,2.7430894988356158e-05,3.6490414989653885e-07,4.2056747417973384e-08
1878,2.6766449082060717e-05,3.949564111316306e-07,4.7708802242141246e-08
1879,2.8644182748394087e-05,4.679743037527828e-07,5.803859082220697e-08
1880,2.6995387088391e-05,4.1908536219104064e-07,4.171599954361227e-08
1881,2.7898397092940286e-05,4.4902947626823675e-07,3.6257038260600893e-08
