year,tant_ADV eu_VERB,tant_ADV bu_VERB
1800,5.973912209356058e-08,9.432493897065797e-09
1801,9.762848662830947e-08,1.1905912700171939e-08
1802,3.3567602031325805e-08,1.3427040812530322e-08
1803,7.606323038089613e-08,5.851017448321727e-09
1804,9.145848167690929e-08,7.4155526164076946e-09
1805,1.0802935435094696e-07,2.55858996212055e-08
1806,9.797675204481493e-08,2.881669125542885e-09
1807,1.537355700520493e-07,2.2775640928784924e-08
1808,7.024829073998262e-08,2.4926814390369145e-08
1809,6.777091243748146e-08,9.036122072814123e-09
1810,9.828532654410083e-08,2.3401266702194334e-08
1811,6.016983888912364e-08,2.0056614147279106e-08
1812,4.000812481308458e-08,1.0668832928217853e-08
1813,1.7254450312975678e-07,2.300593315851529e-08
1814,3.1466772298927026e-08,2.5173417128598885e-08
1815,5.1247248222807684e-08,1.0788894222457657e-08
1816,8.343373991692715e-08,9.270415546325239e-09
1817,8.874178547557676e-08,9.341240669868967e-09
1818,6.914282835168706e-08,7.152706427149269e-09
1819,8.384350280721264e-08,7.24573512300708e-09
1820,1.2459804565878585e-07,3.678609061807947e-08
1821,1.0255947557880063e-07,4.437669787193954e-08
1822,8.321261191213125e-08,1.303330066093622e-08
1823,8.499110748516614e-08,1.581229902569703e-08
1824,1.3894836570216285e-07,1.0105335235266466e-08
1825,1.0478477463493618e-07,2.4655239627691117e-08
1826,9.336463335785083e-08,1.2331177856594877e-08
1827,7.92685455053288e-08,1.8434546333878643e-08
1828,1.0181254594954225e-07,5.503380862137419e-09
1829,1.2602568233432976e-07,6.858540846366168e-09
1830,4.174734158368665e-08,3.444155893816969e-08
1831,5.3010101197514814e-08,7.795603274018958e-09
1832,1.1500473817704915e-07,2.4353944638733083e-08
1833,5.3284690437749305e-08,2.0850531967653296e-08
1834,8.214387037241977e-08,1.5868701908061666e-08
1835,6.277362984974388e-08,2.3445572594482655e-08
1836,1.2702217588866915e-07,2.352262562510532e-08
1837,8.071153700939249e-08,1.2524203896191466e-08
1838,9.531364497661343e-08,2.019891809368346e-08
1839,9.29866175169991e-08,9.788065469251706e-09
1840,5.286841542329057e-08,1.3376346252869098e-08
1841,5.072233477676491e-08,1.7977535904378783e-08
1842,6.641182181965632e-08,2.4820581145945653e-08
1843,5.316219997553162e-08,3.307870244384503e-08
1844,6.586273570974299e-08,2.5247381074677833e-08
1845,6.138250796539069e-08,1.2834524554250493e-08
1846,1.0245377524142896e-07,1.7563504428608212e-08
1847,6.094342808182773e-08,1.77976389181822e-08
1848,5.229394162142853e-08,5.63165514222419e-09
1849,6.619738002200393e-08,1.256912263158938e-08
1850,8.825694663983086e-08,1.0862393651223101e-08
1851,5.482023013314574e-08,1.483370937194195e-08
1852,6.901178295493082e-08,2.799534470909748e-08
1853,6.449686651421871e-08,1.3138249599364826e-08
1854,7.741540031247496e-08,1.0391328686409906e-08
1855,7.323573214534917e-08,2.7065379271107304e-08
1856,9.111852961041222e-08,1.7084724746041502e-08
1857,1.2301403273795586e-07,2.39193944651106e-08
1858,8.514996352460003e-08,6.361778659424999e-09
1859,6.110607841947058e-08,1.9859475841599306e-08
1860,7.598125506547149e-08,2.0597328287408345e-08
1861,8.630213699234446e-08,2.263662679524714e-08
1862,5.963742211179124e-08,2.1686334505943705e-08
1863,5.6439215967429845e-08,2.6471489888990618e-08
1864,6.472883029573495e-08,2.0617330065419992e-08
1865,6.777855787731824e-08,2.3063536858103362e-08
1866,8.174230003987759e-08,1.5083399418358567e-08
1867,5.046923945428716e-08,1.455843445796745e-08
1868,6.026646559575966e-08,1.9265508299781686e-08
1869,5.567211758261692e-08,2.6371003158942585e-08
1870,4.4152177025580386e-08,2.2362790730312554e-08
1871,5.2043770182308435e-08,1.805600113868877e-08
1872,3.930770375859538e-08,9.675742873582749e-09
1873,5.6268440573603584e-08,1.3767810003173508e-08
1874,4.600449088343339e-08,1.0754296120296658e-08
1875,4.63443683429432e-08,2.689117728493784e-08
1876,4.836811839936672e-08,9.069021977836655e-09
1877,4.7004601100297805e-08,2.6594708657512456e-08
1878,3.0799352401800206e-08,1.69094480639842e-08
1879,6.659164597522249e-08,1.5273313280772527e-08
1880,5.455169471701993e-08,7.701415505323439e-09
1881,4.741305303923582e-08,8.367009307619355e-09
1882,4.9249848643739824e-08,1.1314154946262533e-08
1883,4.3603439081607576e-08,3.917990198942789e-08
