year,auront_VERB eu_VERB,auront_VERB bu_VERB
1800,6.005354293847631e-07,2.2009151834367913e-08
1801,3.881327472754492e-07,7.143547975374531e-09
1802,4.3637882640723547e-07,2.2378401354217203e-09
1803,6.631153155467473e-07,0.0
1804,6.995338139859086e-07,0.0
1805,4.918178433399589e-07,0.0
1806,9.912942005030345e-07,0.0
1807,1.0135159982382902e-06,5.693910232196231e-09
1808,8.089884317996621e-07,4.5321479902327155e-09
1809,5.489443992701126e-07,0.0
1810,7.605411838085274e-07,0.0
1811,7.01981491602055e-07,0.0
1812,8.375033644369978e-07,2.6672082320544632e-09
1813,5.722725973100751e-07,5.751483289628823e-09
1814,5.066150379207102e-07,3.1466771410748606e-09
1815,5.36747506885149e-07,2.697223555614414e-09
1816,6.929635674168821e-07,4.6352077731626196e-09
1817,6.38318113033165e-07,1.8682481339737933e-08
1818,7.832213668734767e-07,0.0
1819,6.728182597726118e-07,2.070209959015301e-08
1820,6.348567467284738e-07,7.119888678630559e-09
1821,6.715673634971608e-07,1.2819934447350079e-08
1822,7.248520432767691e-07,8.02049271442229e-09
1823,3.9728402612126956e-07,5.929612356680991e-09
1824,4.875824402006401e-07,7.57900142644985e-09
1825,5.697121423509088e-07,6.163809906922779e-09
1826,6.500292215605441e-07,1.0569580766173203e-08
1827,9.927002793119755e-07,3.6869092223668076e-09
1828,8.025763804653252e-07,6.420610709767516e-09
1829,6.849967917332833e-07,2.571952872898464e-09
1830,6.658701181549986e-07,4.174734336004349e-09
1831,6.111752668402914e-07,1.5591206103948707e-09
1832,6.318495593404805e-07,5.411987746839486e-09
1833,5.096796371617529e-07,4.6334514003376626e-09
1834,7.402283017654554e-07,1.4935249481595747e-08
1835,4.7042408368724864e-07,3.781543966852041e-09
1836,6.619939085794613e-07,4.704525213838906e-09
1837,6.199480822033365e-07,1.3915781860163179e-09
1838,5.529453801500495e-07,5.049729523420865e-09
1839,5.607163302556728e-07,4.194885327990505e-09
1840,6.407906880667724e-07,7.64362617644565e-09
1841,5.05939226513874e-07,4.494383976094696e-09
1842,5.554443305300083e-07,8.720745015011744e-09
1843,4.4951593736186624e-07,1.3585895075607368e-08
1844,4.2371692643428105e-07,7.1351298203126134e-09
1845,4.519984599937743e-07,4.464182357111213e-09
1846,3.9283705177695083e-07,8.196302303531411e-09
1847,5.743783049183548e-07,1.3483059113639229e-08
1848,4.545550211787486e-07,9.65426583121598e-09
1849,5.178478659217944e-07,1.508294644736452e-08
1850,3.849360723506834e-07,1.2220192857625989e-08
1851,4.4630115780819324e-07,5.8044946626978344e-09
1852,4.908951041215914e-07,1.4323200403509873e-08
1853,3.3920574082912935e-07,8.957897534855874e-09
1854,4.0058571926238074e-07,5.7152309551611324e-09
1855,3.7360837268352043e-07,6.8990182455763716e-09
1856,4.995987410438829e-07,6.73034605824796e-09
1857,3.592790562834125e-07,7.322263684272912e-09
1858,3.5870644410351815e-07,1.0766087576996597e-08
1859,3.5696135114449135e-07,6.110608019582742e-09
1860,4.5405664650388644e-07,3.204028820036342e-09
1861,4.234935317981581e-07,7.545541969022906e-09
1862,4.350820859144733e-07,7.228778020618165e-09
1863,3.995696715719532e-07,4.994620717013731e-09
1864,3.950855784751184e-07,9.109982990196386e-09
1865,3.101810364114499e-07,6.118897832863013e-09
